0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 500000
1, 0, Marker_t, "Brahms"
1, 1440, Tempo, 277778
1, 1440, Marker_t, "Scherzo  Op.4"
1, 2760, Tempo, 280374
1, 2880, Marker_t, "Bunji Hisamori"
1, 4320, Tempo, 277778
1, 4320, Marker_t, "Feb. 1999"
1, 5640, Tempo, 280374
1, 7200, Tempo, 277778
1, 8520, Tempo, 280374
1, 8640, Tempo, 277778
1, 9960, Tempo, 280374
1, 11295, Tempo, 283019
1, 12480, Tempo, 298507
1, 14145, Tempo, 283019
1, 15720, Tempo, 285714
1, 15840, Tempo, 280374
1, 16095, Tempo, 277778
1, 17160, Tempo, 280374
1, 17280, Tempo, 277778
1, 18600, Tempo, 280374
1, 18930, Tempo, 277778
1, 20040, Tempo, 280374
1, 20415, Tempo, 277778
1, 21480, Tempo, 280374
1, 21840, Tempo, 277778
1, 22920, Tempo, 280374
1, 23280, Tempo, 277778
1, 24360, Tempo, 280374
1, 25470, Tempo, 292683
1, 25920, Tempo, 280374
1, 27240, Tempo, 283019
1, 27360, Tempo, 280374
1, 28305, Tempo, 283019
1, 28800, Tempo, 277778
1, 30120, Tempo, 280374
1, 30240, Tempo, 277778
1, 31560, Tempo, 280374
1, 31680, Tempo, 277778
1, 33000, Tempo, 280374
1, 33120, Tempo, 277778
1, 34320, Tempo, 283019
1, 34560, Tempo, 277778
1, 35880, Tempo, 283019
1, 36000, Tempo, 277778
1, 37320, Tempo, 280374
1, 37440, Tempo, 277778
1, 38760, Tempo, 280374
1, 38880, Tempo, 277778
1, 40200, Tempo, 280374
1, 40320, Tempo, 277778
1, 41640, Tempo, 280374
1, 41760, Tempo, 277778
1, 43080, Tempo, 280374
1, 43920, Tempo, 283019
1, 45960, Tempo, 288462
1, 46440, Tempo, 289855
1, 46920, Tempo, 292683
1, 47520, Tempo, 301508
1, 48240, Tempo, 277778
1, 48840, Tempo, 280374
1, 50400, Tempo, 277778
1, 51720, Tempo, 280374
1, 53280, Tempo, 277778
1, 54600, Tempo, 280374
1, 54720, Tempo, 277778
1, 56040, Tempo, 280374
1, 57375, Tempo, 283019
1, 58560, Tempo, 298507
1, 60225, Tempo, 283019
1, 61800, Tempo, 285714
1, 61920, Tempo, 280374
1, 62175, Tempo, 277778
1, 63240, Tempo, 280374
1, 63360, Tempo, 277778
1, 64680, Tempo, 280374
1, 65010, Tempo, 277778
1, 66120, Tempo, 280374
1, 66495, Tempo, 277778
1, 67560, Tempo, 280374
1, 67920, Tempo, 277778
1, 69000, Tempo, 280374
1, 69360, Tempo, 277778
1, 70440, Tempo, 280374
1, 71550, Tempo, 292683
1, 72000, Tempo, 280374
1, 73320, Tempo, 283019
1, 73440, Tempo, 280374
1, 74385, Tempo, 283019
1, 74880, Tempo, 277778
1, 76200, Tempo, 280374
1, 76320, Tempo, 277778
1, 77640, Tempo, 280374
1, 77760, Tempo, 277778
1, 79080, Tempo, 280374
1, 79200, Tempo, 277778
1, 80400, Tempo, 283019
1, 80640, Tempo, 277778
1, 81960, Tempo, 283019
1, 82080, Tempo, 277778
1, 83400, Tempo, 280374
1, 83520, Tempo, 277778
1, 84840, Tempo, 280374
1, 84960, Tempo, 277778
1, 86280, Tempo, 280374
1, 86400, Tempo, 277778
1, 87720, Tempo, 280374
1, 87840, Tempo, 277778
1, 89160, Tempo, 280374
1, 90000, Tempo, 283019
1, 92040, Tempo, 288462
1, 92520, Tempo, 289855
1, 93000, Tempo, 292683
1, 93615, Tempo, 352941
1, 94920, Tempo, 280374
1, 95040, Tempo, 277778
1, 96360, Tempo, 280374
1, 96480, Tempo, 277778
1, 97800, Tempo, 280374
1, 97920, Tempo, 277778
1, 99240, Tempo, 280374
1, 99360, Tempo, 277778
1, 100680, Tempo, 280374
1, 100800, Tempo, 277778
1, 102120, Tempo, 280374
1, 102240, Tempo, 277778
1, 103560, Tempo, 280374
1, 103680, Tempo, 277778
1, 105000, Tempo, 280374
1, 105120, Tempo, 277778
1, 106440, Tempo, 280374
1, 106560, Tempo, 277778
1, 107880, Tempo, 280374
1, 108000, Tempo, 277778
1, 109185, Tempo, 280374
1, 109440, Tempo, 283019
1, 109920, Tempo, 277778
1, 111720, Tempo, 280374
1, 111840, Tempo, 289855
1, 112320, Tempo, 277778
1, 113640, Tempo, 280374
1, 113760, Tempo, 277778
1, 115080, Tempo, 280374
1, 115200, Tempo, 277778
1, 116520, Tempo, 280374
1, 116640, Tempo, 277778
1, 117840, Tempo, 280374
