0, 0, Header, 1, 4, 960
1, 0, Start_track
1, 0, Title_t, "La Lisonjera"
1, 0, Text_t, "Cecile Chamiande"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 511814
1, 4800, Tempo, 604656
1, 6240, Tempo, 518448
1, 8640, Tempo, 591250
1, 10080, Tempo, 511814
1, 16320, Tempo, 582637
1, 17760, Tempo, 518448
1, 20160, Tempo, 595652
1, 21600, Tempo, 518448
1, 24000, Tempo, 595652
1, 25440, Tempo, 539035
1, 26880, Tempo, 495458
1, 30720, Tempo, 473634
1, 34320, Tempo, 539035
1, 35520, Tempo, 638434
1, 36960, Tempo, 511814
1, 39360, Tempo, 604656
1, 40800, Tempo, 495950
1, 47040, Tempo, 609261
1, 48480, Tempo, 535666
1, 50880, Tempo, 600120
1, 52320, Tempo, 535666
1, 52800, Tempo, 620861
1, 53280, Tempo, 708048
1, 54240, Tempo, 508561
1, 57600, Tempo, 539423
1, 62400, Tempo, 604656
1, 63840, Tempo, 508561
1, 66240, Tempo, 600120
1, 67680, Tempo, 511814
1, 70080, Tempo, 582920
1, 71520, Tempo, 515110
1, 74880, Tempo, 543085
1, 75840, Tempo, 578425
1, 77760, Tempo, 609261
1, 79200, Tempo, 535666
1, 81600, Tempo, 582920
1, 83040, Tempo, 535666
1, 85440, Tempo, 582920
1, 86880, Tempo, 535810
1, 88320, Tempo, 571429
1, 93120, Tempo, 961847
1, 94560, Tempo, 664231
1, 96000, Tempo, 535762
1, 100800, Tempo, 582920
1, 102240, Tempo, 535666
1, 105600, Tempo, 570180
1, 106560, Tempo, 623571
1, 108480, Tempo, 595652
1, 109920, Tempo, 535666
1, 112320, Tempo, 600120
1, 113760, Tempo, 535666
1, 119040, Tempo, 481657
1, 120960, Tempo, 458540
1, 122880, Tempo, 595179
1, 124800, Tempo, 680041
1, 126720, Tempo, 473821
1, 127680, Tempo, 566145
1, 129120, Tempo, 507614
1, 131520, Tempo, 562166
1, 132960, Tempo, 507614
1, 139200, Tempo, 574273
1, 140640, Tempo, 510769
1, 143040, Tempo, 591250
1, 144480, Tempo, 510769
1, 146880, Tempo, 582637
1, 148320, Tempo, 510769
1, 149760, Tempo, 469520
1, 153600, Tempo, 448833
1, 157200, Tempo, 510769
1, 158400, Tempo, 595652
1, 159840, Tempo, 510769
1, 162240, Tempo, 586912
1, 163680, Tempo, 510769
1, 169920, Tempo, 591250
1, 171360, Tempo, 507614
1, 173760, Tempo, 586912
1, 174720, Tempo, 638434
1, 175200, Tempo, 633379
1, 175680, Tempo, 676285
1, 175920, Tempo, 682051
1, 176160, Tempo, 699953
1, 177120, Tempo, 507614
1, 185280, Tempo, 591250
1, 186720, Tempo, 507614
1, 189120, Tempo, 595652
1, 190560, Tempo, 507614
1, 192960, Tempo, 600120
1, 194400, Tempo, 507614
1, 197520, Tempo, 546797
1, 198720, Tempo, 595652
1, 200640, Tempo, 591250
1, 202080, Tempo, 507614
1, 204480, Tempo, 604656
1, 205920, Tempo, 507614
1, 208320, Tempo, 595652
1, 209760, Tempo, 507614
1, 211200, Tempo, 578425
1, 216000, Tempo, 911439
1, 217440, Tempo, 629459
1, 218880, Tempo, 507700
1, 223680, Tempo, 582637
1, 225120, Tempo, 507614
1, 228480, Tempo, 558243
1, 231360, Tempo, 586912
1, 232800, Tempo, 507614
1, 235200, Tempo, 591250
1, 236640, Tempo, 507614
1, 241920, Tempo, 456447
1, 243840, Tempo, 434531
1, 245760, Tempo, 564016
1, 247680, Tempo, 644399
1, 248640, Tempo, 640820
1, 249600, Tempo, 438532
1, 250560, Tempo, 486894
1, 252000, Tempo, 438532
1, 254400, Tempo, 489876
1, 255840, Tempo, 438532
1, 258240, Tempo, 489876
1, 259680, Tempo, 438532
1, 262080, Tempo, 471958
1, 263520, Tempo, 438532
1, 265920, Tempo, 478164
1, 267360, Tempo, 438532
1, 269760, Tempo, 489876
1, 271200, Tempo, 438532
1, 273600, Tempo, 486894
1, 275040, Tempo, 438532
1, 281280, Tempo, 499043
1, 282720, Tempo, 438532
1, 285120, Tempo, 499043
1, 286560, Tempo, 438532
1, 292800, Tempo, 502176
1, 294240, Tempo, 438532
1, 296640, Tempo, 495950
1, 297600, Tempo, 543085
1, 298080, Tempo, 566145
1, 299520, Tempo, 464288
1, 302400, Tempo, 417043
1, 308160, Tempo, 578425
1, 309600, Tempo, 486894
1, 312000, Tempo, 586912
1, 313440, Tempo, 486894
1, 315840, Tempo, 591250
1, 317280, Tempo, 483949
1, 319680, Tempo, 595652
1, 321120, Tempo, 483949
1, 323280, Tempo, 586912
1, 324960, Tempo, 486894
1, 327360, Tempo, 586912
1, 328800, Tempo, 511814
1, 345600, Tempo, 486894
1, 351360, Tempo, 451196
1, 357120, Tempo, 562166
1, 359040, Tempo, 699953
1, 359040, End_track
2, 0, Start_track
2, 0, Title_t, "Piano melody"
2, 0, Control_c, 0, 7, 105
2, 0, Control_c, 0, 91, 100
2, 2400, Note_on_c, 0, 61, 61
2, 2635, Note_on_c, 0, 61, 0
2, 2880, Note_on_c, 0, 63, 68
2, 3130, Note_on_c, 0, 63, 0
2, 3360, Note_on_c, 0, 65, 68
2, 3580, Note_on_c, 0, 65, 0
2, 3840, Note_on_c, 0, 68, 81
2, 4320, Note_on_c, 0, 68, 0
2, 4800, Note_on_c, 0, 66, 70
2, 6200, Note_on_c, 0, 66, 0
2, 6240, Note_on_c, 0, 66, 63
2, 6480, Note_on_c, 0, 66, 0
2, 6720, Note_on_c, 0, 66, 78
2, 7040, Note_on_c, 0, 66, 0
2, 7200, Note_on_c, 0, 65, 72
2, 7480, Note_on_c, 0, 65, 0
2, 7680, Note_on_c, 0, 68, 87
2, 8160, Note_on_c, 0, 68, 0
2, 8640, Note_on_c, 0, 66, 72
2, 10080, Note_on_c, 0, 66, 0
2, 10080, Note_on_c, 0, 61, 82
2, 10360, Note_on_c, 0, 61, 0
2, 10560, Note_on_c, 0, 63, 88
2, 10840, Note_on_c, 0, 63, 0
2, 11040, Note_on_c, 0, 65, 86
2, 11320, Note_on_c, 0, 65, 0
2, 11520, Note_on_c, 0, 68, 101
2, 11865, Note_on_c, 0, 68, 0
2, 12000, Note_on_c, 0, 66, 82
2, 12315, Note_on_c, 0, 66, 0
2, 12480, Note_on_c, 0, 73, 92
2, 12765, Note_on_c, 0, 73, 0
2, 12960, Note_on_c, 0, 70, 78
2, 13275, Note_on_c, 0, 70, 0
2, 13440, Note_on_c, 0, 68, 88
2, 13680, Note_on_c, 0, 68, 0
2, 13920, Note_on_c, 0, 66, 72
2, 14175, Note_on_c, 0, 66, 0
2, 14400, Note_on_c, 0, 65, 80
2, 14670, Note_on_c, 0, 65, 0
2, 14880, Note_on_c, 0, 63, 72
2, 15120, Note_on_c, 0, 63, 0
2, 15360, Note_on_c, 0, 66, 85
