0, 0, Header, 1, 4, 48
1, 0, Start_track
1, 0, Tempo, 500000
1, 0, Time_signature, 6, 2, 24, 8
1, 0, Key_signature, -5, "minor"
1, 0, Title_t, "F.F.Chopin  Nocturne No.1 in B-flat minor Op.9-1"
1, 0, Text_t, "CVS Ver5.05 Created"
1, 144, Tempo, 1250000
1, 168, Tempo, 750000
1, 192, Tempo, 681818
1, 216, Tempo, 697674
1, 240, Tempo, 800000
1, 264, Tempo, 1034482
1, 288, Time_signature, 12, 3, 24, 8
1, 288, Tempo, 1153846
1, 312, Tempo, 666666
1, 336, Tempo, 606060
1, 360, Tempo, 535714
1, 384, Tempo, 582524
1, 408, Tempo, 631578
1, 432, Tempo, 821917
1, 456, Tempo, 697674
1, 480, Tempo, 800000
1, 504, Tempo, 606060
1, 528, Tempo, 566037
1, 552, Tempo, 631578
1, 576, Tempo, 697674
1, 600, Tempo, 582524
1, 624, Tempo, 571428
1, 648, Tempo, 697674
1, 672, Tempo, 845070
1, 696, Tempo, 983606
1, 720, Tempo, 1153846
1, 735, Tempo, 731707
1, 750, Tempo, 631578
1, 764, Tempo, 571428
1, 778, Tempo, 487804
1, 792, Tempo, 555555
1, 804, Tempo, 618556
1, 816, Tempo, 750000
1, 828, Tempo, 1111111
1, 840, Tempo, 869565
1, 852, Tempo, 1111111
1, 864, Tempo, 1000000
1, 878, Tempo, 821917
1, 891, Tempo, 895522
1, 904, Tempo, 1111111
1, 916, Tempo, 1463414
1, 928, Tempo, 845070
1, 940, Tempo, 714285
1, 952, Tempo, 697674
1, 964, Tempo, 681818
1, 976, Tempo, 659340
1, 988, Tempo, 631578
1, 1000, Tempo, 659340
1, 1012, Tempo, 645161
1, 1024, Tempo, 631578
1, 1036, Tempo, 571428
1, 1049, Tempo, 535714
1, 1062, Tempo, 555555
1, 1075, Tempo, 618556
1, 1088, Tempo, 869565
1, 1102, Tempo, 1000000
1, 1118, Tempo, 923076
1, 1134, Tempo, 895522
1, 1176, Tempo, 618556
1, 1200, Tempo, 571428
1, 1224, Tempo, 631578
1, 1248, Tempo, 750000
1, 1272, Tempo, 983606
1, 1296, Tempo, 800000
1, 1320, Tempo, 618556
1, 1344, Tempo, 555555
1, 1368, Tempo, 594059
1, 1392, Tempo, 666666
1, 1416, Tempo, 983606
1, 1440, Tempo, 923076
1, 1464, Tempo, 618556
1, 1488, Tempo, 594059
1, 1512, Tempo, 631578
1, 1536, Tempo, 681818
1, 1560, Tempo, 1000000
1, 1584, Tempo, 845070
1, 1608, Tempo, 869565
1, 1632, Tempo, 731707
1, 1656, Tempo, 618556
1, 1704, Tempo, 697674
1, 1726, Tempo, 1250000
1, 1728, Tempo, 681818
1, 1752, Tempo, 618556
1, 1776, Tempo, 582524
1, 1800, Tempo, 618556
1, 1824, Tempo, 681818
1, 1848, Tempo, 789473
1, 1872, Tempo, 869565
1, 1896, Tempo, 895522
1, 1920, Tempo, 789473
1, 1944, Tempo, 659340
1, 1968, Tempo, 631578
1, 1992, Tempo, 645161
1, 2016, Tempo, 606060
1, 2040, Tempo, 594059
1, 2064, Tempo, 606060
1, 2088, Tempo, 618556
1, 2112, Tempo, 697674
1, 2136, Tempo, 800000
1, 2160, Tempo, 714285
1, 2184, Tempo, 697674
1, 2208, Tempo, 923076
1, 2232, Tempo, 731707
1, 2256, Tempo, 789473
1, 2280, Tempo, 1000000
1, 2304, Tempo, 869565
1, 2328, Tempo, 714285
1, 2352, Tempo, 800000
1, 2376, Tempo, 983606
1, 2400, Tempo, 1395348
1, 2424, Tempo, 2142857
1, 2448, Tempo, 1250000
1, 2472, Tempo, 714285
1, 2496, Tempo, 681818
1, 2520, Tempo, 1071428
1, 2544, Tempo, 1333333
1, 2550, Tempo, 1621621
1, 2568, Tempo, 845070
1, 2592, Tempo, 1153846
1, 2616, Tempo, 666666
1, 2640, Tempo, 606060
1, 2664, Tempo, 535714
1, 2688, Tempo, 582524
1, 2712, Tempo, 618556
1, 2736, Tempo, 821917
1, 2760, Tempo, 697674
1, 2784, Tempo, 800000
1, 2808, Tempo, 606060
1, 2832, Tempo, 566037
1, 2856, Tempo, 631578
1, 2880, Tempo, 697674
1, 2904, Tempo, 582524
1, 2928, Tempo, 571428
1, 2952, Tempo, 697674
1, 2976, Tempo, 845070
1, 3000, Tempo, 983606
1, 3024, Tempo, 1153846
1, 3039, Tempo, 731707
1, 3054, Tempo, 631578
1, 3068, Tempo, 571428
1, 3082, Tempo, 487804
1, 3096, Tempo, 555555
1, 3108, Tempo, 618556
1, 3120, Tempo, 750000
1, 3132, Tempo, 1034482
1, 3144, Tempo, 869565
1, 3156, Tempo, 1111111
1, 3168, Tempo, 1395348
1, 3184, Tempo, 1000000
1, 3200, Tempo, 645161
1, 3216, Tempo, 618556
1, 3232, Tempo, 594059
1, 3248, Tempo, 582524
1, 3264, Tempo, 555555
1, 3280, Tempo, 545454
1, 3296, Tempo, 566037
1, 3312, Tempo, 571428
1, 3328, Tempo, 555555
1, 3344, Tempo, 594059
1, 3360, Tempo, 631578
1, 3376, Tempo, 606060
1, 3392, Tempo, 769230
1, 3408, Tempo, 1111111
1, 3424, Tempo, 983606
1, 3440, Tempo, 952380
1, 3456, Tempo, 789473
1, 3480, Tempo, 606060
1, 3504, Tempo, 566037
1, 3528, Tempo, 645161
1, 3552, Tempo, 714285
1, 3576, Tempo, 895522
1, 3600, Tempo, 697674
1, 3624, Tempo, 631578
1, 3648, Tempo, 566037
1, 3672, Tempo, 535714
1, 3696, Tempo, 582524
1, 3720, Tempo, 714285
1, 3744, Tempo, 645161
1, 3768, Tempo, 566037
1, 3792, Tempo, 545454
1, 3816, Tempo, 645161
1, 3840, Tempo, 666666
1, 3864, Tempo, 714285
1, 3888, Tempo, 1395348
1, 3892, Tempo, 1071428
1, 3896, Tempo, 845070
1, 3900, Tempo, 895522
1, 3904, Tempo, 869565
1, 3908, Tempo, 952380
1, 3912, Tempo, 800000
1, 3916, Tempo, 952380
1, 3920, Tempo, 800000
1, 3924, Tempo, 821917
1, 3928, Tempo, 895522
1, 3932, Tempo, 845070
1, 3936, Tempo, 631578
1, 3960, Tempo, 714285
1, 3984, Tempo, 952380
1, 4008, Tempo, 1538461
1, 4020, Tempo, 800000
1, 4032, Tempo, 681818
1, 4056, Tempo, 582524
1, 4080, Tempo, 535714
1, 4104, Tempo, 571428
1, 4128, Tempo, 606060
1, 4152, Tempo, 594059
1, 4182, Tempo, 571428
1, 4188, Tempo, 1071428
1, 4200, Tempo, 594059
1, 4220, Tempo, 487804
1, 4240, Tempo, 500000
1, 4260, Tempo, 571428
1, 4280, Tempo, 631578
1, 4300, Tempo, 1000000
1, 4320, Tempo, 800000
1, 4368, Tempo, 545454
1, 4392, Tempo, 731707
1, 4416, Tempo, 952380
1, 4432, Tempo, 631578
1, 4448, Tempo, 731707
1, 4464, Tempo, 571428
1, 4512, Tempo, 526315
1, 4536, Tempo, 594059
1, 4560, Tempo, 545454
1, 4584, Tempo, 555555
1, 4600, Tempo, 769230
1, 4608, Tempo, 2000000
1, 4620, Tempo, 1111111
1, 4632, Tempo, 545454
1, 4656, Tempo, 571428
1, 4680, Tempo, 697674
1, 4702, Tempo, 2000000
1, 4704, Tempo, 645161
1, 4720, Tempo, 571428
1, 4736, Tempo, 666666
1, 4752, Tempo, 535714
1, 4776, Tempo, 517241
1, 4800, Tempo, 535714
1, 4824, Tempo, 631578
1, 4848, Tempo, 645161
1, 4872, Tempo, 895522
1, 4892, Tempo, 1621621
1, 4896, Tempo, 2142857
1, 4908, Tempo, 1538461
1, 4920, Tempo, 681818
1, 4944, Tempo, 845070
1, 4960, Tempo, 1111111
1, 4976, Tempo, 750000
1, 4992, Tempo, 789473
1, 5008, Tempo, 1200000
1, 5024, Tempo, 1000000
1, 5040, Tempo, 681818
1, 5064, Tempo, 800000
1, 5088, Tempo, 750000
1, 5112, Tempo, 895522
1, 5136, Tempo, 1250000
1, 5160, Tempo, 1395348
1, 5184, Tempo, 923076
1, 5208, Tempo, 697674
1, 5232, Tempo, 582524
1, 5256, Tempo, 631578
1, 5280, Tempo, 681818
1, 5304, Tempo, 697674
1, 5328, Tempo, 714285
1, 5352, Tempo, 731707
1, 5376, Tempo, 750000
1, 5400, Tempo, 869565
1, 5424, Tempo, 1111111
1, 5448, Tempo, 1538461
1, 5472, Tempo, 821917
1, 5496, Tempo, 582524
1, 5520, Tempo, 555555
1, 5544, Tempo, 566037
1, 5568, Tempo, 582524
1, 5592, Tempo, 606060
1, 5616, Tempo, 594059
1, 5640, Tempo, 545454
1, 5664, Tempo, 535714
1, 5688, Tempo, 566037
1, 5712, Tempo, 526315
1, 5736, Tempo, 545454
1, 5760, Tempo, 666666
1, 5784, Tempo, 594059
1, 5808, Tempo, 555555
1, 5832, Tempo, 582524
1, 5856, Tempo, 545454
1, 5880, Tempo, 555555
1, 5904, Tempo, 582524
1, 5952, Tempo, 555555
1, 5976, Tempo, 535714
1, 6024, Tempo, 545454
1, 6048, Tempo, 571428
1, 6072, Tempo, 566037
1, 6096, Tempo, 535714
1, 6144, Tempo, 526315
