0, 0, Header, 1, 4, 48
1, 0, Start_track
1, 0, Tempo, 500000
1, 0, Time_signature, 6, 3, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Title_t, "F.F.Chopin  Nocturne No.12 in G major Op.37-2"
1, 0, Text_t, "CVS Ver5.05 Created"
1, 144, Time_signature, 3, 2, 24, 8
1, 144, Tempo, 1111111
1, 168, Tempo, 845070
1, 192, Tempo, 895522
1, 216, Tempo, 952380
1, 240, Tempo, 923076
1, 252, Tempo, 800000
1, 264, Tempo, 821917
1, 276, Tempo, 923076
1, 288, Tempo, 869565
1, 312, Tempo, 845070
1, 336, Tempo, 869565
1, 360, Tempo, 952380
1, 384, Tempo, 923076
1, 396, Tempo, 845070
1, 408, Tempo, 869565
1, 420, Tempo, 1034482
1, 432, Tempo, 895522
1, 444, Tempo, 952380
1, 456, Tempo, 821917
1, 468, Tempo, 869565
1, 492, Tempo, 895522
1, 504, Tempo, 923076
1, 516, Tempo, 895522
1, 528, Tempo, 923076
1, 540, Tempo, 869565
1, 552, Tempo, 895522
1, 564, Tempo, 952380
1, 600, Tempo, 845070
1, 624, Tempo, 895522
1, 684, Tempo, 869565
1, 696, Tempo, 845070
1, 708, Tempo, 952380
1, 720, Tempo, 983606
1, 744, Tempo, 869565
1, 768, Tempo, 923076
1, 840, Tempo, 952380
1, 852, Tempo, 1000000
1, 876, Tempo, 952380
1, 888, Tempo, 923076
1, 900, Tempo, 895522
1, 912, Tempo, 869565
1, 948, Tempo, 895522
1, 972, Tempo, 952380
1, 996, Tempo, 1071428
1, 1008, Tempo, 1111111
1, 1032, Tempo, 845070
1, 1056, Tempo, 923076
1, 1080, Tempo, 1000000
1, 1096, Tempo, 800000
1, 1104, Tempo, 952380
1, 1116, Tempo, 869565
1, 1128, Tempo, 952380
1, 1140, Tempo, 983606
1, 1152, Tempo, 1034482
1, 1176, Tempo, 895522
1, 1200, Tempo, 952380
1, 1224, Tempo, 983606
1, 1240, Tempo, 845070
1, 1248, Tempo, 952380
1, 1260, Tempo, 869565
1, 1272, Tempo, 983606
1, 1284, Tempo, 1034482
1, 1296, Tempo, 1153846
1, 1308, Tempo, 1000000
1, 1320, Tempo, 923076
1, 1344, Tempo, 895522
1, 1368, Tempo, 869565
1, 1380, Tempo, 895522
1, 1392, Tempo, 923076
1, 1404, Tempo, 895522
1, 1416, Tempo, 923076
1, 1428, Tempo, 952380
1, 1440, Tempo, 1034482
1, 1464, Tempo, 923076
1, 1512, Tempo, 952380
1, 1536, Tempo, 983606
1, 1548, Tempo, 923076
1, 1572, Tempo, 952380
1, 1584, Tempo, 983606
1, 1608, Tempo, 923076
1, 1632, Tempo, 1000000
1, 1656, Tempo, 952380
1, 1680, Tempo, 983606
1, 1692, Tempo, 952380
1, 1704, Tempo, 983606
1, 1716, Tempo, 1000000
1, 1740, Tempo, 983606
1, 1752, Tempo, 895522
1, 1764, Tempo, 845070
1, 1788, Tempo, 869565
1, 1800, Tempo, 952380
1, 1812, Tempo, 895522
1, 1836, Tempo, 952380
1, 1848, Tempo, 983606
1, 1860, Tempo, 1034482
1, 1872, Tempo, 983606
1, 1944, Tempo, 1071428
1, 1968, Tempo, 1538461
1, 1980, Tempo, 1111111
1, 1992, Tempo, 952380
1, 2004, Tempo, 1000000
1, 2016, Tempo, 1034482
1, 2040, Tempo, 952380
1, 2064, Tempo, 983606
1, 2088, Tempo, 1071428
1, 2112, Tempo, 1304347
1, 2124, Tempo, 1111111
1, 2136, Tempo, 1071428
1, 2148, Tempo, 1111111
1, 2208, Tempo, 1000000
1, 2232, Tempo, 1071428
1, 2256, Tempo, 1463414
1, 2268, Tempo, 1111111
1, 2280, Tempo, 1034482
