0, 0, Header, 1, 8, 192
1, 0, Start_track
1, 0, Title_t, "Etude in C Minor"
1, 0, Copyright_t, "May NOT be used for commercial purposes."
1, 0, Text_t, "\012"
1, 0, Text_t, "Roll expression/accent tracks, where present, converted to MIDI velocties.\012"
1, 0, Text_t, "/music_category: Piano_Roll\012"
1, 0, Text_t, "/title: Etude in C Minor\012"
1, 0, Text_t, "/subtitle: Op 25 No 12\012"
1, 0, Text_t, "/roll_type: Duo-Art\012"
1, 0, Text_t, "/roll_manufacturer: QRS\012"
1, 0, Text_t, "/roll_number: 7287-1 (QRS1017)\012"
1, 0, Text_t, "/performer: Vladimir Horowitz\012"
1, 0, Text_t, "/composer: Chopin\012"
1, 0, Text_t, "/lyricist: \012"
1, 0, Text_t, "/roll_copyright: \012"
1, 0, Text_t, "/roll_date: \012"
1, 0, Text_t, "/scanned_by: Terry Smythe\012"
1, 0, Text_t, "/scan_system: Stibbons Mk3a\012"
1, 0, Text_t, "/date_scanned: 20 Oct 04\012"
1, 0, Text_t, "/owner: Milton Schenk\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 500000
1, 0, Marker_t, "Standard MIDI:Duo-Art:LPI 121:Tempo  70: 10-20-2004"
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "Etude in C Minor"
2, 0, Program_c, 0, 0
2, 314, Note_on_c, 0, 36, 95
2, 314, Note_on_c, 0, 51, 95
2, 333, Control_c, 0, 64, 127
2, 393, Note_on_c, 0, 43, 60
2, 393, Note_on_c, 0, 55, 60
2, 411, Note_on_c, 0, 36, 0
2, 423, Note_on_c, 0, 51, 0
2, 430, Note_on_c, 0, 48, 60
2, 430, Note_on_c, 0, 63, 60
2, 453, Note_on_c, 0, 63, 0
2, 453, Note_on_c, 0, 48, 0
2, 453, Note_on_c, 0, 43, 0
2, 464, Note_on_c, 0, 55, 0
2, 473, Note_on_c, 0, 48, 60
2, 473, Note_on_c, 0, 63, 60
2, 528, Note_on_c, 0, 55, 60
2, 528, Note_on_c, 0, 67, 60
2, 534, Note_on_c, 0, 63, 0
2, 561, Note_on_c, 0, 48, 0
2, 568, Note_on_c, 0, 60, 60
2, 568, Note_on_c, 0, 75, 60
2, 586, Note_on_c, 0, 75, 0
2, 586, Note_on_c, 0, 67, 0
2, 586, Note_on_c, 0, 55, 0
2, 586, Note_on_c, 0, 60, 0
2, 606, Note_on_c, 0, 60, 60
2, 606, Note_on_c, 0, 75, 60
2, 631, Note_on_c, 0, 67, 60
2, 645, Note_on_c, 0, 79, 60
2, 666, Note_on_c, 0, 75, 0
2, 684, Note_on_c, 0, 87, 89
2, 686, Note_on_c, 0, 72, 89
2, 691, Note_on_c, 0, 79, 0
2, 691, Note_on_c, 0, 67, 0
2, 722, Note_on_c, 0, 60, 0
2, 726, Note_on_c, 0, 67, 60
2, 726, Note_on_c, 0, 79, 60
2, 747, Note_on_c, 0, 72, 0
2, 772, Note_on_c, 0, 87, 0
2, 781, Note_on_c, 0, 60, 57
2, 781, Note_on_c, 0, 75, 57
2, 801, Note_on_c, 0, 75, 0
2, 801, Note_on_c, 0, 79, 0
2, 801, Note_on_c, 0, 67, 0
2, 801, Note_on_c, 0, 60, 0
2, 822, Note_on_c, 0, 60, 52
2, 836, Note_on_c, 0, 75, 52
2, 863, Note_on_c, 0, 55, 52
2, 863, Note_on_c, 0, 67, 52
2, 886, Note_on_c, 0, 60, 0
2, 894, Note_on_c, 0, 48, 52
2, 914, Note_on_c, 0, 48, 0
2, 924, Note_on_c, 0, 63, 52
2, 929, Note_on_c, 0, 75, 0
2, 942, Note_on_c, 0, 67, 0
2, 944, Note_on_c, 0, 55, 0
2, 944, Note_on_c, 0, 63, 0
2, 951, Note_on_c, 0, 48, 52
2, 981, Note_on_c, 0, 63, 52
2, 1008, Note_on_c, 0, 55, 52
2, 1010, Note_on_c, 0, 43, 52
2, 1042, Note_on_c, 0, 48, 0
2, 1053, Control_c, 0, 64, 0
2, 1057, Note_on_c, 0, 43, 0
2, 1074, Note_on_c, 0, 50, 99
2, 1085, Note_on_c, 0, 55, 0
2, 1110, Note_on_c, 0, 63, 0
2, 1132, Note_on_c, 0, 36, 52
2, 1162, Note_on_c, 0, 41, 52
2, 1162, Note_on_c, 0, 56, 52
2, 1187, Note_on_c, 0, 48, 52
2, 1202, Note_on_c, 0, 62, 52
2, 1207, Control_c, 0, 64, 127
2, 1209, Note_on_c, 0, 48, 0
2, 1209, Note_on_c, 0, 41, 0
2, 1224, Note_on_c, 0, 56, 0
2, 1224, Note_on_c, 0, 62, 0
2, 1244, Note_on_c, 0, 48, 52
2, 1257, Note_on_c, 0, 62, 52
2, 1277, Note_on_c, 0, 36, 0
2, 1284, Note_on_c, 0, 53, 52
2, 1284, Note_on_c, 0, 68, 52
2, 1305, Note_on_c, 0, 50, 0
2, 1305, Note_on_c, 0, 62, 0
2, 1319, Note_on_c, 0, 48, 0
2, 1325, Note_on_c, 0, 60, 52
2, 1325, Note_on_c, 0, 74, 52
2, 1332, Note_on_c, 0, 53, 0
2, 1345, Note_on_c, 0, 68, 0
2, 1345, Note_on_c, 0, 60, 0
2, 1345, Note_on_c, 0, 74, 0
2, 1380, Note_on_c, 0, 60, 52
2, 1380, Note_on_c, 0, 74, 52
2, 1409, Note_on_c, 0, 65, 52
2, 1416, Note_on_c, 0, 74, 0
2, 1425, Note_on_c, 0, 80, 52
2, 1454, Note_on_c, 0, 74, 68
2, 1454, Note_on_c, 0, 86, 68
2, 1472, Note_on_c, 0, 80, 0
2, 1488, Note_on_c, 0, 65, 0
2, 1502, Note_on_c, 0, 60, 0
2, 1507, Note_on_c, 0, 80, 52
2, 1511, Note_on_c, 0, 74, 0
2, 1518, Note_on_c, 0, 65, 52
2, 1547, Note_on_c, 0, 60, 52
2, 1547, Note_on_c, 0, 74, 52
2, 1557, Note_on_c, 0, 86, 0
2, 1568, Note_on_c, 0, 80, 0
2, 1568, Note_on_c, 0, 74, 0
2, 1570, Note_on_c, 0, 60, 0
2, 1600, Note_on_c, 0, 65, 0
2, 1607, Note_on_c, 0, 60, 52
2, 1607, Note_on_c, 0, 74, 52
2, 1650, Note_on_c, 0, 53, 52
2, 1652, Note_on_c, 0, 68, 52
2, 1656, Note_on_c, 0, 60, 0
2, 1677, Note_on_c, 0, 48, 52
2, 1685, Note_on_c, 0, 74, 0
2, 1702, Note_on_c, 0, 48, 0
2, 1702, Note_on_c, 0, 53, 0
2, 1706, Note_on_c, 0, 62, 52
2, 1713, Note_on_c, 0, 68, 0
2, 1728, Note_on_c, 0, 62, 0
2, 1733, Note_on_c, 0, 48, 52
2, 1747, Note_on_c, 0, 62, 52
2, 1774, Note_on_c, 0, 41, 52
2, 1774, Note_on_c, 0, 56, 52
2, 1795, Note_on_c, 0, 48, 0
2, 1820, Control_c, 0, 64, 0
2, 1822, Note_on_c, 0, 41, 0
2, 1828, Note_on_c, 0, 53, 99
2, 1848, Note_on_c, 0, 56, 0
2, 1865, Note_on_c, 0, 62, 0
2, 1872, Note_on_c, 0, 36, 52
2, 1898, Note_on_c, 0, 44, 52
2, 1898, Note_on_c, 0, 60, 52
2, 1928, Control_c, 0, 64, 127
2, 1937, Note_on_c, 0, 65, 52
2, 1937, Note_on_c, 0, 48, 52
2, 1958, Note_on_c, 0, 48, 0
2, 1958, Note_on_c, 0, 65, 0
2, 1971, Note_on_c, 0, 44, 0
2, 1971, Note_on_c, 0, 60, 0
2, 1985, Note_on_c, 0, 36, 0
2, 1992, Note_on_c, 0, 48, 52
2, 1992, Note_on_c, 0, 65, 52
2, 2012, Note_on_c, 0, 53, 0
2, 2033, Note_on_c, 0, 72, 58
2, 2035, Note_on_c, 0, 56, 59
2, 2066, Note_on_c, 0, 65, 0
2, 2066, Note_on_c, 0, 48, 0
2, 2071, Note_on_c, 0, 77, 60
2, 2073, Note_on_c, 0, 60, 60
2, 2093, Note_on_c, 0, 60, 0
2, 2093, Note_on_c, 0, 77, 0
2, 2093, Note_on_c, 0, 56, 0
2, 2107, Note_on_c, 0, 72, 0
2, 2116, Note_on_c, 0, 60, 60
2, 2116, Note_on_c, 0, 77, 60
2, 2157, Note_on_c, 0, 68, 60
2, 2157, Note_on_c, 0, 84, 60
2, 2198, Note_on_c, 0, 72, 85
2, 2198, Note_on_c, 0, 89, 85
2, 2203, Note_on_c, 0, 84, 0
2, 2203, Note_on_c, 0, 68, 0
2, 2203, Note_on_c, 0, 60, 0
2, 2241, Note_on_c, 0, 68, 60
2, 2255, Note_on_c, 0, 84, 60
2, 2261, Note_on_c, 0, 77, 0
2, 2275, Note_on_c, 0, 72, 0
2, 2288, Note_on_c, 0, 89, 0
2, 2295, Note_on_c, 0, 77, 60
2, 2298, Note_on_c, 0, 60, 60
2, 2304, Note_on_c, 0, 68, 0
2, 2318, Note_on_c, 0, 84, 0
2, 2318, Note_on_c, 0, 77, 0
2, 2318, Note_on_c, 0, 60, 0
2, 2338, Note_on_c, 0, 60, 54
2, 2338, Note_on_c, 0, 77, 54
2, 2366, Note_on_c, 0, 72, 52
2, 2379, Note_on_c, 0, 56, 52
2, 2393, Note_on_c, 0, 48, 52
2, 2400, Note_on_c, 0, 77, 0
2, 2401, Note_on_c, 0, 60, 0
2, 2406, Note_on_c, 0, 65, 52
2, 2426, Note_on_c, 0, 56, 0
2, 2426, Note_on_c, 0, 72, 0
2, 2488, Note_on_c, 0, 44, 52
2, 2488, Note_on_c, 0, 60, 52
2, 2522, Note_on_c, 0, 48, 0
2, 2522, Note_on_c, 0, 65, 0
2, 2522, Control_c, 0, 64, 0
2, 2538, Note_on_c, 0, 44, 0
2, 2544, Note_on_c, 0, 51, 89
2, 2549, Note_on_c, 0, 60, 0
2, 2588, Note_on_c, 0, 36, 52
2, 2613, Note_on_c, 0, 43, 52
2, 2624, Note_on_c, 0, 55, 52
2, 2654, Note_on_c, 0, 48, 52
2, 2654, Note_on_c, 0, 63, 52
2, 2671, Control_c, 0, 64, 127
2, 2674, Note_on_c, 0, 63, 0
2, 2674, Note_on_c, 0, 43, 0
2, 2674, Note_on_c, 0, 48, 0
2, 2688, Note_on_c, 0, 55, 0
2, 2694, Note_on_c, 0, 48, 52
2, 2694, Note_on_c, 0, 63, 52
2, 2714, Note_on_c, 0, 36, 0
2, 2737, Note_on_c, 0, 55, 52
2, 2737, Note_on_c, 0, 67, 52
2, 2744, Note_on_c, 0, 51, 0
2, 2769, Note_on_c, 0, 63, 0
2, 2778, Note_on_c, 0, 60, 52
2, 2778, Note_on_c, 0, 75, 52
2, 2785, Note_on_c, 0, 48, 0
2, 2799, Note_on_c, 0, 60, 0
2, 2799, Note_on_c, 0, 67, 0
2, 2799, Note_on_c, 0, 75, 0
2, 2814, Note_on_c, 0, 55, 0
2, 2821, Note_on_c, 0, 60, 52
2, 2821, Note_on_c, 0, 75, 52
2, 2859, Note_on_c, 0, 67, 52
2, 2859, Note_on_c, 0, 79, 52
2, 2882, Note_on_c, 0, 75, 0
2, 2901, Note_on_c, 0, 72, 89
2, 2901, Note_on_c, 0, 87, 89
2, 2907, Note_on_c, 0, 79, 0
2, 2907, Note_on_c, 0, 67, 0
2, 2921, Note_on_c, 0, 60, 0
2, 2944, Note_on_c, 0, 67, 52
2, 2955, Note_on_c, 0, 79, 52
2, 2964, Note_on_c, 0, 72, 0
2, 2980, Note_on_c, 0, 60, 52
2, 2987, Note_on_c, 0, 87, 0
2, 2987, Note_on_c, 0, 79, 0
2, 2994, Note_on_c, 0, 75, 52
2, 3002, Note_on_c, 0, 67, 0
2, 3002, Note_on_c, 0, 60, 0
2, 3016, Note_on_c, 0, 75, 0
2, 3023, Note_on_c, 0, 60, 52
2, 3039, Note_on_c, 0, 75, 52
2, 3064, Note_on_c, 0, 55, 52
2, 3064, Note_on_c, 0, 67, 52
2, 3087, Note_on_c, 0, 60, 0
2, 3107, Note_on_c, 0, 48, 52
2, 3107, Note_on_c, 0, 63, 52
2, 3114, Note_on_c, 0, 75, 0
2, 3125, Note_on_c, 0, 48, 0
2, 3125, Note_on_c, 0, 63, 0
2, 3125, Note_on_c, 0, 55, 0
2, 3139, Note_on_c, 0, 67, 0
2, 3164, Note_on_c, 0, 48, 52
2, 3164, Note_on_c, 0, 63, 52
2, 3193, Note_on_c, 0, 43, 52
2, 3193, Note_on_c, 0, 55, 52
2, 3222, Note_on_c, 0, 48, 0
2, 3232, Note_on_c, 0, 50, 99
2, 3239, Note_on_c, 0, 43, 0
2, 3264, Control_c, 0, 64, 0
2, 3284, Note_on_c, 0, 36, 52
2, 3290, Note_on_c, 0, 55, 0
2, 3290, Note_on_c, 0, 63, 0
2, 3311, Note_on_c, 0, 56, 52
