0, 0, Header, 1, 3, 384
1, 0, Start_track
1, 0, Title_t, "--------"
1, 0, Text_t, "Piano right\012"
1, 0, Text_t, "Piano left\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 468750
1, 6530, Tempo, 666667
1, 6916, Tempo, 857143
1, 7301, Tempo, 1000000
1, 7680, Tempo, 468750
1, 112434, Tempo, 472441
1, 112852, Tempo, 476190
1, 112893, Tempo, 480000
1, 112937, Tempo, 483871
1, 112980, Tempo, 487805
1, 113024, Tempo, 491803
1, 113068, Tempo, 495868
1, 113108, Tempo, 500000
1, 113153, Tempo, 504202
1, 113192, Tempo, 508475
1, 113235, Tempo, 512821
1, 113275, Tempo, 517241
1, 113317, Tempo, 521739
1, 113358, Tempo, 526316
1, 113397, Tempo, 530973
1, 113436, Tempo, 535714
1, 113475, Tempo, 540541
1, 113515, Tempo, 545455
1, 113553, Tempo, 550459
1, 113592, Tempo, 555556
1, 113631, Tempo, 560748
1, 113668, Tempo, 566038
1, 113706, Tempo, 571429
1, 113742, Tempo, 576923
1, 113778, Tempo, 582524
1, 113816, Tempo, 588235
1, 113850, Tempo, 594059
1, 113886, Tempo, 600000
1, 113922, Tempo, 606061
1, 113956, Tempo, 612245
1, 113990, Tempo, 618557
1, 114024, Tempo, 625000
1, 114059, Tempo, 631579
1, 114091, Tempo, 638298
1, 114125, Tempo, 645161
1, 114157, Tempo, 652174
1, 114190, Tempo, 659341
1, 114221, Tempo, 666667
1, 114253, Tempo, 674157
1, 114285, Tempo, 681818
1, 114316, Tempo, 689655
1, 114355, Tempo, 517241
1, 114398, Tempo, 521739
1, 114437, Tempo, 526316
1, 114479, Tempo, 530973
1, 114516, Tempo, 535714
1, 114555, Tempo, 540541
1, 114595, Tempo, 545455
1, 114633, Tempo, 550459
1, 114672, Tempo, 555556
1, 114710, Tempo, 638298
1, 114753, Tempo, 705882
1, 114791, Tempo, 821918
1, 114817, Tempo, 1034483
1, 114831, Tempo, 1153846
1, 114846, Tempo, 1111111
1, 114869, Tempo, 731707
1, 115233, Tempo, 468750
1, 122717, Tempo, 476190
1, 122760, Tempo, 472441
1, 126532, Tempo, 468750
1, 127004, Tempo, 465116
1, 127283, Tempo, 461538
1, 129539, Tempo, 458015
1, 130426, Tempo, 454545
1, 136400, Tempo, 458015
1, 136826, Tempo, 461538
1, 136856, Tempo, 465116
1, 136886, Tempo, 468750
1, 136930, Tempo, 472441
1, 136974, Tempo, 476190
1, 137019, Tempo, 480000
1, 137397, Tempo, 483871
1, 138322, Tempo, 487805
1, 139607, Tempo, 491803
1, 140004, Tempo, 495868
1, 141255, Tempo, 491803
1, 141652, Tempo, 487805
1, 141683, Tempo, 483871
1, 141720, Tempo, 480000
1, 141764, Tempo, 476190
1, 141808, Tempo, 472441
1, 141852, Tempo, 468750
1, 141898, Tempo, 465116
1, 142428, Tempo, 468750
1, 142788, Tempo, 472441
1, 142848, Time_signature, 2, 2, 24, 8
1, 143230, Tempo, 476190
1, 143616, Time_signature, 4, 2, 24, 8
1, 143640, Tempo, 480000
1, 143669, Tempo, 483871
1, 143699, Tempo, 487805
1, 143734, Tempo, 491803
1, 143776, Tempo, 495868
1, 143819, Tempo, 500000
1, 143861, Tempo, 504202
1, 144295, Tempo, 508475
1, 144680, Tempo, 512821
1, 144705, Tempo, 517241
1, 144735, Tempo, 521739
1, 144775, Tempo, 526316
1, 144816, Tempo, 530973
1, 144855, Tempo, 535714
1, 144896, Tempo, 540541
1, 144935, Tempo, 545455
1, 144973, Tempo, 550459
1, 145010, Tempo, 555556
1, 145049, Tempo, 560748
1, 145086, Tempo, 566038
1, 145125, Tempo, 571429
1, 145160, Tempo, 576923
1, 145196, Tempo, 582524
1, 145233, Tempo, 588235
1, 145268, Tempo, 594059
1, 145305, Tempo, 600000
1, 145339, Tempo, 606061
1, 145376, Tempo, 612245
1, 145410, Tempo, 618557
1, 145443, Tempo, 625000
1, 145477, Tempo, 631579
1, 145511, Tempo, 638298
1, 145543, Tempo, 645161
1, 145576, Tempo, 652174
1, 146736, Tempo, 645161
1, 147616, Tempo, 638298
1, 147924, Tempo, 631579
1, 147954, Tempo, 625000
1, 147988, Tempo, 618557
1, 148022, Tempo, 612245
1, 148056, Tempo, 606061
1, 148092, Tempo, 600000
1, 148126, Tempo, 594059
1, 148162, Tempo, 588235
1, 148198, Tempo, 582524
1, 148233, Tempo, 576923
1, 148271, Tempo, 571429
1, 149211, Tempo, 566038
1, 149556, Tempo, 560748
1, 149579, Tempo, 555556
1, 149606, Tempo, 550459
1, 149642, Tempo, 545455
1, 149681, Tempo, 540541
1, 149720, Tempo, 535714
1, 149761, Tempo, 530973
1, 149799, Tempo, 526316
1, 149838, Tempo, 521739
1, 153230, Tempo, 517241
1, 153608, Tempo, 512821
1, 153643, Tempo, 508475
1, 153687, Tempo, 504202
1, 153728, Tempo, 500000
1, 155784, Tempo, 495868
1, 156074, Tempo, 491803
1, 156399, Tempo, 487805
1, 156844, Tempo, 483871
1, 157159, Tempo, 480000
1, 157531, Tempo, 476190
1, 157973, Tempo, 472441
1, 158311, Tempo, 468750
1, 160718, Tempo, 472441
1, 161131, Tempo, 476190
1, 161167, Tempo, 480000
1, 161200, Tempo, 483871
1, 161245, Tempo, 487805
1, 161287, Tempo, 491803
1, 161331, Tempo, 495868
1, 161373, Tempo, 500000
1, 161414, Tempo, 504202
1, 161458, Tempo, 508475
1, 161498, Tempo, 512821
1, 161540, Tempo, 517241
1, 161580, Tempo, 521739
1, 161621, Tempo, 526316
1, 161660, Tempo, 530973
1, 161701, Tempo, 535714
1, 161741, Tempo, 540541
1, 161779, Tempo, 545455
1, 161817, Tempo, 550459
1, 161856, Tempo, 555556
1, 161894, Tempo, 560748
1, 161933, Tempo, 566038
1, 161969, Tempo, 571429
1, 162006, Tempo, 576923
1, 162042, Tempo, 582524
1, 162078, Tempo, 588235
1, 162114, Tempo, 594059
1, 162149, Tempo, 600000
1, 162186, Tempo, 606061
1, 162219, Tempo, 612245
1, 162255, Tempo, 618557
1, 162288, Tempo, 625000
1, 162322, Tempo, 631579
1, 162355, Tempo, 638298
1, 162389, Tempo, 645161
1, 162422, Tempo, 652174
