0, 0, Header, 1, 5, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 0, Marker_t, "Beethoven"
1, 1440, Tempo, 1111111
1, 1800, Tempo, 1132075
1, 1920, Tempo, 1111111
1, 1920, Marker_t, "Sechs Variationen"
1, 3720, Tempo, 1132075
1, 3840, Tempo, 923077
1, 3840, Marker_t, "Bunji Hisamori"
1, 4120, Tempo, 952381
1, 4160, Tempo, 1276596
1, 4800, Tempo, 845070
1, 5000, Tempo, 869565
1, 5040, Tempo, 2500000
1, 5280, Tempo, 1276596
1, 5520, Tempo, 1111111
1, 5640, Tempo, 1132075
1, 5760, Tempo, 1111111
1, 5760, Marker_t, "July 1998"
1, 7620, Tempo, 1132075
1, 7680, Tempo, 1111111
1, 8520, Tempo, 1132075
1, 8760, Tempo, 1111111
1, 9320, Tempo, 1132075
1, 9430, Tempo, 1176471
1, 9600, Tempo, 1071429
1, 9760, Tempo, 1111111
1, 9800, Tempo, 1578947
1, 10080, Tempo, 1111111
1, 11400, Tempo, 1132075
1, 11520, Tempo, 923077
1, 11800, Tempo, 952381
1, 11840, Tempo, 1276596
1, 12480, Tempo, 845070
1, 12680, Tempo, 869565
1, 12720, Tempo, 1818182
1, 13200, Tempo, 1111111
1, 13320, Tempo, 1132075
1, 13440, Tempo, 1111111
1, 14280, Tempo, 1132075
1, 16200, Tempo, 1176471
1, 16560, Tempo, 1363636
1, 17040, Tempo, 1111111
1, 17160, Tempo, 1132075
1, 17280, Tempo, 1111111
1, 19080, Tempo, 1132075
1, 19312, Tempo, 1111111
1, 20760, Tempo, 1132075
1, 21120, Tempo, 1111111
1, 22020, Tempo, 1132075
1, 22920, Tempo, 1176471
1, 23530, Tempo, 1111111
1, 23910, Tempo, 1132075
1, 24020, Tempo, 1111111
1, 24840, Tempo, 1132075
1, 25450, Tempo, 1111111
1, 25810, Tempo, 1132075
1, 25920, Tempo, 1111111
1, 26340, Tempo, 1132075
1, 26820, Tempo, 1176471
1, 27360, Tempo, 1132075
1, 27975, Tempo, 1176471
1, 28380, Tempo, 1500000
1, 28800, Tempo, 1111111
1, 30600, Tempo, 1132075
1, 30720, Tempo, 923077
1, 31000, Tempo, 952381
1, 31040, Tempo, 1276596
1, 31680, Tempo, 845070
1, 31880, Tempo, 869565
1, 31920, Tempo, 2500000
1, 32160, Tempo, 1132075
1, 32400, Tempo, 1111111
1, 32520, Tempo, 1132075
1, 32640, Tempo, 1111111
1, 34545, Tempo, 1132075
1, 34560, Tempo, 1111111
1, 35400, Tempo, 1132075
1, 35640, Tempo, 1111111
1, 36200, Tempo, 1132075
1, 36310, Tempo, 1176471
1, 36480, Tempo, 1071429
1, 36640, Tempo, 1111111
1, 36680, Tempo, 1578947
1, 36960, Tempo, 1111111
1, 38280, Tempo, 1132075
1, 38400, Tempo, 923077
1, 38680, Tempo, 952381
1, 38720, Tempo, 1276596
1, 39360, Tempo, 845070
1, 39560, Tempo, 869565
1, 39600, Tempo, 1818182
1, 40080, Tempo, 1111111
1, 40200, Tempo, 1132075
1, 40320, Tempo, 1111111
1, 41160, Tempo, 1132075
1, 42140, Tempo, 1176471
1, 42720, Tempo, 1276596
1, 43700, Tempo, 588235
1, 45120, Marker_t, "1"
1, 45600, Tempo, 1176471
1, 45960, Tempo, 1276596
1, 46080, Tempo, 1176471
1, 46998, Tempo, 1224490
1, 47040, Tempo, 1176471
1, 47962, Tempo, 1224490
1, 48000, Tempo, 1176471
1, 48924, Tempo, 1224490
1, 48960, Tempo, 1176471
1, 49740, Tempo, 1224490
1, 49800, Tempo, 1276596
1, 49980, Tempo, 1176471
1, 50840, Tempo, 1224490
1, 50880, Tempo, 1176471
1, 51757, Tempo, 1224490
1, 51800, Tempo, 1276596
1, 51840, Tempo, 1224490
1, 51900, Tempo, 1176471
1, 52740, Tempo, 1224490
1, 52812, Tempo, 1818182
1, 52878, Tempo, 1176471
1, 53250, Tempo, 1200000
1, 53490, Tempo, 1176471
1, 53632, Tempo, 1250000
1, 53700, Tempo, 1666667
1, 53760, Tempo, 1224490
1, 53810, Tempo, 1176471
1, 54684, Tempo, 1224490
1, 54720, Tempo, 1176471
1, 55620, Tempo, 1224490
1, 55710, Tempo, 1176471
1, 56360, Tempo, 1224490
1, 56520, Tempo, 1224490
1, 56640, Tempo, 1176471
1, 57080, Tempo, 1276596
1, 57150, Tempo, 1224490
1, 57564, Tempo, 1276596
1, 57637, Tempo, 1224490
1, 58040, Tempo, 1276596
1, 58080, Tempo, 1224490
1, 58520, Tempo, 1276596
1, 58560, Tempo, 1224490
1, 59000, Tempo, 1276596
1, 59076, Tempo, 1224490
1, 59400, Tempo, 1276596
