0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 4, 1, 48, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 491803
1, 0, Marker_t, "Beethoven"
1, 1440, Tempo, 240000
1, 1440, Marker_t, "Diabelli Variations"
1, 1920, Tempo, 240000
1, 3840, Marker_t, "Bunji Hisamori"
1, 5760, Marker_t, "Jan. 1999"
1, 7680, Tempo, 241935
1, 8030, Tempo, 240000
1, 13650, Tempo, 246914
1, 13920, Tempo, 240000
1, 16730, Tempo, 241935
1, 16800, Tempo, 240000
1, 19597, Tempo, 241935
1, 19680, Tempo, 240000
1, 21105, Tempo, 244898
1, 21600, Tempo, 241935
1, 22575, Tempo, 246914
1, 23990, Tempo, 266667
1, 24480, Tempo, 260870
1, 24720, Tempo, 263158
1, 24960, Tempo, 240000
1, 30720, Tempo, 241935
1, 31070, Tempo, 240000
1, 36690, Tempo, 246914
1, 36960, Tempo, 240000
1, 39770, Tempo, 241935
1, 39840, Tempo, 240000
1, 42637, Tempo, 241935
1, 42720, Tempo, 240000
1, 44145, Tempo, 244898
1, 44640, Tempo, 241935
1, 45615, Tempo, 246914
1, 47030, Tempo, 266667
1, 47520, Tempo, 260870
1, 48360, Tempo, 240000
1, 53760, Tempo, 241935
1, 54110, Tempo, 240000
1, 59730, Tempo, 243902
1, 60000, Tempo, 240000
1, 62800, Tempo, 241935
1, 62880, Tempo, 240000
1, 65677, Tempo, 241935
1, 65760, Tempo, 240000
1, 67200, Tempo, 244898
1, 67695, Tempo, 241935
1, 68670, Tempo, 246914
1, 70085, Tempo, 266667
1, 70575, Tempo, 260870
1, 71040, Tempo, 263158
1, 71400, Tempo, 240000
1, 76800, Tempo, 241935
1, 77150, Tempo, 240000
1, 82770, Tempo, 243902
1, 83040, Tempo, 240000
1, 85840, Tempo, 241935
1, 85920, Tempo, 240000
1, 88717, Tempo, 241935
1, 88800, Tempo, 240000
1, 90380, Tempo, 247934
1, 90720, Tempo, 245902
1, 91690, Tempo, 250000
1, 92160, Tempo, 251046
1, 92895, Tempo, 254237
1, 93140, Tempo, 288462
1, 93600, Tempo, 335196
1, 94080, Tempo, 260870
1, 95040, Marker_t, "1  "
1, 96480, Tempo, 344828
1, 96840, Tempo, 348837
1, 96960, Tempo, 344828
1, 98760, Tempo, 348837
1, 98880, Tempo, 344828
1, 100680, Tempo, 348837
1, 100800, Tempo, 344828
1, 102600, Tempo, 348837
1, 103695, Tempo, 344828
1, 104520, Tempo, 348837
1, 104640, Tempo, 344828
1, 106440, Tempo, 348837
1, 106560, Tempo, 344828
1, 108360, Tempo, 348837
1, 108480, Tempo, 344828
1, 110280, Tempo, 348837
1, 111820, Tempo, 352941
1, 112090, Tempo, 348837
1, 112320, Tempo, 344828
