0, 0, Header, 1, 2, 120
1, 0, Start_track
1, 0, Title_t, "Piano Concerto G-min"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 342857
1, 3120, Tempo, 382166
1, 3240, Tempo, 428571
1, 3360, Tempo, 342857
1, 4800, Tempo, 458015
1, 4920, Tempo, 405405
1, 5040, Tempo, 342857
1, 6720, Tempo, 428571
1, 6840, Tempo, 382166
1, 6960, Tempo, 342857
1, 19680, Tempo, 372671
1, 19800, Tempo, 342857
1, 20160, Tempo, 372671
1, 20280, Tempo, 342857
1, 20640, Tempo, 372671
1, 20760, Tempo, 342857
1, 21120, Tempo, 372671
1, 21240, Tempo, 342857
1, 21600, Tempo, 372671
1, 21720, Tempo, 342857
1, 24240, Tempo, 355030
1, 24480, Tempo, 342857
1, 24720, Tempo, 355030
1, 24960, Tempo, 342857
1, 26160, Tempo, 355030
1, 26400, Tempo, 342857
1, 26640, Tempo, 355030
1, 26880, Tempo, 342857
1, 28080, Tempo, 355030
1, 28320, Tempo, 342857
1, 28560, Tempo, 355030
1, 28800, Tempo, 342857
1, 36120, Tempo, 361446
1, 36240, Tempo, 382166
1, 36360, Tempo, 405405
1, 36480, Tempo, 458015
1, 36960, Tempo, 491803
1, 37200, Tempo, 458015
1, 38520, Tempo, 483871
1, 38700, Tempo, 521739
1, 38880, Tempo, 555556
1, 39060, Tempo, 594059
1, 39240, Tempo, 689655
1, 39360, Tempo, 458015
1, 39840, Tempo, 491803
1, 40200, Tempo, 476190
1, 40320, Tempo, 504202
1, 40620, Tempo, 476190
1, 40800, Tempo, 458015
1, 58080, Tempo, 240000
1, 59040, Tempo, 458015
1, 76560, Tempo, 491803
1, 76680, Tempo, 458015
1, 84960, Tempo, 472441
1, 85200, Tempo, 512821
1, 85440, Tempo, 566038
1, 85680, Tempo, 625000
1, 85920, Tempo, 458015
1, 91200, Tempo, 476190
1, 91320, Tempo, 458015
1, 92160, Tempo, 476190
1, 92280, Tempo, 458015
1, 102360, Tempo, 447761
1, 103080, Tempo, 491803
1, 103200, Tempo, 458015
1, 103320, Tempo, 447761
1, 104040, Tempo, 491803
1, 104160, Tempo, 458015
1, 104880, Tempo, 472441
1, 105000, Tempo, 504202
