0, 0, Header, 1, 4, 192
1, 0, Start_track
1, 0, Title_t, "Vocal reduction to piano (with Piano accompaniment)"
1, 0, Copyright_t, "Adaptation for Disklavier pianos, by: Robert C. Kuhmann (c) 2012."
1, 0, Text_t, "Copyright © 2004 by ANTONIO LAVIANO All Rights Reserved"
1, 0, Text_t, "By F.POLENC \012"
1, 0, Time_signature, 2, 1, 48, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 394737
1, 5308, Tempo, 397351
1, 5337, Tempo, 400000
1, 5366, Tempo, 402685
1, 5395, Tempo, 405405
1, 5423, Tempo, 408163
1, 5452, Tempo, 410959
1, 5481, Tempo, 413793
1, 5510, Tempo, 416667
1, 5539, Tempo, 419580
1, 5567, Tempo, 422535
1, 5596, Tempo, 425532
1, 5625, Tempo, 428571
1, 5654, Tempo, 431655
1, 5683, Tempo, 434783
1, 5711, Tempo, 437956
1, 5740, Tempo, 441176
1, 5769, Tempo, 444444
1, 5798, Tempo, 447761
1, 5827, Tempo, 451128
1, 5856, Tempo, 454545
1, 5952, Tempo, 394737
1, 11424, Tempo, 500000
1, 11520, Tempo, 405405
1, 16512, Tempo, 454545
1, 16896, Tempo, 400000
1, 17376, Tempo, 454545
1, 17472, Tempo, 400000
1, 19968, Time_signature, 1, 1, 48, 8
1, 20352, Time_signature, 2, 1, 48, 8
1, 28032, Time_signature, 3, 1, 48, 8
1, 29184, Time_signature, 2, 1, 48, 8
1, 35400, Tempo, 397351
1, 35472, Tempo, 394737
1, 35544, Tempo, 392157
1, 35616, Tempo, 389610
1, 35688, Tempo, 387097
1, 35760, Tempo, 384615
1, 35832, Tempo, 382166
1, 35904, Tempo, 379747
1, 35976, Tempo, 377358
1, 36048, Tempo, 375000
1, 36120, Tempo, 372671
1, 36192, Tempo, 370370
1, 36264, Tempo, 368098
1, 36336, Tempo, 365854
1, 36408, Tempo, 363636
1, 36480, Tempo, 361446
1, 36552, Tempo, 359281
1, 36624, Tempo, 357143
1, 36696, Tempo, 355030
1, 36768, Tempo, 352941
1, 38917, Tempo, 355030
1, 38954, Tempo, 357143
1, 38991, Tempo, 359281
1, 39029, Tempo, 361446
1, 39066, Tempo, 363636
1, 39103, Tempo, 365854
1, 39141, Tempo, 368098
1, 39178, Tempo, 370370
1, 39215, Tempo, 372671
1, 39253, Tempo, 375000
1, 39290, Tempo, 377358
1, 39327, Tempo, 379747
1, 39365, Tempo, 382166
1, 39402, Tempo, 384615
1, 39439, Tempo, 387097
1, 39477, Tempo, 389610
1, 39514, Tempo, 392157
1, 39551, Tempo, 394737
1, 39589, Tempo, 397351
1, 39626, Tempo, 400000
1, 39663, Tempo, 402685
1, 39701, Tempo, 405405
1, 39738, Tempo, 408163
1, 39775, Tempo, 410959
1, 39813, Tempo, 413793
1, 39850, Tempo, 416667
1, 39887, Tempo, 419580
1, 39925, Tempo, 422535
1, 39962, Tempo, 425532
1, 39999, Tempo, 428571
1, 40037, Tempo, 431655
1, 40074, Tempo, 434783
1, 40111, Tempo, 437956
1, 40149, Tempo, 441176
1, 40186, Tempo, 444444
1, 40223, Tempo, 447761
1, 40261, Tempo, 451128
1, 40298, Tempo, 454545
1, 40335, Tempo, 458015
1, 40373, Tempo, 461538
1, 40410, Tempo, 465116
1, 40447, Tempo, 468750
1, 40485, Tempo, 472441
1, 40522, Tempo, 476190
1, 40559, Tempo, 480000
1, 40597, Tempo, 483871
1, 40634, Tempo, 487805
1, 40671, Tempo, 491803
1, 40709, Tempo, 495868
1, 40746, Tempo, 500000
1, 40783, Tempo, 504202
1, 40821, Tempo, 508475
1, 40858, Tempo, 512821
1, 40895, Tempo, 517241
1, 40933, Tempo, 521739
1, 40970, Tempo, 526316
1, 41007, Tempo, 530973
1, 41045, Tempo, 535714
1, 41082, Tempo, 540541
1, 41119, Tempo, 545455
1, 41157, Tempo, 550459
1, 41194, Tempo, 555556
1, 41231, Tempo, 560748
1, 41269, Tempo, 566038
1, 41306, Tempo, 571429
1, 41343, Tempo, 576923
1, 41381, Tempo, 582524
1, 41418, Tempo, 588235
1, 41455, Tempo, 594059
1, 41493, Tempo, 600000
1, 41530, Tempo, 606061
1, 41567, Tempo, 612245
1, 41605, Tempo, 618557
1, 41642, Tempo, 625000
1, 41679, Tempo, 631579
1, 41717, Tempo, 638298
1, 41754, Tempo, 645161
1, 41791, Tempo, 652174
1, 41829, Tempo, 659341
1, 41866, Tempo, 666667
1, 41903, Tempo, 674157
1, 41941, Tempo, 681818
1, 41978, Tempo, 689655
1, 42015, Tempo, 697674
1, 42053, Tempo, 705882
1, 42090, Tempo, 714286
1, 42127, Tempo, 722892
1, 42165, Tempo, 731707
1, 42202, Tempo, 740741
1, 42240, Tempo, 405405
1, 53088, Tempo, 408163
1, 53184, Tempo, 410959
1, 53280, Tempo, 413793
1, 53376, Tempo, 416667
1, 53472, Tempo, 419580
1, 53568, Tempo, 422535
1, 53664, Tempo, 425532
1, 53760, Tempo, 405405
1, 66432, Tempo, 909091
1, 66816, Time_signature, 3, 2, 24, 8
1, 67392, Time_signature, 4, 2, 24, 8
1, 68160, Time_signature, 3, 2, 24, 8
1, 68736, Time_signature, 4, 2, 24, 8
1, 68989, Tempo, 923077
1, 69050, Tempo, 937500
1, 69111, Tempo, 952381
1, 69172, Tempo, 967742
1, 69233, Tempo, 983607
1, 69294, Tempo, 1000000
1, 69355, Tempo, 1016949
1, 69416, Tempo, 1034483
1, 69477, Tempo, 1052632
1, 69538, Tempo, 1071429
1, 69599, Tempo, 1090909
1, 69661, Tempo, 1111111
1, 69722, Tempo, 1132075
1, 69783, Tempo, 1153846
1, 69844, Tempo, 1176471
1, 69905, Tempo, 1200000
1, 69966, Tempo, 1224490
1, 70027, Tempo, 1250000
1, 70088, Tempo, 1276596
1, 70149, Tempo, 1304348
1, 70210, Tempo, 1333333
1, 70272, Tempo, 1363636
1, 70272, End_track
2, 0, Start_track
2, 0, Title_t, "Grand Piano"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 115
2, 0, Control_c, 0, 10, 63
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 127
2, 0, Control_c, 0, 10, 64
2, 0, Note_on_c, 0, 76, 65
2, 160, Note_on_c, 0, 76, 0
2, 192, Note_on_c, 0, 76, 65
2, 528, Note_on_c, 0, 76, 0
2, 576, Note_on_c, 0, 74, 65
2, 670, Note_on_c, 0, 74, 0
2, 672, Note_on_c, 0, 76, 65
2, 766, Note_on_c, 0, 76, 0
2, 768, Note_on_c, 0, 74, 65
2, 928, Note_on_c, 0, 74, 0
2, 960, Note_on_c, 0, 72, 65
2, 1296, Note_on_c, 0, 72, 0
2, 1344, Note_on_c, 0, 72, 65
2, 1440, Note_on_c, 0, 72, 0
2, 1440, Note_on_c, 0, 74, 65
2, 1536, Note_on_c, 0, 74, 0
2, 1536, Note_on_c, 0, 76, 65
2, 1728, Note_on_c, 0, 76, 0
2, 1728, Note_on_c, 0, 74, 65
2, 1824, Note_on_c, 0, 74, 0
2, 1824, Note_on_c, 0, 76, 65
2, 1920, Note_on_c, 0, 76, 0
2, 1920, Note_on_c, 0, 77, 65
2, 2016, Note_on_c, 0, 77, 0
2, 2016, Note_on_c, 0, 76, 65
2, 2112, Note_on_c, 0, 76, 0
2, 2112, Note_on_c, 0, 74, 65
2, 2208, Note_on_c, 0, 74, 0
2, 2208, Note_on_c, 0, 76, 65
2, 2304, Note_on_c, 0, 76, 0
2, 2304, Note_on_c, 0, 74, 65
2, 2496, Note_on_c, 0, 74, 0
2, 2496, Note_on_c, 0, 72, 65
2, 2656, Note_on_c, 0, 72, 0
2, 2784, Note_on_c, 0, 67, 82
2, 2880, Note_on_c, 0, 67, 0
2, 2880, Note_on_c, 0, 72, 82
2, 2976, Note_on_c, 0, 72, 0
2, 2976, Note_on_c, 0, 76, 82
2, 3072, Note_on_c, 0, 76, 0
2, 3072, Note_on_c, 0, 79, 82
2, 3360, Note_on_c, 0, 79, 0
2, 3360, Note_on_c, 0, 77, 82
2, 3456, Note_on_c, 0, 77, 0
2, 3456, Note_on_c, 0, 77, 82
2, 3648, Note_on_c, 0, 77, 0
2, 3648, Note_on_c, 0, 76, 82
2, 3744, Note_on_c, 0, 76, 0
2, 3744, Note_on_c, 0, 71, 82
2, 3840, Note_on_c, 0, 71, 0
2, 3840, Note_on_c, 0, 77, 82
2, 4032, Note_on_c, 0, 77, 0
2, 4032, Note_on_c, 0, 76, 82
2, 4368, Note_on_c, 0, 76, 0
2, 4416, Note_on_c, 0, 72, 82
2, 4510, Note_on_c, 0, 72, 0
2, 4512, Note_on_c, 0, 74, 82
2, 4606, Note_on_c, 0, 74, 0
2, 4608, Note_on_c, 0, 76, 82
2, 4768, Note_on_c, 0, 76, 0
2, 4800, Note_on_c, 0, 76, 82
2, 4894, Note_on_c, 0, 76, 0
2, 4896, Note_on_c, 0, 76, 82
2, 4990, Note_on_c, 0, 76, 0
2, 4992, Note_on_c, 0, 76, 82
2, 5152, Note_on_c, 0, 76, 0
2, 5184, Note_on_c, 0, 74, 82
2, 5278, Note_on_c, 0, 74, 0
2, 5280, Note_on_c, 0, 72, 82
2, 5374, Note_on_c, 0, 72, 0
2, 5376, Note_on_c, 0, 71, 50
2, 5376, Note_on_c, 0, 79, 50
2, 5854, Note_on_c, 0, 79, 0
2, 5854, Note_on_c, 0, 71, 0
2, 5952, Note_on_c, 0, 67, 74
2, 6144, Note_on_c, 0, 67, 0
2, 6144, Note_on_c, 0, 69, 74
2, 6528, Note_on_c, 0, 69, 0
2, 6528, Note_on_c, 0, 69, 50
2, 6624, Note_on_c, 0, 69, 0
2, 6624, Note_on_c, 0, 76, 50
2, 6720, Note_on_c, 0, 76, 0
2, 6720, Note_on_c, 0, 74, 50
2, 6816, Note_on_c, 0, 74, 0
2, 6816, Note_on_c, 0, 69, 50
2, 6912, Note_on_c, 0, 69, 0
2, 6912, Note_on_c, 0, 67, 74
2, 7440, Note_on_c, 0, 67, 0
2, 7488, Note_on_c, 0, 72, 50
2, 7582, Note_on_c, 0, 72, 0
2, 7584, Note_on_c, 0, 67, 50
2, 7678, Note_on_c, 0, 67, 0
2, 7680, Note_on_c, 0, 69, 50
2, 7840, Note_on_c, 0, 69, 0
2, 7872, Note_on_c, 0, 64, 50
2, 7966, Note_on_c, 0, 64, 0
2, 7968, Note_on_c, 0, 62, 50
2, 8062, Note_on_c, 0, 62, 0
2, 8064, Note_on_c, 0, 64, 50
2, 8224, Note_on_c, 0, 64, 0
2, 8256, Note_on_c, 0, 64, 50
2, 8416, Note_on_c, 0, 64, 0
2, 8448, Note_on_c, 0, 64, 50
2, 8976, Note_on_c, 0, 64, 0
