0, 0, Header, 1, 3, 360
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 2, 1, 48, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 172, Tempo, 394737
1, 188640, Tempo, 416667
1, 188820, Tempo, 427533
1, 189000, Tempo, 438982
1, 189180, Tempo, 451060
1, 189360, Tempo, 463822
1, 189540, Tempo, 477327
1, 189720, Tempo, 490196
1, 189900, Tempo, 506842
1, 190080, Time_signature, 2, 2, 24, 8
1, 190080, Tempo, 523013
1, 190260, Tempo, 540249
1, 190440, Tempo, 558659
1, 190620, Tempo, 578369
1, 190800, Time_signature, 2, 1, 48, 8
1, 190800, Tempo, 600000
1, 192240, Tempo, 394737
1, 192312, Tempo, 394737
1, 192384, Tempo, 394737
1, 192455, Tempo, 394737
1, 192527, Tempo, 394737
1, 192599, Tempo, 394737
1, 192671, Tempo, 394737
1, 192742, Tempo, 394737
1, 192814, Tempo, 394737
1, 192885, Tempo, 394737
1, 192957, Tempo, 394737
1, 224280, Tempo, 418644
1, 226800, Tempo, 394737
1, 226980, Tempo, 395465
1, 227160, Tempo, 396197
1, 227340, Tempo, 396930
1, 227520, Tempo, 397667
1, 227700, Tempo, 398406
1, 227880, Tempo, 399148
1, 228060, Tempo, 398936
1, 228240, Tempo, 400641
1, 228420, Tempo, 401391
1, 228600, Tempo, 402145
1, 228780, Tempo, 402901
1, 228960, Tempo, 403660
1, 229140, Tempo, 404422
1, 229320, Tempo, 403226
1, 229500, Tempo, 405954
1, 229680, Tempo, 406725
1, 229860, Tempo, 407498
1, 230040, Tempo, 408274
1, 230220, Tempo, 409054
1, 230400, Tempo, 409836
1, 230580, Tempo, 407609
1, 230760, Tempo, 411410
1, 230940, Tempo, 412201
1, 231120, Tempo, 412996
1, 231300, Tempo, 413793
1, 231480, Tempo, 414594
1, 231660, Tempo, 415397
1, 231840, Tempo, 412088
1, 232020, Tempo, 417014
1, 232200, Tempo, 417827
1, 232560, Tempo, 419463
1, 232740, Tempo, 420286
1, 232920, Tempo, 421112
1, 233100, Tempo, 421941
1, 233280, Tempo, 422773
