0, 0, Header, 1, 2, 360
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -6, "major"
1, 0, Tempo, 666667
1, 9720, Tempo, 666667
1, 9743, Tempo, 677507
1, 9765, Tempo, 688784
1, 9788, Tempo, 700362
1, 9810, Tempo, 712335
1, 9833, Tempo, 724813
1, 9855, Tempo, 737644
1, 9878, Tempo, 750939
1, 9900, Tempo, 764818
1, 9923, Tempo, 779120
1, 9945, Tempo, 793966
1, 9968, Tempo, 809389
1, 9990, Tempo, 825537
1, 10013, Tempo, 842223
1, 10035, Tempo, 859599
1, 10079, Tempo, 895522
1, 10080, Tempo, 666667
1, 14580, Tempo, 666667
1, 14653, Tempo, 676743
1, 14726, Tempo, 687049
1, 14799, Tempo, 697756
1, 14873, Tempo, 708801
1, 14946, Tempo, 720115
1, 15019, Tempo, 731886
1, 15092, Tempo, 743955
1, 15165, Tempo, 756525
1, 15238, Tempo, 769527
1, 15311, Tempo, 782881
1, 15384, Tempo, 796813
1, 15458, Tempo, 811249
1, 15531, Tempo, 826105
1, 15604, Tempo, 841633
1, 15677, Tempo, 857633
1, 15750, Tempo, 874381
1, 15839, Tempo, 895522
1, 15840, Tempo, 666667
1, 29340, Tempo, 666667
1, 29392, Tempo, 676666
1, 29444, Tempo, 686970
1, 29496, Tempo, 697674
1, 29548, Tempo, 708634
1, 29600, Tempo, 719942
1, 29652, Tempo, 731618
1, 29704, Tempo, 743679
1, 29756, Tempo, 756144
1, 29808, Tempo, 769132
1, 29861, Tempo, 782473
1, 29912, Tempo, 796284
1, 29964, Tempo, 810592
1, 30017, Tempo, 825423
1, 30069, Tempo, 840807
1, 30120, Tempo, 856898
1, 30173, Tempo, 873490
1, 30239, Tempo, 895522
1, 30240, Tempo, 666667
1, 35460, Tempo, 666667
1, 35491, Tempo, 676590
1, 35522, Tempo, 686813
1, 35553, Tempo, 697350
1, 35584, Tempo, 708215
1, 35615, Tempo, 719511
1, 35646, Tempo, 731083
1, 35677, Tempo, 743034
1, 35708, Tempo, 755382
1, 35739, Tempo, 768147
1, 35769, Tempo, 781352
1, 35801, Tempo, 795018
1, 35831, Tempo, 809171
1, 35862, Tempo, 823836
1, 35893, Tempo, 839161
1, 35924, Tempo, 854944
1, 35955, Tempo, 871333
1, 35999, Tempo, 895522
1, 36000, Time_signature, 6, 2, 24, 8
1, 36000, Tempo, 666667
1, 38160, Time_signature, 4, 2, 24, 8
1, 52560, Time_signature, 6, 2, 24, 8
1, 56880, Time_signature, 4, 2, 24, 8
1, 58320, Tempo, 666667
1, 58404, Tempo, 676819
1, 58489, Tempo, 687285
1, 58573, Tempo, 698080
1, 58658, Tempo, 709220
1, 58742, Tempo, 720634
1, 58826, Tempo, 732511
1, 58911, Tempo, 744786
1, 58995, Tempo, 757480
1, 59079, Tempo, 770614
1, 59164, Tempo, 784211
1, 59248, Tempo, 798297
1, 59333, Tempo, 812898
1, 59417, Tempo, 828043
1, 59501, Tempo, 843763
1, 59586, Tempo, 859968
1, 59670, Tempo, 876937
1, 59759, Tempo, 895522
1, 59760, Tempo, 666667
1, 73080, Tempo, 666667
1, 73160, Tempo, 654379
1, 73241, Tempo, 642605
1, 73320, Tempo, 631180
1, 73401, Tempo, 620155
1, 73481, Tempo, 609570
1, 73561, Tempo, 599281
1, 73641, Tempo, 589333
1, 73721, Tempo, 579766
1, 73802, Tempo, 570451
1, 73882, Tempo, 561430
1, 73962, Tempo, 552741
1, 74042, Tempo, 544267
1, 74202, Tempo, 528123
1, 74282, Tempo, 520382
1, 74363, Tempo, 512864
1, 74458, Tempo, 504202
1, 74520, Tempo, 504202
1, 74588, Tempo, 511771
1, 74655, Tempo, 519570
1, 74723, Tempo, 527612
1, 74790, Tempo, 535906
1, 74858, Tempo, 544465
1, 74925, Tempo, 553301
1, 74993, Tempo, 562430
1, 75060, Tempo, 571864
1, 75128, Tempo, 581621
1, 75195, Tempo, 591716
1, 75263, Tempo, 602168
1, 75330, Tempo, 612996
1, 75398, Tempo, 624220
1, 75465, Tempo, 635930
1, 75533, Tempo, 648018
1, 75600, Time_signature, 3, 2, 24, 8
1, 75600, Tempo, 660575
1, 75671, Tempo, 674157
1, 75720, Tempo, 681818
1, 75839, Tempo, 697674
1, 75960, Tempo, 714286
1, 76080, Tempo, 731707
1, 76199, Tempo, 750000
1, 76320, Tempo, 769231
1, 76440, Tempo, 833333
1, 76559, Tempo, 909091
1, 76680, Time_signature, 4, 2, 24, 8
1, 76680, Tempo, 666667
1, 85320, Tempo, 666667
1, 85404, Tempo, 676819
1, 85489, Tempo, 687285
1, 85573, Tempo, 698080
1, 85658, Tempo, 709220
1, 85742, Tempo, 720634
1, 85826, Tempo, 732511
