0, 0, Header, 1, 2, 360
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 500000
1, 540, Tempo, 500000
1, 603, Tempo, 507442
1, 667, Tempo, 515110
1, 730, Tempo, 522967
1, 793, Tempo, 531114
1, 857, Tempo, 539520
1, 920, Tempo, 548196
1, 983, Tempo, 557103
1, 1110, Tempo, 575926
1, 1173, Tempo, 585823
1, 1236, Tempo, 596066
1, 1299, Tempo, 606612
1, 1363, Tempo, 617602
1, 1426, Tempo, 628997
1, 1489, Tempo, 640820
1, 1553, Tempo, 653026
1, 1620, Tempo, 666667
1, 2160, Tempo, 461538
1, 2520, Tempo, 428571
1, 2880, Tempo, 400000
1, 5400, Tempo, 400000
1, 5451, Tempo, 405927
1, 5501, Tempo, 412031
1, 5552, Tempo, 418352
1, 5603, Tempo, 424839
1, 5653, Tempo, 431530
1, 5704, Tempo, 438436
1, 5754, Tempo, 445600
1, 5805, Tempo, 452967
1, 5856, Tempo, 460582
1, 5906, Tempo, 468457
1, 5957, Tempo, 476644
1, 6008, Tempo, 485084
1, 6058, Tempo, 493827
1, 6109, Tempo, 502892
1, 6159, Tempo, 512295
1, 6210, Tempo, 522102
1, 6278, Tempo, 535714
1, 6480, Tempo, 400000
1, 9720, Tempo, 400000
1, 9762, Tempo, 406036
1, 9804, Tempo, 412229
1, 9847, Tempo, 418644
1, 9889, Tempo, 425260
1, 9931, Tempo, 432059
1, 9973, Tempo, 439110
1, 10016, Tempo, 446395
1, 10058, Tempo, 453892
1, 10100, Tempo, 461681
1, 10142, Tempo, 469741
1, 10184, Tempo, 478050
1, 10226, Tempo, 486697
1, 10269, Tempo, 495663
1, 10311, Tempo, 504923
1, 10353, Tempo, 514580
1, 10395, Tempo, 524567
1, 10440, Tempo, 535714
1, 10800, Tempo, 400000
1, 14040, Tempo, 400000
1, 14082, Tempo, 406036
1, 14124, Tempo, 412229
1, 14167, Tempo, 418644
1, 14209, Tempo, 425260
1, 14251, Tempo, 432059
1, 14293, Tempo, 439110
1, 14336, Tempo, 446395
1, 14378, Tempo, 453892
1, 14420, Tempo, 461681
1, 14462, Tempo, 469741
1, 14504, Tempo, 478050
1, 14546, Tempo, 486697
1, 14589, Tempo, 495663
1, 14631, Tempo, 504923
1, 14673, Tempo, 514580
1, 14715, Tempo, 524567
1, 14760, Tempo, 535714
1, 15120, Tempo, 400000
1, 17280, Tempo, 461538
1, 17640, Tempo, 461538
1, 17734, Tempo, 468457
1, 17829, Tempo, 475587
1, 17923, Tempo, 482936
1, 18017, Tempo, 490517
1, 18111, Tempo, 498339
1, 18206, Tempo, 506457
1, 18394, Tempo, 523423
1, 18488, Tempo, 532340
1, 18582, Tempo, 541565
1, 18677, Tempo, 551116
1, 18771, Tempo, 561010
1, 18865, Tempo, 571265
1, 18959, Tempo, 581903
1, 19053, Tempo, 592944
1, 19148, Tempo, 604412
1, 19259, Tempo, 618557
1, 19440, Tempo, 400000
1, 22680, Tempo, 400000
1, 22703, Tempo, 406421
1, 22725, Tempo, 413081
1, 22748, Tempo, 419933
1, 22770, Tempo, 427046
1, 22793, Tempo, 434373
1, 22815, Tempo, 441989
1, 22838, Tempo, 449843
1, 22860, Tempo, 458015
1, 22883, Tempo, 466454
1, 22905, Tempo, 475248
1, 22928, Tempo, 484340
1, 22950, Tempo, 493827
1, 22973, Tempo, 503651
1, 22995, Tempo, 513919
1, 23018, Tempo, 524567
1, 23040, Tempo, 535714
1, 23760, Tempo, 400000
1, 27000, Tempo, 400000
1, 27023, Tempo, 406421
1, 27045, Tempo, 413081
1, 27068, Tempo, 419933
1, 27090, Tempo, 427046
1, 27113, Tempo, 434373
1, 27135, Tempo, 441989
1, 27158, Tempo, 449843
1, 27180, Tempo, 458015
1, 27203, Tempo, 466454
1, 27225, Tempo, 475248
1, 27248, Tempo, 484340
1, 27270, Tempo, 493827
1, 27293, Tempo, 503651
1, 27315, Tempo, 513919
1, 27338, Tempo, 524567
1, 27360, Tempo, 535714
1, 28080, Tempo, 400000
1, 31320, Tempo, 400000
1, 31362, Tempo, 406036
1, 31404, Tempo, 412229
1, 31447, Tempo, 418644
1, 31489, Tempo, 425260
1, 31531, Tempo, 432059
1, 31573, Tempo, 439110
1, 31616, Tempo, 446395
1, 31658, Tempo, 453892
1, 31700, Tempo, 461681
1, 31742, Tempo, 469741
1, 31784, Tempo, 478050
1, 31826, Tempo, 486697
1, 31869, Tempo, 495663
1, 31911, Tempo, 504923
1, 31953, Tempo, 514580
1, 31995, Tempo, 524567
1, 32040, Tempo, 535714
