0, 0, Header, 1, 2, 360
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 666667
1, 810, Tempo, 666667
1, 2160, Tempo, 666667
1, 2205, Tempo, 761905
1, 2250, Tempo, 888889
1, 2295, Tempo, 1066667
1, 2340, Tempo, 1333333
1, 2700, Tempo, 625000
1, 3240, Tempo, 666667
1, 4860, Tempo, 666667
1, 4905, Tempo, 761905
1, 4950, Tempo, 888889
1, 4995, Tempo, 1066667
1, 5040, Tempo, 1333333
1, 5400, Tempo, 625000
1, 5940, Tempo, 800000
1, 5989, Tempo, 851064
1, 6039, Tempo, 909091
1, 6088, Tempo, 975610
1, 6137, Tempo, 1052632
1, 6186, Tempo, 1142857
1, 6236, Tempo, 1250000
1, 6285, Tempo, 1379310
1, 6334, Tempo, 1538462
1, 6383, Tempo, 1739130
1, 6432, Tempo, 2000000
1, 6480, Tempo, 625000
1, 7559, Tempo, 666667
1, 7560, Tempo, 666667
1, 7605, Tempo, 666667
1, 7650, Tempo, 666667
1, 7695, Tempo, 666667
1, 7740, Tempo, 666667
1, 7785, Tempo, 666667
1, 7830, Tempo, 666667
1, 7875, Tempo, 666667
1, 7920, Tempo, 625000
1, 8100, Tempo, 666667
1, 14040, Tempo, 800000
1, 14085, Tempo, 833333
1, 14130, Tempo, 869565
1, 14175, Tempo, 909091
1, 14220, Tempo, 952381
1, 14265, Tempo, 1000000
1, 14310, Tempo, 1052632
1, 14355, Tempo, 1111111
1, 14400, Tempo, 1176471
1, 14445, Tempo, 1250000
1, 14490, Tempo, 1333333
1, 14580, Tempo, 666667
1, 14625, Tempo, 666667
1, 14670, Tempo, 666667
1, 14715, Tempo, 666667
1, 14760, Tempo, 666667
1, 14805, Tempo, 666667
1, 14850, Tempo, 666667
1, 14895, Tempo, 666667
1, 14940, Tempo, 666667
1, 14985, Tempo, 666667
1, 15030, Tempo, 625000
1, 16200, Tempo, 666667
1, 23220, Tempo, 677966
1, 23310, Tempo, 689655
1, 23400, Tempo, 701754
1, 23490, Tempo, 714286
1, 23580, Tempo, 727273
1, 23670, Tempo, 714286
1, 23760, Tempo, 666667
1, 24300, Tempo, 740741
1, 25380, Tempo, 666667
1, 25425, Tempo, 689655
1, 25470, Tempo, 714286
1, 25515, Tempo, 740741
1, 25560, Tempo, 769231
1, 25605, Tempo, 800000
1, 25650, Tempo, 833333
1, 25695, Tempo, 869565
1, 25740, Tempo, 909091
1, 25785, Tempo, 952381
1, 25830, Tempo, 1000000
1, 25920, Tempo, 666667
1, 25965, Tempo, 666667
1, 26010, Tempo, 666667
1, 26055, Tempo, 666667
1, 26100, Tempo, 666667
1, 26145, Tempo, 666667
1, 26190, Tempo, 666667
1, 26235, Tempo, 666667
1, 26280, Tempo, 625000
1, 26460, Tempo, 666667
1, 30780, Tempo, 740741
1, 31860, Tempo, 800000
1, 32130, Tempo, 869565
1, 32400, Tempo, 666667
1, 38880, Tempo, 625000
1, 38925, Tempo, 661157
1, 38970, Tempo, 701754
1, 39015, Tempo, 747664
1, 39060, Tempo, 800000
1, 39420, Tempo, 666667
1, 41040, Tempo, 666667
1, 41085, Tempo, 680812
1, 41130, Tempo, 695652
1, 41175, Tempo, 711069
1, 41220, Tempo, 727273
1, 41265, Tempo, 744140
1, 41310, Tempo, 761905
1, 41355, Tempo, 780437
1, 41400, Tempo, 800000
1, 41580, Tempo, 666667
1, 41625, Tempo, 666667
1, 41670, Tempo, 666667
1, 41715, Tempo, 666667
1, 41760, Tempo, 666667
1, 41805, Tempo, 666667
1, 41850, Tempo, 666667
1, 41895, Tempo, 666667
1, 45360, Tempo, 666667
1, 45405, Tempo, 688073
1, 45450, Tempo, 710985
1, 45495, Tempo, 735384
1, 45540, Tempo, 761615
1, 45585, Tempo, 789681
1, 45630, Tempo, 820008
1, 45675, Tempo, 852636
1, 45720, Tempo, 888889
1, 45900, Tempo, 666667
1, 45945, Tempo, 666667
1, 45990, Tempo, 666667
1, 46035, Tempo, 666667
1, 46080, Tempo, 666667
1, 46125, Tempo, 666667
1, 46170, Tempo, 666667
1, 48060, Tempo, 625000
1, 48240, Tempo, 637620
1, 48420, Tempo, 650830
1, 48600, Tempo, 664525
1, 48780, Tempo, 678887
1, 48960, Tempo, 693802
1, 49140, Tempo, 709471
1, 49320, Tempo, 725777
1, 49500, Tempo, 742942
1, 49680, Tempo, 760842
1, 49860, Tempo, 779727
1, 50040, Tempo, 800000
