0, 0, Header, 1, 2, 360
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, 5, "major"
1, 0, Tempo, 923077
1, 14850, Tempo, 923077
1, 14892, Tempo, 937500
1, 14934, Tempo, 952230
1, 14977, Tempo, 967586
1, 15019, Tempo, 983284
1, 15061, Tempo, 999667
1, 15103, Tempo, 1016605
1, 15146, Tempo, 1033948
1, 15188, Tempo, 1052078
1, 15230, Tempo, 1070664
1, 15272, Tempo, 1090116
1, 15314, Tempo, 1110289
1, 15356, Tempo, 1131008
1, 15399, Tempo, 1152738
1, 15441, Tempo, 1175318
1, 15483, Tempo, 1198562
1, 15525, Tempo, 1222992
1, 15567, Tempo, 1248180
1, 15840, Tempo, 923077
1, 23940, Tempo, 923077
1, 24003, Tempo, 937500
1, 24067, Tempo, 952230
1, 24130, Tempo, 967586
1, 24193, Tempo, 983284
1, 24257, Tempo, 999667
1, 24320, Tempo, 1016605
1, 24383, Tempo, 1033948
1, 24446, Tempo, 1052078
1, 24510, Tempo, 1070664
1, 24573, Tempo, 1090116
1, 24636, Tempo, 1110289
1, 24699, Tempo, 1131008
1, 24763, Tempo, 1152738
1, 24826, Tempo, 1175318
1, 24889, Tempo, 1198562
1, 24953, Tempo, 1222992
1, 25016, Tempo, 1248180
1, 25380, Tempo, 923077
1, 26460, Time_signature, 6, 3, 12, 8
1, 27540, Time_signature, 3, 3, 12, 8
1, 28080, Time_signature, 9, 3, 12, 8
1, 31320, Time_signature, 3, 3, 12, 8
1, 32400, Time_signature, 6, 3, 12, 8
1, 35640, Time_signature, 3, 3, 12, 8
1, 39600, Tempo, 923077
1, 39642, Tempo, 937500
1, 39684, Tempo, 952230
1, 39727, Tempo, 967586
1, 39769, Tempo, 983284
1, 39811, Tempo, 999667
1, 39853, Tempo, 1016605
1, 39896, Tempo, 1033948
1, 39938, Tempo, 1052078
1, 39980, Tempo, 1070664
1, 40022, Tempo, 1090116
1, 40064, Tempo, 1110289
1, 40106, Tempo, 1131008
1, 40590, Tempo, 923077
1, 43650, Tempo, 923077
1, 43681, Tempo, 937207
1, 43712, Tempo, 951626
1, 43743, Tempo, 966651
1, 43774, Tempo, 982157
1, 43805, Tempo, 998004
1, 43836, Tempo, 1014542
1, 43867, Tempo, 1031637
1, 43898, Tempo, 1049134
1, 44263, Tempo, 923077
1, 48240, Tempo, 923077
1, 48263, Tempo, 938380
1, 48285, Tempo, 954198
1, 48308, Tempo, 970717
1, 48330, Tempo, 987654
1, 48353, Tempo, 1005193
1, 48375, Tempo, 1023367
1, 48398, Tempo, 1042391
1, 48420, Tempo, 1061947
1, 48443, Tempo, 1082251
1, 48465, Tempo, 1103347
1, 48488, Tempo, 1125492
1, 48510, Tempo, 1148325
1, 48533, Tempo, 1172104
1, 48555, Tempo, 1196888
1, 48578, Tempo, 1222992
1, 48600, Tempo, 1250000
1, 48780, Tempo, 967742
1, 49860, Tempo, 1090909
1, 50040, Tempo, 923077
1, 51660, Tempo, 923077
1, 51787, Tempo, 920528
1, 51913, Tempo, 918133
1, 52040, Tempo, 915611
1, 52166, Tempo, 913242
1, 52293, Tempo, 910747
1, 52419, Tempo, 908265
1, 52546, Tempo, 905934
1, 52673, Tempo, 903478
1, 52799, Tempo, 901172
1, 52926, Tempo, 898742
1, 53052, Tempo, 896459
1, 53179, Tempo, 894055
1, 53306, Tempo, 891663
1, 53432, Tempo, 889416
1, 53559, Tempo, 887049
1, 53685, Tempo, 884825
1, 53812, Tempo, 882483
1, 54000, Time_signature, 9, 3, 12, 8
1, 54180, Tempo, 923077
1, 55620, Time_signature, 3, 3, 12, 8
1, 55800, Tempo, 923077
1, 55879, Tempo, 951173
1, 55958, Tempo, 980873
1, 56036, Tempo, 1012658
1, 56115, Tempo, 1046572
1, 56194, Tempo, 1082837
1, 56273, Tempo, 1121495
1, 56351, Tempo, 1163242
1, 56430, Tempo, 1208216
1, 56509, Tempo, 1256545
1, 56588, Tempo, 1309186
1, 56666, Tempo, 1366431
1, 56745, Tempo, 1428571
1, 56824, Tempo, 1497006
1, 56903, Tempo, 1572327
1, 56981, Tempo, 1655629
1, 57060, Tempo, 1747742
1, 57139, Tempo, 1851280
1, 57240, Time_signature, 6, 3, 12, 8
1, 57240, End_track
2, 0, Start_track
2, 0, Title_t, "Piano"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 105
2, 0, Control_c, 0, 10, 63
2, 0, Control_c, 0, 91, 60
