0, 0, Header, 1, 3, 360
1, 0, Start_track
1, 0, Title_t, "Symphony No 1 - 3rd movement"
1, 0, Copyright_t, "Copyright (C) "
1, 0, Text_t, "Rachmaninoff\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 1153846
1, 990, Tempo, 1153846
1, 28800, Tempo, 1090909
1, 28980, Tempo, 1034483
1, 29160, Tempo, 1000000
1, 32760, Tempo, 1000000
1, 32791, Tempo, 1014542
1, 32822, Tempo, 1029513
1, 32853, Tempo, 1044932
1, 32884, Tempo, 1060820
1, 32915, Tempo, 1077199
1, 32946, Tempo, 1094092
1, 32977, Tempo, 1111523
1, 33008, Tempo, 1129305
1, 33039, Tempo, 1147886
1, 33069, Tempo, 1167088
1, 33101, Tempo, 1186944
1, 33131, Tempo, 1207486
1, 33162, Tempo, 1228753
1, 33193, Tempo, 1250782
1, 33224, Tempo, 1273615
1, 33255, Tempo, 1297297
1, 33300, Tempo, 1333333
1, 33480, Tempo, 1000000
1, 41400, Tempo, 1000000
1, 41431, Tempo, 1014542
1, 41462, Tempo, 1029513
1, 41493, Tempo, 1044932
1, 41524, Tempo, 1060820
1, 41555, Tempo, 1077199
1, 41586, Tempo, 1094092
1, 41617, Tempo, 1111523
1, 41648, Tempo, 1129305
1, 41679, Tempo, 1147886
1, 41709, Tempo, 1167088
1, 41741, Tempo, 1186944
1, 41771, Tempo, 1207486
1, 41802, Tempo, 1228753
1, 41833, Tempo, 1250782
1, 41864, Tempo, 1273615
1, 41895, Tempo, 1297297
1, 41940, Tempo, 1333333
1, 42120, Tempo, 1000000
1, 50400, Tempo, 1000000
1, 50442, Tempo, 1014885
1, 50484, Tempo, 1030220
1, 50527, Tempo, 1046025
1, 50569, Tempo, 1062323
1, 50611, Tempo, 1078943
1, 50653, Tempo, 1096291
1, 50696, Tempo, 1114206
1, 50780, Tempo, 1151853
1, 50822, Tempo, 1171646
1, 50864, Tempo, 1192132
1, 50906, Tempo, 1213347
1, 50949, Tempo, 1235330
1, 50991, Tempo, 1257862
1, 51033, Tempo, 1281504
1, 51075, Tempo, 1306051
1, 51120, Tempo, 1333333
1, 51839, Tempo, 1000000
1, 52560, Tempo, 1333333
1, 52602, Tempo, 1354402
1, 52644, Tempo, 1376462
1, 52687, Tempo, 1398927
1, 52729, Tempo, 1422138
1, 52771, Tempo, 1446480
1, 52813, Tempo, 1471309
1, 52856, Tempo, 1497006
1, 52940, Tempo, 1551590
1, 52982, Tempo, 1580195
1, 53024, Tempo, 1609874
1, 53066, Tempo, 1641138
1, 53109, Tempo, 1673173
1, 53151, Tempo, 1706485
1, 53193, Tempo, 1741655
1, 53235, Tempo, 1777778
1, 53280, Tempo, 1818182
1, 53460, Tempo, 1000000
1, 61560, Tempo, 1818182
1, 61676, Tempo, 1847291
1, 61791, Tempo, 1877934
1, 61906, Tempo, 1909004
1, 62021, Tempo, 1941748
1, 62137, Tempo, 1974984
1, 62252, Tempo, 2009377
1, 62367, Tempo, 2045687
1, 62483, Tempo, 2082610
1, 62713, Tempo, 2161383
1, 62829, Tempo, 2203452
1, 62944, Tempo, 2246350
1, 63059, Tempo, 2290951
1, 63174, Tempo, 2338270
1, 63290, Tempo, 2386635
1, 63405, Tempo, 2438033
1, 63540, Tempo, 2500000
1, 63720, Tempo, 1250000
1, 86400, Tempo, 1153846
1, 87120, Tempo, 1071429
1, 87480, Tempo, 1000000
1, 98280, Tempo, 1000000
1, 98470, Tempo, 1014885
1, 98660, Tempo, 1030220
1, 98850, Tempo, 1046025
1, 99039, Tempo, 1062135
1, 99419, Tempo, 1096291
1, 99609, Tempo, 1114206
1, 99799, Tempo, 1132717
1, 99989, Tempo, 1151853
1, 100179, Tempo, 1171646
1, 100558, Tempo, 1213101
1, 100748, Tempo, 1235076
1, 100938, Tempo, 1257862
1, 101128, Tempo, 1281504
1, 101318, Tempo, 1306051
1, 101522, Tempo, 1333333
1, 101880, Tempo, 1153846
1, 109080, Tempo, 1153846
1, 109111, Tempo, 1170503
1, 109142, Tempo, 1187884
1, 109173, Tempo, 1205546
1, 109204, Tempo, 1223990
1, 109235, Tempo, 1242751
1, 109266, Tempo, 1262361
1, 109297, Tempo, 1282325
1, 109328, Tempo, 1303215
1, 109359, Tempo, 1324503
1, 109389, Tempo, 1346801
1, 109421, Tempo, 1369550
1, 109451, Tempo, 1393405
1, 109482, Tempo, 1417769
1, 109513, Tempo, 1443349
1, 109544, Tempo, 1469508
1, 109575, Tempo, 1497006
1, 109620, Tempo, 1538462
1, 109800, Tempo, 1153846
1, 130680, Tempo, 1153846
1, 134280, Tempo, 1153846
1, 134315, Tempo, 1170960
1, 134351, Tempo, 1188590
1, 134385, Tempo, 1206758
1, 134421, Tempo, 1225490
1, 134456, Tempo, 1245072
1, 134491, Tempo, 1265022
1, 134526, Tempo, 1285622
1, 134561, Tempo, 1306905
1, 134597, Tempo, 1328904
1, 134632, Tempo, 1351656
1, 134667, Tempo, 1375201
1, 134702, Tempo, 1399580
1, 134737, Tempo, 1424840
1, 134772, Tempo, 1451379
1, 134807, Tempo, 1478561
1, 134843, Tempo, 1506781
1, 134880, Tempo, 1538462
1, 135000, Tempo, 1153846
1, 167040, Tempo, 1363636
1, 167112, Tempo, 1666667
1, 167184, Tempo, 2142857
1, 167255, Tempo, 3000000
1, 167327, Tempo, 5000000
1, 167400, Tempo, 1500000
1, 167754, Tempo, 1500000
1, 167958, Tempo, 1522070
1, 168162, Tempo, 1545197
1, 168570, Tempo, 1593202
1, 168774, Tempo, 1618123
1, 168978, Tempo, 1644286
1, 169182, Tempo, 1670844
1, 169590, Tempo, 1727116
1, 169794, Tempo, 1756955
1, 169997, Tempo, 1787310
1, 170201, Tempo, 1819284
1, 170405, Tempo, 1851852
1, 170813, Tempo, 1921230
1, 171017, Tempo, 1957586
1, 171242, Tempo, 2000000
1, 171630, Tempo, 5000000
1, 171720, Tempo, 2000000
1, 171720, End_track
2, 0, Start_track
2, 0, Title_t, "Piano 1"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 105
2, 0, Control_c, 0, 10, 79
2, 0, Control_c, 0, 91, 48
2, 990, Control_c, 0, 121, 0
2, 990, Control_c, 0, 64, 0
2, 990, Control_c, 0, 121, 0
2, 990, Control_c, 0, 64, 0
2, 990, Control_c, 0, 91, 48
2, 990, Control_c, 0, 10, 51
2, 990, Control_c, 0, 7, 100
2, 1080, Note_on_c, 0, 72, 93
2, 1440, Note_on_c, 0, 72, 0
2, 1440, Note_on_c, 0, 70, 75
2, 2160, Note_on_c, 0, 70, 0
2, 2160, Note_on_c, 0, 72, 81
2, 2520, Note_on_c, 0, 72, 0
2, 2520, Note_on_c, 0, 70, 61
2, 3240, Note_on_c, 0, 70, 0
2, 3240, Note_on_c, 0, 72, 68
2, 3600, Note_on_c, 0, 72, 0
2, 3600, Note_on_c, 0, 70, 50
2, 4500, Note_on_c, 0, 70, 0
2, 5040, Note_on_c, 0, 70, 77
2, 5198, Note_on_c, 0, 70, 0
2, 5220, Note_on_c, 0, 72, 90
2, 5378, Note_on_c, 0, 72, 0
2, 5400, Note_on_c, 0, 77, 56
2, 5400, Note_on_c, 0, 74, 77
2, 5489, Note_on_c, 0, 77, 0
2, 5670, Note_on_c, 0, 72, 53
2, 5670, Note_on_c, 0, 75, 53
2, 5717, Note_on_c, 0, 74, 0
2, 5760, Note_on_c, 0, 75, 0
2, 5760, Note_on_c, 0, 72, 0
2, 5760, Note_on_c, 0, 74, 74
2, 5760, Note_on_c, 0, 77, 74
2, 5760, Note_on_c, 0, 70, 66
2, 6077, Note_on_c, 0, 70, 0
2, 6120, Note_on_c, 0, 70, 67
2, 6300, Note_on_c, 0, 77, 0
2, 6300, Note_on_c, 0, 74, 0
2, 6437, Note_on_c, 0, 70, 0
2, 7200, Note_on_c, 0, 70, 60
2, 7380, Note_on_c, 0, 70, 0
2, 7380, Note_on_c, 0, 72, 78
2, 7560, Note_on_c, 0, 72, 0
2, 7560, Note_on_c, 0, 77, 69
2, 7560, Note_on_c, 0, 74, 81
2, 7649, Note_on_c, 0, 77, 0
2, 7740, Note_on_c, 0, 74, 0
2, 7740, Note_on_c, 0, 70, 72
2, 7830, Note_on_c, 0, 72, 80
2, 7830, Note_on_c, 0, 75, 80
2, 7920, Note_on_c, 0, 75, 0
2, 7920, Note_on_c, 0, 72, 0
2, 7920, Note_on_c, 0, 70, 0
2, 7920, Note_on_c, 0, 74, 97
2, 7920, Note_on_c, 0, 77, 97
2, 7920, Note_on_c, 0, 70, 79
2, 8237, Note_on_c, 0, 70, 0
2, 8280, Note_on_c, 0, 70, 76
2, 8460, Note_on_c, 0, 77, 0
2, 8460, Note_on_c, 0, 74, 0
2, 8597, Note_on_c, 0, 70, 0
2, 9180, Note_on_c, 0, 69, 68
2, 9360, Note_on_c, 0, 69, 0
2, 9360, Note_on_c, 0, 70, 74
2, 9540, Note_on_c, 0, 70, 0
2, 9540, Note_on_c, 0, 72, 88
2, 9720, Note_on_c, 0, 72, 0
2, 9720, Note_on_c, 0, 77, 85
2, 9720, Note_on_c, 0, 74, 99
2, 9809, Note_on_c, 0, 77, 0
2, 9900, Note_on_c, 0, 74, 0
2, 9900, Note_on_c, 0, 70, 85
2, 9990, Note_on_c, 0, 72, 85
2, 9990, Note_on_c, 0, 75, 85
2, 10080, Note_on_c, 0, 75, 0
2, 10080, Note_on_c, 0, 72, 0
2, 10080, Note_on_c, 0, 70, 0
2, 10080, Note_on_c, 0, 77, 109
2, 10080, Note_on_c, 0, 74, 106
2, 10620, Note_on_c, 0, 74, 0
2, 10620, Note_on_c, 0, 77, 0
2, 10620, Note_on_c, 0, 72, 83
2, 10800, Note_on_c, 0, 72, 0
2, 10800, Note_on_c, 0, 70, 93
2, 10980, Note_on_c, 0, 70, 0
2, 10980, Note_on_c, 0, 72, 95
2, 11160, Note_on_c, 0, 72, 0
2, 11160, Note_on_c, 0, 75, 96
2, 11477, Note_on_c, 0, 75, 0
2, 11520, Note_on_c, 0, 74, 99
2, 11700, Note_on_c, 0, 74, 0
2, 11700, Note_on_c, 0, 72, 100
2, 11880, Note_on_c, 0, 72, 0
2, 11880, Note_on_c, 0, 74, 102
2, 12038, Note_on_c, 0, 74, 0
2, 12060, Note_on_c, 0, 75, 103
2, 12218, Note_on_c, 0, 75, 0
2, 12240, Note_on_c, 0, 76, 105
2, 12398, Note_on_c, 0, 76, 0
2, 12420, Note_on_c, 0, 77, 124
2, 12578, Note_on_c, 0, 77, 0
2, 12600, Note_on_c, 0, 82, 127
2, 12600, Note_on_c, 0, 74, 94
2, 12960, Note_on_c, 0, 74, 0
2, 12960, Note_on_c, 0, 72, 98
2, 13320, Note_on_c, 0, 82, 0
2, 13320, Note_on_c, 0, 81, 107
2, 13860, Note_on_c, 0, 81, 0
2, 13860, Note_on_c, 0, 78, 84
2, 14040, Note_on_c, 0, 78, 0
2, 14040, Note_on_c, 0, 72, 0
2, 14040, Note_on_c, 0, 77, 66
2, 14040, Note_on_c, 0, 74, 69
2, 14129, Note_on_c, 0, 74, 0
2, 14220, Note_on_c, 0, 77, 0
2, 14220, Note_on_c, 0, 70, 59
2, 14310, Note_on_c, 0, 72, 66
2, 14310, Note_on_c, 0, 75, 66
2, 14400, Note_on_c, 0, 75, 0
2, 14400, Note_on_c, 0, 72, 0
2, 14400, Note_on_c, 0, 70, 0
2, 14400, Note_on_c, 0, 77, 77
2, 14400, Note_on_c, 0, 74, 77
2, 14760, Note_on_c, 0, 77, 0
2, 14760, Note_on_c, 0, 77, 85
2, 14940, Note_on_c, 0, 74, 0
2, 14940, Note_on_c, 0, 70, 65
2, 15120, Note_on_c, 0, 70, 0
2, 15120, Note_on_c, 0, 69, 66
2, 15480, Note_on_c, 0, 77, 0
2, 15480, Note_on_c, 0, 75, 64
2, 15660, Note_on_c, 0, 75, 0
2, 15660, Note_on_c, 0, 74, 68
2, 15840, Note_on_c, 0, 74, 0
2, 15840, Note_on_c, 0, 72, 64
2, 15960, Note_on_c, 0, 72, 0
2, 15960, Note_on_c, 0, 74, 77
2, 16079, Note_on_c, 0, 74, 0
2, 16079, Note_on_c, 0, 75, 76
2, 16200, Note_on_c, 0, 75, 0
2, 16200, Note_on_c, 0, 69, 0
2, 16200, Note_on_c, 0, 74, 68
2, 16200, Note_on_c, 0, 70, 68
2, 16380, Note_on_c, 0, 74, 0
2, 16380, Note_on_c, 0, 70, 62
2, 16560, Note_on_c, 0, 70, 0
2, 16560, Note_on_c, 0, 74, 75
2, 16740, Note_on_c, 0, 70, 0
2, 16920, Note_on_c, 0, 67, 72
2, 17237, Note_on_c, 0, 67, 0
2, 17280, Note_on_c, 0, 74, 0
2, 17280, Note_on_c, 0, 72, 65
2, 17280, Note_on_c, 0, 66, 83
2, 17640, Note_on_c, 0, 72, 0
2, 17640, Note_on_c, 0, 70, 68
2, 17820, Note_on_c, 0, 70, 0
2, 17820, Note_on_c, 0, 66, 66
2, 18000, Note_on_c, 0, 66, 0
2, 18000, Note_on_c, 0, 66, 69
2, 18229, Note_on_c, 0, 66, 0
2, 18360, Note_on_c, 0, 66, 0
2, 18360, Note_on_c, 0, 74, 79
2, 18360, Note_on_c, 0, 67, 73
2, 18360, Note_on_c, 0, 70, 73
2, 18449, Note_on_c, 0, 74, 0
2, 18540, Note_on_c, 0, 70, 0
2, 18540, Note_on_c, 0, 67, 0
2, 18540, Note_on_c, 0, 67, 64
2, 18630, Note_on_c, 0, 69, 64
2, 18630, Note_on_c, 0, 72, 64
2, 18720, Note_on_c, 0, 72, 0
2, 18720, Note_on_c, 0, 69, 0
2, 18720, Note_on_c, 0, 67, 0
2, 18720, Note_on_c, 0, 74, 84
2, 18720, Note_on_c, 0, 70, 84
2, 19260, Note_on_c, 0, 74, 0
2, 19800, Note_on_c, 0, 70, 0
2, 19800, Note_on_c, 0, 67, 70
2, 19800, Note_on_c, 0, 67, 70
2, 19904, Note_on_c, 0, 67, 0
2, 19920, Note_on_c, 0, 69, 73
2, 20024, Note_on_c, 0, 69, 0
2, 20039, Note_on_c, 0, 70, 75
2, 20117, Note_on_c, 0, 67, 0
2, 20145, Note_on_c, 0, 70, 0
2, 20160, Note_on_c, 0, 71, 77
2, 20160, Note_on_c, 0, 68, 77
2, 20264, Note_on_c, 0, 71, 0
2, 20280, Note_on_c, 0, 70, 79
2, 20384, Note_on_c, 0, 70, 0
2, 20399, Note_on_c, 0, 71, 81
2, 20477, Note_on_c, 0, 68, 0
2, 20505, Note_on_c, 0, 71, 0
2, 20520, Note_on_c, 0, 72, 95
2, 20520, Note_on_c, 0, 69, 105
2, 20700, Note_on_c, 0, 72, 0
2, 20700, Note_on_c, 0, 69, 83
2, 20880, Note_on_c, 0, 69, 0
2, 20880, Note_on_c, 0, 72, 97
2, 21420, Note_on_c, 0, 72, 0
2, 21420, Note_on_c, 0, 69, 0
2, 21600, Note_on_c, 0, 63, 85
2, 22680, Note_on_c, 0, 63, 0
2, 22680, Note_on_c, 0, 65, 97
2, 22860, Note_on_c, 0, 65, 0
2, 23040, Note_on_c, 0, 65, 92
2, 23940, Note_on_c, 0, 57, 56
2, 24120, Note_on_c, 0, 57, 0
2, 24120, Note_on_c, 0, 65, 0
2, 24120, Note_on_c, 0, 65, 102
2, 24120, Note_on_c, 0, 58, 61
2, 24300, Note_on_c, 0, 58, 0
2, 24300, Note_on_c, 0, 60, 67
2, 24480, Note_on_c, 0, 60, 0
2, 24480, Note_on_c, 0, 61, 62
2, 24660, Note_on_c, 0, 61, 0
2, 24660, Note_on_c, 0, 64, 64
2, 24840, Note_on_c, 0, 64, 0
2, 24840, Note_on_c, 0, 65, 61
2, 25020, Note_on_c, 0, 65, 0
2, 25020, Note_on_c, 0, 62, 56
2, 25200, Note_on_c, 0, 62, 0
2, 25200, Note_on_c, 0, 65, 0
2, 25200, Note_on_c, 0, 65, 106
2, 26040, Note_on_c, 0, 57, 65
2, 26144, Note_on_c, 0, 57, 0
2, 26159, Note_on_c, 0, 58, 70
2, 26265, Note_on_c, 0, 58, 0
2, 26280, Note_on_c, 0, 65, 0
2, 26280, Note_on_c, 0, 65, 115
2, 26280, Note_on_c, 0, 58, 60
2, 26384, Note_on_c, 0, 58, 0
2, 26400, Note_on_c, 0, 60, 63
2, 26504, Note_on_c, 0, 60, 0
2, 26519, Note_on_c, 0, 61, 65
2, 26625, Note_on_c, 0, 61, 0
2, 26640, Note_on_c, 0, 61, 68
2, 26744, Note_on_c, 0, 61, 0
2, 26760, Note_on_c, 0, 63, 70
2, 26864, Note_on_c, 0, 63, 0
2, 26879, Note_on_c, 0, 64, 86
2, 26985, Note_on_c, 0, 64, 0
2, 27000, Note_on_c, 0, 65, 73
2, 27180, Note_on_c, 0, 65, 0
2, 27180, Note_on_c, 0, 60, 59
2, 27360, Note_on_c, 0, 60, 0
2, 27360, Note_on_c, 0, 65, 0
2, 27360, Note_on_c, 0, 65, 106
2, 28800, Note_on_c, 0, 65, 0
2, 28800, Note_on_c, 0, 63, 67
2, 28980, Note_on_c, 0, 63, 0
2, 28980, Note_on_c, 0, 65, 80
2, 29160, Note_on_c, 0, 65, 0
2, 29160, Note_on_c, 0, 66, 75
2, 29160, Note_on_c, 0, 63, 77
2, 29340, Note_on_c, 0, 66, 0
2, 29340, Note_on_c, 0, 63, 63
2, 29520, Note_on_c, 0, 63, 0
2, 29520, Note_on_c, 0, 66, 78
2, 29880, Note_on_c, 0, 66, 0
2, 29880, Note_on_c, 0, 66, 69
2, 30000, Note_on_c, 0, 66, 0
2, 30000, Note_on_c, 0, 68, 77
2, 30109, Note_on_c, 0, 63, 0
2, 30119, Note_on_c, 0, 68, 0
2, 30119, Note_on_c, 0, 70, 70
2, 30240, Note_on_c, 0, 70, 0
2, 30240, Note_on_c, 0, 70, 67
2, 30240, Note_on_c, 0, 60, 88
2, 30240, Note_on_c, 0, 63, 88
2, 30240, Note_on_c, 0, 66, 88
2, 30420, Note_on_c, 0, 70, 0
2, 30420, Note_on_c, 0, 66, 60
2, 30600, Note_on_c, 0, 66, 0
2, 30600, Note_on_c, 0, 70, 71
2, 30960, Note_on_c, 0, 70, 0
2, 30960, Note_on_c, 0, 70, 70
2, 31140, Note_on_c, 0, 70, 0
2, 31140, Note_on_c, 0, 60, 0
2, 31140, Note_on_c, 0, 63, 0
2, 31140, Note_on_c, 0, 66, 0
2, 31140, Note_on_c, 0, 72, 72
2, 31320, Note_on_c, 0, 72, 0
2, 31320, Note_on_c, 0, 73, 74
2, 31320, Note_on_c, 0, 70, 74
2, 31320, Note_on_c, 0, 66, 90
