0, 0, Header, 1, 3, 360
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 1250000
1, 7560, Tempo, 1250000
1, 7591, Tempo, 1268231
1, 7622, Tempo, 1286725
1, 7653, Tempo, 1306051
1, 7684, Tempo, 1325967
1, 7715, Tempo, 1346499
1, 7746, Tempo, 1367366
1, 7777, Tempo, 1389210
1, 7808, Tempo, 1411765
1, 7839, Tempo, 1435063
1, 7869, Tempo, 1458789
1, 7901, Tempo, 1483680
1, 7931, Tempo, 1509434
1, 7962, Tempo, 1536098
1, 7993, Tempo, 1563314
1, 8024, Tempo, 1591934
1, 8055, Tempo, 1621622
1, 8100, Tempo, 1666667
1, 8280, Tempo, 1250000
1, 10980, Tempo, 1250000
1, 11520, Tempo, 1250000
1, 11583, Tempo, 1268499
1, 11647, Tempo, 1287830
1, 11710, Tempo, 1307474
1, 11773, Tempo, 1327727
1, 11837, Tempo, 1348921
1, 11900, Tempo, 1370489
1, 11963, Tempo, 1392758
1, 12026, Tempo, 1415762
1, 12090, Tempo, 1439885
1, 12153, Tempo, 1464486
1, 12216, Tempo, 1489943
1, 12279, Tempo, 1516684
1, 12343, Tempo, 1544004
1, 12406, Tempo, 1572327
1, 12469, Tempo, 1602136
1, 12533, Tempo, 1632653
1, 12600, Tempo, 1666667
1, 13320, Tempo, 1250000
1, 23040, Tempo, 1250000
1, 23103, Tempo, 1268499
1, 23167, Tempo, 1287830
1, 23230, Tempo, 1307474
1, 23293, Tempo, 1327727
1, 23357, Tempo, 1348921
1, 23420, Tempo, 1370489
1, 23483, Tempo, 1392758
1, 23546, Tempo, 1415762
1, 23610, Tempo, 1439885
1, 23673, Tempo, 1464486
1, 23736, Tempo, 1489943
1, 23799, Tempo, 1516684
1, 23863, Tempo, 1544004
1, 23926, Tempo, 1572327
1, 23989, Tempo, 1602136
1, 24053, Tempo, 1632653
1, 24120, Tempo, 1666667
1, 24480, Tempo, 1250000
1, 45720, Tempo, 1153846
1, 45900, Tempo, 1090909
1, 46079, Tempo, 1034483
1, 51840, Time_signature, 2, 2, 24, 8
1, 52560, Time_signature, 4, 2, 24, 8
1, 54000, Time_signature, 2, 2, 24, 8
1, 54720, Time_signature, 4, 2, 24, 8
1, 56160, Time_signature, 2, 2, 24, 8
1, 56880, Time_signature, 4, 2, 24, 8
1, 58320, Time_signature, 2, 2, 24, 8
1, 59040, Time_signature, 4, 2, 24, 8
1, 60480, Time_signature, 2, 2, 24, 8
1, 61200, Time_signature, 4, 2, 24, 8
1, 65520, Tempo, 1034483
1, 65604, Tempo, 1050420
1, 65689, Tempo, 1066856
1, 65773, Tempo, 1083815
1, 65858, Tempo, 1101322
1, 65942, Tempo, 1119403
1, 66026, Tempo, 1138088
1, 66111, Tempo, 1157407
1, 66195, Tempo, 1177394
1, 66279, Tempo, 1198083
1, 66364, Tempo, 1219512
1, 66448, Tempo, 1241722
1, 66533, Tempo, 1264755
1, 66617, Tempo, 1288660
1, 66701, Tempo, 1313485
1, 66786, Tempo, 1339286
1, 66870, Tempo, 1366120
1, 66959, Tempo, 1395349
1, 66960, Time_signature, 6, 2, 24, 8
1, 66960, Tempo, 1034483
1, 71280, Time_signature, 4, 2, 24, 8
1, 79920, Time_signature, 6, 2, 24, 8
1, 84240, Time_signature, 4, 2, 24, 8
1, 88560, Tempo, 1034483
1, 88644, Tempo, 1050420
1, 88729, Tempo, 1066856
1, 88813, Tempo, 1083815
1, 88898, Tempo, 1101322
1, 88982, Tempo, 1119403
1, 89066, Tempo, 1138088
1, 89151, Tempo, 1157407
1, 89235, Tempo, 1177394
1, 89319, Tempo, 1198083
1, 89404, Tempo, 1219512
1, 89488, Tempo, 1241722
1, 89573, Tempo, 1264755
1, 89657, Tempo, 1288660
1, 89741, Tempo, 1313485
1, 89826, Tempo, 1339286
1, 89910, Tempo, 1366120
1, 89999, Tempo, 1395349
1, 90000, Tempo, 1034483
1, 95760, Tempo, 1016949
1, 96120, Tempo, 1000000
1, 96480, Tempo, 983607
1, 96840, Tempo, 967742
1, 97200, Time_signature, 2, 1, 48, 8
1, 97200, Tempo, 476190
1, 105120, Tempo, 476190
1, 105151, Tempo, 483209
1, 105182, Tempo, 490477
1, 105213, Tempo, 497925
1, 105244, Tempo, 505604
1, 105275, Tempo, 513567
1, 105306, Tempo, 521739
1, 105337, Tempo, 530176
1, 105368, Tempo, 538938
1, 105399, Tempo, 547945
1, 105429, Tempo, 557258
1, 105461, Tempo, 566947
1, 105491, Tempo, 576923
1, 105522, Tempo, 587257
1, 105553, Tempo, 598027
1, 105584, Tempo, 609137
1, 105615, Tempo, 620668
1, 105660, Tempo, 638298
1, 105840, Tempo, 476190
