0, 0, Header, 1, 2, 360
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 7, 3, 12, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 1333333
1, 1260, Time_signature, 2, 2, 24, 8
1, 1800, Tempo, 1333333
1, 1823, Tempo, 1379628
1, 1845, Tempo, 1429252
1, 1868, Tempo, 1482946
1, 1890, Tempo, 1540436
1, 1913, Tempo, 1602564
1, 1935, Tempo, 1669914
1, 1979, Tempo, 1818182
1, 1980, Time_signature, 4, 2, 24, 8
1, 1980, Tempo, 1333333
1, 5220, Tempo, 1428571
1, 5580, Tempo, 1333333
1, 7740, Tempo, 1276596
1, 8100, Tempo, 1250000
1, 8460, Tempo, 1224490
1, 8640, Tempo, 1200000
1, 11700, Tempo, 1200000
1, 11723, Tempo, 1220008
1, 11745, Tempo, 1240438
1, 11768, Tempo, 1261830
1, 11790, Tempo, 1283697
1, 11813, Tempo, 1306620
1, 11835, Tempo, 1330082
1, 11858, Tempo, 1354708
1, 11880, Tempo, 1380262
1, 11903, Tempo, 1406470
1, 11925, Tempo, 1434034
1, 11948, Tempo, 1462345
1, 11970, Tempo, 1492166
1, 11993, Tempo, 1522843
1, 12015, Tempo, 1555210
1, 12059, Tempo, 1621622
1, 12060, Tempo, 1200000
1, 16560, Tempo, 1200000
1, 16583, Tempo, 1240695
1, 16605, Tempo, 1284247
1, 16628, Tempo, 1330672
1, 16650, Tempo, 1380898
1, 16673, Tempo, 1435063
1, 16695, Tempo, 1493652
1, 16739, Tempo, 1621622
1, 16740, Tempo, 1200000
1, 18000, Tempo, 1200000
1, 18023, Tempo, 1240695
1, 18045, Tempo, 1284247
1, 18068, Tempo, 1330672
1, 18090, Tempo, 1380898
1, 18113, Tempo, 1435063
1, 18135, Tempo, 1493652
1, 18179, Tempo, 1621622
1, 18180, Tempo, 1200000
1, 19440, Tempo, 1200000
1, 19463, Tempo, 1240695
1, 19485, Tempo, 1284247
1, 19508, Tempo, 1330672
1, 19530, Tempo, 1380898
1, 19553, Tempo, 1435063
1, 19575, Tempo, 1493652
1, 19619, Tempo, 1621622
1, 19620, Tempo, 1200000
1, 22140, Time_signature, 2, 2, 24, 8
1, 22140, Tempo, 1224490
1, 22500, Tempo, 1250000
1, 22860, Time_signature, 9, 3, 12, 8
1, 22860, Tempo, 1276596
1, 23400, Tempo, 1304348
1, 23940, Tempo, 1333333
1, 24480, Time_signature, 7, 3, 12, 8
1, 24480, Tempo, 1333333
1, 25740, Time_signature, 2, 2, 24, 8
1, 26280, Tempo, 1333333
1, 26303, Tempo, 1379628
1, 26325, Tempo, 1429252
1, 26348, Tempo, 1482946
1, 26370, Tempo, 1540436
1, 26393, Tempo, 1602564
1, 26415, Tempo, 1669914
1, 26459, Tempo, 1818182
1, 26460, Time_signature, 4, 2, 24, 8
1, 26460, Tempo, 1333333
1, 29700, Tempo, 1428571
1, 30060, Tempo, 1333333
1, 32220, Tempo, 1276596
1, 32580, Tempo, 1250000
1, 32940, Tempo, 1224490
1, 33120, Tempo, 1200000
1, 36180, Tempo, 1200000
1, 36203, Tempo, 1220008
1, 36225, Tempo, 1240438
1, 36248, Tempo, 1261830
1, 36270, Tempo, 1283697
1, 36293, Tempo, 1306620
1, 36315, Tempo, 1330082
1, 36338, Tempo, 1354708
1, 36360, Tempo, 1380262
1, 36383, Tempo, 1406470
1, 36405, Tempo, 1434034
1, 36428, Tempo, 1462345
1, 36450, Tempo, 1492166
1, 36473, Tempo, 1522843
1, 36495, Tempo, 1555210
1, 36539, Tempo, 1621622
1, 36540, Tempo, 1200000
1, 41040, Tempo, 1200000
1, 41063, Tempo, 1240695
1, 41085, Tempo, 1284247
1, 41108, Tempo, 1330672
1, 41130, Tempo, 1380898
1, 41153, Tempo, 1435063
1, 41175, Tempo, 1493652
1, 41219, Tempo, 1621622
1, 41220, Tempo, 1200000
1, 42480, Tempo, 1200000
1, 42503, Tempo, 1240695
1, 42525, Tempo, 1284247
1, 42548, Tempo, 1330672
1, 42570, Tempo, 1380898
1, 42593, Tempo, 1435063
1, 42615, Tempo, 1493652
1, 42659, Tempo, 1621622
1, 42660, Tempo, 1200000
1, 43920, Tempo, 1200000
1, 43943, Tempo, 1240695
1, 43965, Tempo, 1284247
1, 43988, Tempo, 1330672
1, 44010, Tempo, 1380898
1, 44033, Tempo, 1435063
1, 44055, Tempo, 1493652
1, 44099, Tempo, 1621622
1, 44100, Tempo, 1200000
1, 46620, Time_signature, 2, 2, 24, 8
1, 46620, Tempo, 1224490
1, 46980, Tempo, 1250000
1, 47340, Time_signature, 4, 2, 24, 8
1, 47340, Tempo, 1111111
1, 51120, Tempo, 1132075
1, 51300, Tempo, 1153846
1, 51480, Tempo, 1176471
1, 51660, Tempo, 1111111
1, 52020, Tempo, 1132075
1, 52380, Tempo, 1153846
1, 52830, Tempo, 1176471
1, 53100, Tempo, 1200000
1, 54000, Tempo, 1111111
1, 56880, Tempo, 1132075
1, 57060, Tempo, 1153846
1, 57240, Tempo, 1176471
1, 57420, Tempo, 1153846
1, 58140, Tempo, 1132075
1, 58500, Tempo, 1111111
1, 60120, Tempo, 1111111
1, 60143, Tempo, 1148545
1, 60165, Tempo, 1188825
1, 60188, Tempo, 1231780
1, 60210, Tempo, 1278228
1, 60233, Tempo, 1328021
1, 60255, Tempo, 1381852
1, 60299, Tempo, 1500000
1, 60300, Tempo, 1111111
1, 61920, Tempo, 1111111
1, 61943, Tempo, 1148545
1, 61965, Tempo, 1188825
1, 61988, Tempo, 1231780
1, 62010, Tempo, 1278228
1, 62033, Tempo, 1328021
1, 62055, Tempo, 1381852
1, 62099, Tempo, 1500000
1, 62100, Tempo, 1111111
1, 63360, Tempo, 1153846
1, 63383, Tempo, 1191422
1, 63405, Tempo, 1231527
1, 63428, Tempo, 1274156
1, 63450, Tempo, 1320132
1, 63473, Tempo, 1369550
1, 63495, Tempo, 1422812
1, 63539, Tempo, 1538462
1, 63540, Tempo, 1153846
1, 64620, Time_signature, 2, 2, 24, 8
1, 64620, Tempo, 1200000
1, 65340, Time_signature, 4, 2, 24, 8
1, 65340, Tempo, 1111111
1, 69120, Tempo, 1132075
1, 69300, Tempo, 1153846
1, 69480, Tempo, 1176471
1, 69660, Tempo, 1111111
1, 70020, Tempo, 1132075
1, 70380, Tempo, 1153846
1, 70830, Tempo, 1176471
1, 71100, Tempo, 1200000
1, 72000, Tempo, 1111111
1, 74880, Tempo, 1132075
1, 75060, Tempo, 1153846
1, 75240, Tempo, 1176471
1, 75420, Tempo, 1153846
1, 76140, Tempo, 1132075
1, 76500, Tempo, 1111111
1, 78120, Tempo, 1111111
1, 78143, Tempo, 1148545
1, 78165, Tempo, 1188825
1, 78188, Tempo, 1231780
1, 78210, Tempo, 1278228
1, 78233, Tempo, 1328021
1, 78255, Tempo, 1381852
1, 78299, Tempo, 1500000
1, 78300, Tempo, 1111111
1, 79920, Tempo, 1111111
1, 79943, Tempo, 1148545
1, 79965, Tempo, 1188825
1, 79988, Tempo, 1231780
1, 80010, Tempo, 1278228
1, 80033, Tempo, 1328021
1, 80055, Tempo, 1381852
1, 80099, Tempo, 1500000
1, 80100, Tempo, 1111111
1, 81360, Tempo, 1153846
1, 81383, Tempo, 1191422
1, 81405, Tempo, 1231527
1, 81428, Tempo, 1274156
1, 81450, Tempo, 1320132
1, 81473, Tempo, 1369550
1, 81495, Tempo, 1422812
1, 81539, Tempo, 1538462
1, 81540, Tempo, 1153846
1, 82620, Time_signature, 2, 2, 24, 8
1, 82620, Tempo, 1200000
1, 83340, Tempo, 1200000
1, 83880, Tempo, 1276596
1, 85500, Time_signature, 4, 2, 24, 8
1, 88380, Tempo, 1304348
1, 88560, Tempo, 1333333
1, 88740, Tempo, 1363636
1, 88920, Tempo, 1395349
1, 89100, Tempo, 1428571
1, 89280, Tempo, 1500000
1, 89460, Tempo, 1578947
1, 89820, Tempo, 1276596
1, 91260, Tempo, 1428571
1, 92700, Time_signature, 2, 2, 24, 8
1, 92700, Tempo, 1428571
1, 92742, Tempo, 1451028
1, 92784, Tempo, 1473839
1, 92827, Tempo, 1497753
1, 92869, Tempo, 1522070
1, 92911, Tempo, 1547588
1, 92953, Tempo, 1573564
1, 92996, Tempo, 1600854
1, 93038, Tempo, 1629107
1, 93080, Tempo, 1657917
1, 93122, Tempo, 1688239
1, 93164, Tempo, 1719198
1, 93206, Tempo, 1751825
1, 93249, Tempo, 1785714
1, 93291, Tempo, 1820388
1, 93333, Tempo, 1857010
1, 93375, Tempo, 1894537
1, 93419, Tempo, 1935484
1, 93420, Time_signature, 4, 2, 24, 8
1, 93420, Tempo, 1276596
1, 94770, Tempo, 5000000
1, 94860, Tempo, 1276596
1, 94860, End_track
2, 0, Start_track
2, 0, Title_t, "Piano"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 110
2, 0, Control_c, 0, 10, 64
2, 0, Control_c, 0, 91, 60
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 91, 60
2, 0, Control_c, 0, 10, 51
2, 0, Control_c, 0, 7, 100
2, 0, Note_on_c, 0, 61, 50
2, 0, Note_on_c, 0, 64, 50
2, 0, Note_on_c, 0, 68, 50
2, 180, Note_on_c, 0, 68, 0
2, 180, Note_on_c, 0, 64, 0
2, 180, Note_on_c, 0, 61, 0
2, 180, Note_on_c, 0, 64, 52
2, 180, Note_on_c, 0, 68, 52
2, 180, Note_on_c, 0, 61, 60
2, 360, Note_on_c, 0, 68, 0
2, 360, Note_on_c, 0, 64, 0
2, 360, Note_on_c, 0, 76, 100
2, 360, Note_on_c, 0, 64, 59
2, 360, Note_on_c, 0, 68, 59
2, 450, Note_on_c, 0, 76, 0
2, 450, Note_on_c, 0, 75, 98
2, 540, Note_on_c, 0, 75, 0
2, 540, Note_on_c, 0, 68, 0
2, 540, Note_on_c, 0, 64, 0
2, 540, Note_on_c, 0, 61, 0
2, 540, Note_on_c, 0, 76, 107
2, 540, Note_on_c, 0, 61, 53
2, 540, Note_on_c, 0, 64, 53
2, 540, Note_on_c, 0, 68, 53
2, 540, Note_on_c, 0, 59, 64
2, 720, Note_on_c, 0, 68, 0
2, 720, Note_on_c, 0, 64, 0
2, 720, Note_on_c, 0, 61, 0
2, 720, Note_on_c, 0, 61, 56
2, 720, Note_on_c, 0, 64, 56
2, 720, Note_on_c, 0, 68, 56
2, 900, Note_on_c, 0, 68, 0
2, 900, Note_on_c, 0, 61, 0
2, 900, Note_on_c, 0, 64, 0
2, 900, Note_on_c, 0, 61, 55
2, 900, Note_on_c, 0, 64, 55
2, 900, Note_on_c, 0, 68, 55
2, 1080, Note_on_c, 0, 68, 0
2, 1080, Note_on_c, 0, 61, 0
2, 1080, Note_on_c, 0, 64, 0
2, 1080, Note_on_c, 0, 76, 0
2, 1080, Note_on_c, 0, 73, 98
2, 1080, Note_on_c, 0, 61, 51
