0, 0, Header, 1, 2, 192
1, 0, Start_track
1, 0, Title_t, "Moment Musical Op. 94 No. 2 Ab"
1, 0, Text_t, "/title: Moment Musical Op. 94 No. 2 Ab\012"
1, 0, Text_t, "/subtitle: \012"
1, 0, Text_t, "/roll_type: Duo-Art\012"
1, 0, Text_t, "/roll_manufacturer: Aeolian\012"
1, 0, Text_t, "/roll_number: \012"
1, 0, Text_t, "/original roll #: \012"
1, 0, Text_t, "/original manufacturer: \012"
1, 0, Text_t, "/performer: Ney, Elly\012"
1, 0, Text_t, "/composer:  Schubert \012"
1, 0, Text_t, "/lyricist: \012"
1, 0, Text_t, "/copyright: \012"
1, 0, Text_t, "/scanned_by:  Larry Doe\012"
1, 0, Text_t, "/scan_system:  Mk4 - bi-color\012"
1, 0, Text_t, "/date_scanned: March 2006\012"
1, 0, Text_t, "/owner: Larry Doe\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 500000
1, 0, Marker_t, "Standard MIDI:LPI 202:Tempo  60: 03-27-2006"
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "Moment Musical Op. 94 No. 2 Ab"
2, 0, Program_c, 0, 0
2, 768, Control_c, 0, 67, 127
2, 923, Note_on_c, 0, 51, 36
2, 925, Note_on_c, 0, 44, 49
2, 933, Note_on_c, 0, 68, 49
2, 935, Note_on_c, 0, 60, 49
2, 935, Note_on_c, 0, 72, 50
2, 986, Control_c, 0, 64, 127
2, 1047, Note_on_c, 0, 72, 0
2, 1057, Note_on_c, 0, 51, 0
2, 1057, Note_on_c, 0, 60, 0
2, 1113, Note_on_c, 0, 51, 52
2, 1113, Note_on_c, 0, 61, 53
2, 1113, Note_on_c, 0, 67, 53
2, 1113, Note_on_c, 0, 73, 53
2, 1116, Note_on_c, 0, 68, 0
2, 1118, Control_c, 0, 64, 0
2, 1125, Note_on_c, 0, 46, 53
2, 1128, Note_on_c, 0, 44, 0
2, 1136, Note_on_c, 0, 51, 0
2, 1147, Note_on_c, 0, 61, 0
2, 1157, Note_on_c, 0, 73, 0
2, 1157, Note_on_c, 0, 67, 0
2, 1168, Note_on_c, 0, 46, 0
2, 1175, Note_on_c, 0, 51, 52
2, 1175, Note_on_c, 0, 60, 52
2, 1175, Note_on_c, 0, 72, 49
2, 1177, Note_on_c, 0, 44, 51
2, 1185, Note_on_c, 0, 68, 47
2, 1248, Note_on_c, 0, 44, 0
2, 1248, Control_c, 0, 64, 127
2, 1257, Note_on_c, 0, 51, 0
2, 1269, Note_on_c, 0, 60, 0
2, 1269, Note_on_c, 0, 72, 0
2, 1288, Note_on_c, 0, 68, 0
2, 1329, Control_c, 0, 64, 0
2, 1337, Note_on_c, 0, 46, 49
2, 1337, Note_on_c, 0, 51, 49
2, 1337, Note_on_c, 0, 61, 48
2, 1337, Note_on_c, 0, 73, 53
2, 1347, Note_on_c, 0, 67, 53
2, 1528, Control_c, 0, 64, 127
2, 1827, Note_on_c, 0, 61, 0
2, 1846, Note_on_c, 0, 67, 0
2, 1846, Note_on_c, 0, 51, 0
2, 1857, Note_on_c, 0, 46, 0
2, 1976, Note_on_c, 0, 73, 0
2, 1988, Control_c, 0, 64, 0
2, 2032, Note_on_c, 0, 44, 49
2, 2042, Note_on_c, 0, 51, 49
2, 2042, Note_on_c, 0, 60, 49
2, 2044, Note_on_c, 0, 72, 50
