0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Copyright_t, "\012__________________________________________________________\012Kunst der Fuge comment: this is the Contributor's property.\012Can *not* be used for commercial purposes without authorization!\012Copyright by Contributor - Kunst der Fuge, © 2002-05\012http://www.kunstderfuge.com/thanks.htm -> Contributors' list\012http://www.kunstderfuge.com/notes.htm -> Terms & conditions"
1, 0, Time_signature, 3, 1, 48, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 350877
1, 0, Marker_t, "Brahms"
1, 1440, Tempo, 447761
1, 1440, Marker_t, "Piano Sonata No.3 "
1, 1680, Tempo, 441176
1, 2640, Tempo, 447761
1, 2880, Marker_t, "Bunji Hisamori"
1, 3130, Tempo, 441176
1, 4090, Tempo, 447761
1, 4550, Tempo, 441176
1, 5530, Tempo, 454545
1, 5760, Marker_t, "Mar.  1999"
1, 6590, Tempo, 461538
1, 6735, Tempo, 465116
1, 8160, Tempo, 472441
1, 8400, Tempo, 487805
1, 8640, Tempo, 472441
1, 8640, Marker_t, "July 1999, Rev.1"
1, 9120, Tempo, 487805
1, 9360, Tempo, 500000
1, 9600, Tempo, 750000
1, 10090, Tempo, 441176
1, 11400, Tempo, 447761
1, 11520, Tempo, 441176
1, 12720, Tempo, 454545
1, 12960, Tempo, 441176
1, 13320, Tempo, 447761
1, 13440, Tempo, 441176
1, 14280, Tempo, 447761
1, 14400, Tempo, 441176
1, 14760, Tempo, 447761
1, 15600, Tempo, 461538
1, 15840, Tempo, 454545
1, 16680, Tempo, 461538
1, 17040, Tempo, 465116
1, 17160, Tempo, 480000
1, 17280, Tempo, 441176
1, 18600, Tempo, 447761
1, 18720, Tempo, 441176
1, 20040, Tempo, 447761
1, 20160, Tempo, 441176
1, 20520, Tempo, 447761
1, 20640, Tempo, 441176
1, 21480, Tempo, 447761
1, 21600, Tempo, 441176
1, 21960, Tempo, 447761
1, 22440, Tempo, 454545
1, 22870, Tempo, 472441
