0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Copyright_t, "\012__________________________________________________________\012Kunst der Fuge comment: this is the Contributor's property.\012Can *not* be used for commercial purposes without authorization!\012Copyright by Contributor - Kunst der Fuge, © 2002-05\012http://www.kunstderfuge.com/thanks.htm -> Contributors' list\012http://www.kunstderfuge.com/notes.htm -> Terms & conditions"
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 500000
1, 0, Marker_t, "Brahms"
1, 480, Tempo, 1764706
1, 720, Tempo, 1666667
1, 720, Marker_t, "Variation "
1, 1320, Tempo, 1764706
1, 1380, Tempo, 1818182
1, 1440, Tempo, 1666667
1, 1440, Marker_t, "Op. 21-1 "
1, 2040, Tempo, 1764706
1, 2160, Tempo, 1666667
1, 2160, Marker_t, "Bunji Hisamori "
1, 2760, Tempo, 1764706
1, 2880, Marker_t, "Mar.   1999 "
1, 3480, Tempo, 1935484
1, 3600, Tempo, 1666667
1, 3600, Marker_t, "July 1888, Rev.1"
1, 4200, Tempo, 1764706
1, 4320, Tempo, 1666667
1, 4560, Tempo, 1666667
1, 4920, Tempo, 1764706
1, 5040, Tempo, 1666667
1, 5640, Tempo, 1764706
1, 5760, Tempo, 1666667
1, 6360, Tempo, 1764706
1, 6840, Tempo, 1818182
1, 6960, Tempo, 2068966
1, 7140, Tempo, 2068966
1, 7200, Tempo, 1666667
1, 7800, Tempo, 1764706
1, 7860, Tempo, 1818182
1, 7920, Tempo, 1666667
1, 8520, Tempo, 1764706
1, 8640, Tempo, 1666667
1, 9240, Tempo, 1764706
1, 9960, Tempo, 1935484
1, 10080, Tempo, 1666667
1, 10680, Tempo, 1764706
1, 10800, Tempo, 1666667
1, 11040, Tempo, 1666667
1, 11400, Tempo, 1764706
1, 11520, Tempo, 1666667
1, 12120, Tempo, 1764706
1, 12240, Tempo, 1666667
1, 12840, Tempo, 1764706
