0, 0, Header, 1, 4, 192
1, 0, Start_track
1, 0, Title_t, "Air De Ballet"
1, 0, Text_t, "/music_category: Piano_Roll\012"
1, 0, Text_t, "/title: Air De Ballet\012"
1, 0, Text_t, "/subtitle: \012"
1, 0, Text_t, "/roll_type: Duo-Art\012"
1, 0, Text_t, "/roll_manufacturer: Aeolian.\012"
1, 0, Text_t, "/roll_number: 56649\012"
1, 0, Text_t, "/original roll #: \012"
1, 0, Text_t, "/original manufacturer: \012"
1, 0, Text_t, "/performer: Adler, Clarence\012"
1, 0, Text_t, "/composer: Chaminade\012"
1, 0, Text_t, "/lyricist: \012"
1, 0, Text_t, "/copyright: 1925\012"
1, 0, Text_t, "/scanned_by:  Terry Smythe\012"
1, 0, Text_t, "/scan_system:  MK3a w/optical encoder\012"
1, 0, Text_t, "/date_scanned: March  2005\012"
1, 0, Text_t, "/owner: Alan Turner\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 500000
1, 0, Marker_t, "Standard MIDI::LPI 137:Tempo  90: 03-30-2005"
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "Air De Ballet"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 105
2, 113, Note_on_c, 0, 86, 96
2, 116, Note_on_c, 0, 74, 96
2, 120, Note_on_c, 0, 50, 96
2, 122, Note_on_c, 0, 38, 96
2, 148, Note_on_c, 0, 86, 0
2, 150, Note_on_c, 0, 74, 0
2, 153, Note_on_c, 0, 50, 0
2, 155, Note_on_c, 0, 38, 0
2, 243, Note_on_c, 0, 81, 72
2, 251, Note_on_c, 0, 45, 81
2, 278, Note_on_c, 0, 81, 0
2, 286, Note_on_c, 0, 45, 0
2, 329, Note_on_c, 0, 86, 81
2, 333, Note_on_c, 0, 74, 81
2, 336, Note_on_c, 0, 50, 81
2, 340, Note_on_c, 0, 38, 81
2, 351, Control_c, 0, 64, 127
2, 353, Note_on_c, 0, 86, 0
2, 356, Note_on_c, 0, 74, 0
2, 360, Note_on_c, 0, 50, 0
2, 361, Note_on_c, 0, 38, 0
2, 480, Note_on_c, 0, 69, 111
2, 481, Note_on_c, 0, 60, 111
2, 481, Note_on_c, 0, 66, 111
2, 483, Note_on_c, 0, 57, 105
2, 514, Control_c, 0, 64, 0
2, 516, Note_on_c, 0, 66, 0
2, 521, Note_on_c, 0, 64, 47
2, 544, Note_on_c, 0, 64, 0
2, 559, Note_on_c, 0, 62, 48
2, 584, Note_on_c, 0, 62, 0
2, 599, Note_on_c, 0, 64, 48
2, 624, Note_on_c, 0, 64, 0
2, 650, Note_on_c, 0, 66, 111
2, 704, Note_on_c, 0, 66, 0
2, 704, Note_on_c, 0, 69, 0
2, 706, Note_on_c, 0, 60, 0
2, 706, Note_on_c, 0, 57, 0
2, 726, Note_on_c, 0, 86, 111
2, 729, Note_on_c, 0, 74, 111
2, 734, Note_on_c, 0, 50, 105
2, 736, Note_on_c, 0, 38, 105
2, 791, Note_on_c, 0, 50, 0
2, 802, Note_on_c, 0, 38, 0
2, 815, Note_on_c, 0, 86, 0
2, 816, Note_on_c, 0, 74, 0
2, 852, Note_on_c, 0, 81, 90
2, 860, Note_on_c, 0, 45, 90
2, 919, Note_on_c, 0, 81, 0
2, 927, Note_on_c, 0, 45, 0
2, 944, Note_on_c, 0, 86, 90
2, 946, Note_on_c, 0, 74, 90
2, 954, Note_on_c, 0, 50, 81
2, 955, Note_on_c, 0, 38, 81
2, 969, Control_c, 0, 64, 127
2, 989, Note_on_c, 0, 50, 0
2, 991, Note_on_c, 0, 38, 0
2, 991, Note_on_c, 0, 86, 0
2, 994, Note_on_c, 0, 74, 0
2, 1075, Note_on_c, 0, 66, 90
2, 1075, Note_on_c, 0, 69, 90
2, 1077, Note_on_c, 0, 60, 54
2, 1079, Note_on_c, 0, 57, 81
2, 1102, Note_on_c, 0, 66, 0
2, 1106, Note_on_c, 0, 64, 48
2, 1131, Note_on_c, 0, 64, 0
2, 1137, Note_on_c, 0, 62, 54
2, 1162, Note_on_c, 0, 62, 0
2, 1165, Note_on_c, 0, 64, 48
2, 1202, Note_on_c, 0, 64, 0
2, 1207, Note_on_c, 0, 66, 90
2, 1234, Control_c, 0, 64, 0
2, 1285, Note_on_c, 0, 66, 0
2, 1285, Note_on_c, 0, 69, 0
2, 1287, Note_on_c, 0, 60, 0
2, 1289, Note_on_c, 0, 57, 0
2, 1309, Note_on_c, 0, 86, 96
2, 1312, Note_on_c, 0, 74, 96
2, 1317, Note_on_c, 0, 50, 90
2, 1318, Note_on_c, 0, 38, 90
2, 1335, Note_on_c, 0, 86, 0
2, 1337, Note_on_c, 0, 74, 0
2, 1343, Note_on_c, 0, 50, 0
2, 1344, Control_c, 0, 64, 127
2, 1355, Note_on_c, 0, 38, 0
2, 1413, Note_on_c, 0, 81, 96
2, 1419, Control_c, 0, 64, 0
2, 1420, Note_on_c, 0, 45, 96
2, 1440, Note_on_c, 0, 81, 0
2, 1445, Note_on_c, 0, 45, 0
2, 1482, Note_on_c, 0, 86, 111
2, 1485, Note_on_c, 0, 74, 111
2, 1490, Note_on_c, 0, 50, 105
2, 1492, Note_on_c, 0, 38, 105
2, 1507, Control_c, 0, 64, 127
2, 1510, Note_on_c, 0, 86, 0
2, 1512, Note_on_c, 0, 74, 0
2, 1515, Note_on_c, 0, 50, 0
2, 1517, Note_on_c, 0, 38, 0
2, 1553, Note_on_c, 0, 86, 81
2, 1557, Note_on_c, 0, 74, 81
2, 1562, Note_on_c, 0, 50, 72
2, 1564, Note_on_c, 0, 38, 72
2, 1580, Note_on_c, 0, 86, 0
2, 1582, Note_on_c, 0, 74, 0
2, 1587, Note_on_c, 0, 50, 0
2, 1593, Note_on_c, 0, 81, 71
2, 1597, Note_on_c, 0, 38, 0
