0, 0, Header, 1, 5, 240
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Tempo, 500000
1, 0, Marker_t, "Chopin: Mazurka, Op. 41 No. 1- Maestoso"
1, 90240, Marker_t, "Chopin: Mazurka, Op. 41 No. 2- Andantino"
1, 149808, Marker_t, "Chopin: Mazurka, Op. 41 No. 3- Animato"
1, 181488, Marker_t, "Chopin: Mazurka, Op. 41 No. 4- Allegretto"
1, 233304, Marker_t, "Chopin: Mazurka, Op. 50 No. 1- Vivace"
1, 293808, Marker_t, "Chopin: Mazurka, Op. 50 No. 2- Allegretto"
1, 379224, Marker_t, "Chopin: Mazurka, Op. 50 No. 3- Moderato"
1, 494424, Marker_t, "Chopin: Mazurka, Op. 56 No. 1- Allegro non tanto"
1, 616344, Marker_t, "Chopin: Mazurka, Op. 56 No. 2- Vivace"
1, 662424, Marker_t, "Chopin: Mazurka, Op. 56 No. 3- Moderato"
1, 801552, Marker_t, "Chopin: Mazurka, Op. 59 No. 1- Moderato"
1, 898512, Marker_t, "Chopin: Mazurka, Op. 59 No. 2- Allegretto"
1, 967680, Marker_t, "Chopin: Mazurka, Op. 59 No. 3- Vivace"
1, 967680, End_track
2, 0, Start_track
2, 0, Title_t, "Chopin: Mazurkas 26-38"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 127
2, 184, Note_on_c, 0, 73, 50
2, 234, Control_c, 0, 64, 0
2, 267, Control_c, 0, 64, 127
2, 278, Note_on_c, 0, 71, 62
2, 296, Note_off_c, 0, 73, 64
2, 509, Note_on_c, 0, 69, 58
2, 517, Note_off_c, 0, 71, 64
2, 519, Control_c, 0, 64, 0
2, 564, Control_c, 0, 64, 127
2, 729, Note_on_c, 0, 68, 55
2, 748, Note_off_c, 0, 69, 64
2, 751, Control_c, 0, 64, 0
2, 804, Control_c, 0, 64, 127
2, 902, Note_on_c, 0, 64, 41
2, 909, Note_off_c, 0, 68, 64
2, 949, Note_on_c, 0, 61, 62
2, 968, Note_off_c, 0, 64, 64
2, 971, Control_c, 0, 64, 0
2, 1014, Control_c, 0, 64, 127
2, 1178, Note_on_c, 0, 62, 64
2, 1188, Note_off_c, 0, 61, 64
2, 1212, Control_c, 0, 64, 0
2, 1273, Control_c, 0, 64, 127
2, 1409, Note_on_c, 0, 64, 63
2, 1429, Note_off_c, 0, 62, 64
2, 1430, Control_c, 0, 64, 0
2, 1485, Control_c, 0, 64, 127
2, 1584, Note_on_c, 0, 66, 55
2, 1605, Note_off_c, 0, 64, 64
2, 1623, Control_c, 0, 64, 0
2, 1633, Note_on_c, 0, 68, 58
2, 1658, Note_off_c, 0, 66, 64
2, 1671, Control_c, 0, 64, 127
2, 1809, Note_off_c, 0, 68, 64
2, 1816, Note_on_c, 0, 71, 59
2, 1848, Control_c, 0, 64, 0
