0, 0, Header, 1, 8, 192
1, 0, Start_track
1, 0, Sequencer_specific, 10, 0, 0, 91, 35, 2, 0, 3, 0, 51, 0
1, 0, Title_t, "Ballata n°2 in Fa maggiore, Op.38"
1, 0, MIDI_port, 0
1, 0, Copyright_t, "Copyright © 2002 by Dario Galimberti - http://dariogalimberti.intefree.it"
1, 0, Text_t, "By Fryderyk Franciszek Chopin (1810-1849)"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 714370
1, 24768, Tempo, 714370
1, 24844, Tempo, 731707
1, 24921, Tempo, 750000
1, 24998, Tempo, 769329
1, 25075, Tempo, 789577
1, 25152, Tempo, 810920
1, 25228, Tempo, 833333
1, 25305, Tempo, 857265
1, 25382, Tempo, 882482
1, 25459, Tempo, 909228
1, 25536, Tempo, 937500
1, 25612, Tempo, 967898
1, 25689, Tempo, 1000000
1, 25766, Tempo, 1034661
1, 25843, Tempo, 1071619
1, 25920, Tempo, 714370
1, 26016, Tempo, 731707
1, 26112, Tempo, 750000
1, 26208, Tempo, 769329
1, 26304, Tempo, 789577
1, 26400, Tempo, 810920
1, 26496, Tempo, 833333
1, 26592, Tempo, 857265
1, 26688, Tempo, 882482
1, 26784, Tempo, 909228
1, 26880, Tempo, 937500
1, 26976, Tempo, 967898
1, 27072, Tempo, 1000000
1, 27168, Tempo, 1034661
1, 27264, Tempo, 1071619
1, 27360, Tempo, 1765225
1, 27648, Tempo, 413793
1, 36864, Tempo, 444444
1, 36892, Tempo, 437956
1, 36921, Tempo, 431685
1, 36950, Tempo, 425562
1, 36979, Tempo, 419580
1, 37007, Tempo, 413793
1, 37036, Tempo, 408163
1, 37065, Tempo, 402711
1, 37094, Tempo, 397377
1, 37123, Tempo, 392182
1, 37152, Tempo, 387121
1, 37180, Tempo, 392182
1, 37209, Tempo, 397377
1, 37238, Tempo, 402711
1, 37267, Tempo, 408163
1, 37295, Tempo, 413793
1, 37324, Tempo, 419580
1, 37353, Tempo, 425562
1, 37382, Tempo, 431685
1, 37411, Tempo, 437956
1, 37440, Tempo, 444444
1, 37468, Tempo, 437956
1, 37497, Tempo, 431685
1, 37526, Tempo, 425562
1, 37555, Tempo, 419580
1, 37583, Tempo, 413793
1, 37612, Tempo, 408163
1, 37641, Tempo, 402711
1, 37670, Tempo, 397377
1, 37699, Tempo, 392182
1, 37728, Tempo, 387121
1, 37756, Tempo, 392182
1, 37785, Tempo, 397377
1, 37814, Tempo, 402711
1, 37843, Tempo, 408163
1, 37871, Tempo, 413793
1, 37900, Tempo, 419580
1, 37929, Tempo, 425562
1, 37958, Tempo, 431685
1, 37987, Tempo, 437956
1, 38016, Tempo, 444444
1, 38044, Tempo, 437956
1, 38073, Tempo, 431685
1, 38102, Tempo, 425562
1, 38131, Tempo, 419580
1, 38159, Tempo, 413793
1, 38188, Tempo, 408163
1, 38217, Tempo, 402711
1, 38246, Tempo, 397377
1, 38275, Tempo, 392182
1, 38304, Tempo, 387121
1, 38332, Tempo, 392182
1, 38361, Tempo, 397377
1, 38390, Tempo, 402711
1, 38419, Tempo, 408163
1, 38447, Tempo, 413793
1, 38476, Tempo, 419580
1, 38505, Tempo, 425562
1, 38534, Tempo, 431685
1, 38563, Tempo, 437956
1, 38592, Tempo, 444444
1, 38620, Tempo, 437956
1, 38649, Tempo, 431685
1, 38678, Tempo, 425562
1, 38707, Tempo, 419580
1, 38735, Tempo, 413793
1, 38764, Tempo, 408163
1, 38793, Tempo, 402711
1, 38822, Tempo, 397377
1, 38851, Tempo, 392182
1, 38880, Tempo, 387121
1, 38908, Tempo, 392182
1, 38937, Tempo, 397377
1, 38966, Tempo, 402711
1, 38995, Tempo, 408163
1, 39023, Tempo, 413793
1, 39052, Tempo, 419580
1, 39081, Tempo, 425562
1, 39110, Tempo, 431685
1, 39139, Tempo, 437956
1, 39168, Tempo, 444444
1, 39196, Tempo, 437956
1, 39225, Tempo, 431685
1, 39254, Tempo, 425562
1, 39283, Tempo, 419580
1, 39311, Tempo, 413793
1, 39340, Tempo, 408163
1, 39369, Tempo, 402711
1, 39398, Tempo, 397377
1, 39427, Tempo, 392182
1, 39456, Tempo, 387121
1, 39484, Tempo, 392182
1, 39513, Tempo, 397377
1, 39542, Tempo, 402711
1, 39571, Tempo, 408163
1, 39599, Tempo, 413793
1, 39628, Tempo, 419580
1, 39657, Tempo, 425562
1, 39686, Tempo, 431685
1, 39715, Tempo, 437956
1, 39744, Tempo, 444444
1, 39772, Tempo, 437956
1, 39801, Tempo, 431685
1, 39830, Tempo, 425562
1, 39859, Tempo, 419580
1, 39887, Tempo, 413793
1, 39916, Tempo, 408163
1, 39945, Tempo, 402711
1, 39974, Tempo, 397377
1, 40003, Tempo, 392182
1, 40032, Tempo, 387121
1, 40043, Tempo, 392182
1, 40055, Tempo, 397377
1, 40066, Tempo, 402711
1, 40078, Tempo, 408163
1, 40089, Tempo, 413793
1, 40101, Tempo, 419580
1, 40112, Tempo, 425562
1, 40124, Tempo, 431685
1, 40135, Tempo, 437956
1, 40147, Tempo, 444444
1, 40158, Tempo, 451161
