0, 0, Header, 1, 3, 240
1, 0, Start_track
1, 0, Tempo, 500000
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 6, "major"
1, 0, Title_t, "\203V\203\207\203p\203\223\201u\217M\211Ì\201v                                 \211\211\221t\201@\217¬\214I\215\216\227T"
1, 0, Text_t, "CVS Ver5.05 Created"
1, 0, Text_t, "\203V\203\207\203p\203\223\201@\201u\217M\211Ì\201v"
1, 0, Text_t, "Op.60"
1, 0, Text_t, "CHOPIN  ""BARCAROLE"""
1, 0, Text_t, "Op.60"
1, 0, Text_t, "( 9' 33"")"
1, 0, Text_t, "\211\211\221t\201@\201@\217¬\214I\215\216\227T"
1, 0, Text_t, "PLAY BY KATSUHIRO"
1, 0, Text_t, "OGURI"
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "PIANO"
2, 0, MIDI_port, 0
2, 0, Text_t, "<RESET>"
2, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
2, 0, Text_t, "<Master Volume>"
2, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 4, 100, 88, 247
2, 96, Text_t, "<Master Reverve>"
2, 96, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 48, 3, 12, 247
2, 96, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 51, 60, 80, 247
2, 96, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 52, 60, 79, 247
2, 288, Control_c, 0, 0, 0
2, 290, Control_c, 0, 32, 1
2, 292, Program_c, 0, 0
2, 390, Control_c, 0, 7, 100
2, 486, Control_c, 0, 11, 127
2, 582, Control_c, 0, 10, 64
2, 678, Control_c, 0, 1, 0
2, 678, Text_t, "<part reverve>"
2, 678, Control_c, 0, 91, 90
2, 726, Control_c, 0, 99, 1
2, 728, Control_c, 0, 98, 32
2, 730, Control_c, 0, 6, 62
2, 732, Control_c, 0, 99, 1
2, 734, Control_c, 0, 98, 33
2, 736, Control_c, 0, 6, 54
2, 738, Control_c, 0, 99, 1
2, 740, Control_c, 0, 98, 99
2, 742, Control_c, 0, 6, 62
2, 744, Control_c, 0, 99, 1
2, 746, Control_c, 0, 98, 100
2, 748, Control_c, 0, 6, 60
2, 750, Control_c, 0, 99, 1
2, 752, Control_c, 0, 98, 102
2, 754, Control_c, 0, 6, 70
2, 3030, Note_on_c, 0, 37, 77
2, 3031, Note_on_c, 0, 25, 76
2, 3249, Control_c, 0, 64, 63
2, 3259, Control_c, 0, 64, 127
2, 3462, Note_on_c, 0, 25, 0
2, 3517, Note_on_c, 0, 37, 0
2, 3754, Note_on_c, 0, 71, 82
2, 3761, Note_on_c, 0, 80, 107
2, 3764, Note_on_c, 0, 75, 94
2, 4863, Note_on_c, 0, 68, 60
2, 5134, Note_on_c, 0, 75, 0
2, 5135, Note_on_c, 0, 61, 38
2, 5143, Note_on_c, 0, 77, 57
2, 5219, Note_on_c, 0, 71, 0
2, 5289, Note_on_c, 0, 77, 0
2, 5380, Note_on_c, 0, 68, 0
2, 5383, Note_on_c, 0, 73, 70
2, 5395, Note_on_c, 0, 70, 49
2, 5520, Note_on_c, 0, 61, 0
2, 5554, Note_on_c, 0, 80, 0
2, 5570, Note_on_c, 0, 73, 0
2, 5583, Note_on_c, 0, 70, 0
2, 5583, Note_on_c, 0, 78, 75
2, 5595, Note_on_c, 0, 75, 63
2, 5596, Note_on_c, 0, 66, 52
2, 5731, Note_on_c, 0, 75, 0
2, 5770, Note_on_c, 0, 80, 78
2, 5772, Note_on_c, 0, 78, 0
2, 5778, Note_on_c, 0, 70, 54
2, 5778, Note_on_c, 0, 61, 47
2, 5795, Note_on_c, 0, 66, 0
2, 5852, Note_on_c, 0, 80, 0
2, 5899, Note_on_c, 0, 70, 0
2, 5927, Note_on_c, 0, 78, 86
2, 5932, Note_on_c, 0, 68, 54
2, 5935, Note_on_c, 0, 71, 65
2, 5945, Note_on_c, 0, 61, 0
2, 6050, Note_on_c, 0, 68, 0
2, 6055, Note_on_c, 0, 71, 0
2, 6061, Note_on_c, 0, 78, 0
2, 6088, Note_on_c, 0, 77, 82
2, 6092, Note_on_c, 0, 65, 63
2, 6093, Note_on_c, 0, 73, 76
2, 6114, Note_on_c, 0, 65, 0
2, 6148, Note_on_c, 0, 73, 0
2, 6188, Note_on_c, 0, 77, 0
2, 6236, Note_on_c, 0, 78, 85
2, 6237, Note_on_c, 0, 49, 55
2, 6239, Note_on_c, 0, 68, 70
2, 6293, Note_on_c, 0, 49, 0
2, 6294, Note_on_c, 0, 68, 0
2, 6352, Note_on_c, 0, 78, 0
2, 6392, Note_on_c, 0, 75, 91
2, 6398, Note_on_c, 0, 66, 62
2, 6408, Note_on_c, 0, 70, 37
2, 6450, Control_c, 0, 64, 63
2, 6492, Control_c, 0, 64, 127
2, 6548, Note_on_c, 0, 63, 72
2, 6552, Note_on_c, 0, 66, 0
2, 6554, Note_on_c, 0, 71, 63
2, 6569, Note_on_c, 0, 70, 0
2, 6576, Note_on_c, 0, 63, 0
2, 6687, Note_on_c, 0, 49, 60
2, 6693, Note_on_c, 0, 71, 0
2, 6694, Note_on_c, 0, 77, 85
2, 6703, Note_on_c, 0, 66, 37
2, 6709, Note_on_c, 0, 75, 0
2, 6748, Note_on_c, 0, 49, 0
2, 6771, Note_on_c, 0, 77, 0
2, 6790, Note_on_c, 0, 66, 0
2, 6844, Note_on_c, 0, 75, 93
2, 6845, Note_on_c, 0, 65, 60
2, 6849, Note_on_c, 0, 68, 67
2, 6880, Control_c, 0, 64, 63
2, 6903, Control_c, 0, 64, 127
2, 6993, Note_on_c, 0, 61, 75
2, 6994, Note_on_c, 0, 65, 0
2, 6995, Note_on_c, 0, 73, 88
2, 6995, Note_on_c, 0, 70, 67
2, 7006, Note_on_c, 0, 75, 0
2, 7009, Note_on_c, 0, 68, 0
2, 7019, Note_on_c, 0, 61, 0
2, 7107, Note_on_c, 0, 70, 0
2, 7130, Note_on_c, 0, 75, 98
2, 7131, Note_on_c, 0, 49, 65
2, 7140, Note_on_c, 0, 73, 0
2, 7148, Note_on_c, 0, 65, 52
2, 7196, Note_on_c, 0, 49, 0
2, 7227, Note_on_c, 0, 75, 0
2, 7281, Note_on_c, 0, 65, 0
2, 7281, Note_on_c, 0, 71, 78
2, 7284, Note_on_c, 0, 63, 65
2, 7285, Note_on_c, 0, 66, 80
2, 7302, Control_c, 0, 64, 63
2, 7327, Control_c, 0, 64, 127
2, 7422, Note_on_c, 0, 63, 0
2, 7424, Note_on_c, 0, 75, 85
2, 7431, Note_on_c, 0, 68, 72
2, 7431, Note_on_c, 0, 59, 46
2, 7433, Note_on_c, 0, 71, 0
2, 7441, Note_on_c, 0, 66, 0
2, 7477, Note_on_c, 0, 59, 0
2, 7493, Note_on_c, 0, 75, 0
