0, 0, Header, 1, 6, 96
1, 0, Start_track
1, 0, Text_t, "Sonata I\012"
1, 0, Text_t, "Haydn\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 100000
1, 0, Sequencer_specific, 17, 68, 87, 77, 90, 86, 82, 83, 78, 32, 55, 46, 48, 46, 49, 48, 46, 48
1, 192, Tempo, 444444
1, 2496, Tempo, 444444
1, 46368, Time_signature, 2, 2, 24, 8
1, 46560, Time_signature, 1, 2, 24, 8
1, 46656, Time_signature, 3, 2, 24, 8
1, 46656, Key_signature, -2, "major"
1, 74304, Time_signature, 1, 2, 24, 8
1, 74400, Time_signature, 3, 2, 24, 8
1, 74400, Key_signature, 1, "major"
1, 109248, Key_signature, 4, "major"
1, 118464, Key_signature, 1, "major"
1, 127680, Key_signature, 4, "major"
1, 137184, Time_signature, 4, 2, 24, 8
1, 137184, Key_signature, 0, "major"
1, 137568, Time_signature, 3, 2, 24, 8
1, 165216, Key_signature, -1, "major"
1, 204672, Time_signature, 4, 2, 24, 8
1, 204672, Key_signature, 2, "major"
1, 205056, Time_signature, 3, 2, 24, 8
1, 243072, Time_signature, 1, 2, 24, 8
1, 243072, Key_signature, -3, "major"
1, 243168, Time_signature, 3, 2, 24, 8
1, 271104, Time_signature, 4, 2, 24, 8
1, 271104, Key_signature, 0, "major"
1, 271488, Time_signature, 3, 2, 24, 8
1, 301440, Time_signature, 2, 2, 24, 8
1, 301440, Key_signature, 1, "major"
1, 301632, Time_signature, 3, 2, 24, 8
1, 310848, Time_signature, 5, 2, 24, 8
1, 310848, Key_signature, -3, "major"
1, 311328, Time_signature, 3, 2, 24, 8
1, 343584, Time_signature, 4, 2, 24, 8
1, 343584, Key_signature, 2, "major"
1, 343968, Time_signature, 3, 2, 24, 8
1, 343968, End_track
2, 0, Start_track
2, 0, Title_t, "Grand Piano"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 115
2, 0, Control_c, 0, 10, 86
2, 192, Note_on_c, 0, 69, 75
2, 281, Note_on_c, 0, 69, 0
2, 288, Note_on_c, 0, 62, 75
2, 300, Note_on_c, 0, 66, 75
2, 312, Note_on_c, 0, 69, 75
2, 324, Note_on_c, 0, 74, 75
2, 377, Note_on_c, 0, 74, 0
2, 377, Note_on_c, 0, 62, 0
2, 377, Note_on_c, 0, 66, 0
2, 377, Note_on_c, 0, 69, 0
2, 384, Note_on_c, 0, 74, 75
2, 384, Note_on_c, 0, 66, 75
2, 473, Note_on_c, 0, 66, 0
2, 473, Note_on_c, 0, 74, 0
2, 480, Note_on_c, 0, 74, 75
2, 480, Note_on_c, 0, 66, 75
2, 533, Note_on_c, 0, 66, 0
2, 533, Note_on_c, 0, 74, 0
2, 540, Note_on_c, 0, 76, 75
2, 552, Note_on_c, 0, 76, 0
2, 552, Note_on_c, 0, 74, 75
2, 564, Note_on_c, 0, 74, 0
2, 564, Note_on_c, 0, 73, 75
2, 576, Note_on_c, 0, 73, 0
2, 576, Note_on_c, 0, 74, 91
2, 672, Note_on_c, 0, 74, 0
2, 672, Note_on_c, 0, 78, 75
2, 761, Note_on_c, 0, 78, 0
2, 768, Note_on_c, 0, 76, 75
2, 791, Note_on_c, 0, 76, 0
2, 792, Note_on_c, 0, 74, 75
2, 815, Note_on_c, 0, 74, 0
2, 816, Note_on_c, 0, 73, 75
2, 839, Note_on_c, 0, 73, 0
2, 840, Note_on_c, 0, 71, 75
2, 863, Note_on_c, 0, 71, 0
2, 864, Note_on_c, 0, 69, 75
2, 903, Note_on_c, 0, 69, 0
2, 960, Note_on_c, 0, 69, 75
2, 999, Note_on_c, 0, 69, 0
2, 1056, Note_on_c, 0, 69, 75
2, 1109, Note_on_c, 0, 69, 0
2, 1116, Note_on_c, 0, 71, 75
2, 1128, Note_on_c, 0, 71, 0
2, 1128, Note_on_c, 0, 69, 75
2, 1140, Note_on_c, 0, 69, 0
2, 1140, Note_on_c, 0, 68, 75
2, 1152, Note_on_c, 0, 68, 0
2, 1152, Note_on_c, 0, 69, 91
2, 1248, Note_on_c, 0, 69, 0
2, 1248, Note_on_c, 0, 79, 75
2, 1337, Note_on_c, 0, 79, 0
2, 1344, Note_on_c, 0, 78, 75
2, 1367, Note_on_c, 0, 78, 0
2, 1368, Note_on_c, 0, 76, 75
2, 1391, Note_on_c, 0, 76, 0
2, 1392, Note_on_c, 0, 74, 75
2, 1415, Note_on_c, 0, 74, 0
2, 1416, Note_on_c, 0, 73, 75
2, 1439, Note_on_c, 0, 73, 0
2, 1440, Note_on_c, 0, 81, 91
2, 1632, Note_on_c, 0, 81, 0
2, 1632, Note_on_c, 0, 82, 78
2, 1632, Note_on_c, 0, 70, 78
2, 1721, Note_on_c, 0, 70, 0
2, 1721, Note_on_c, 0, 82, 0
2, 1728, Note_on_c, 0, 83, 99
2, 1728, Note_on_c, 0, 71, 99
2, 1920, Note_on_c, 0, 71, 0
2, 1920, Note_on_c, 0, 83, 0
2, 1920, Note_on_c, 0, 76, 80
2, 2009, Note_on_c, 0, 76, 0
2, 2016, Note_on_c, 0, 79, 99
2, 2193, Note_on_c, 0, 79, 0
2, 2208, Note_on_c, 0, 76, 80
2, 2275, Note_on_c, 0, 76, 0
2, 2280, Note_on_c, 0, 73, 78
2, 2303, Note_on_c, 0, 73, 0
2, 2304, Note_on_c, 0, 74, 77
2, 2393, Note_on_c, 0, 74, 0
2, 2496, Note_on_c, 0, 69, 75
2, 2585, Note_on_c, 0, 69, 0
2, 2592, Note_on_c, 0, 62, 75
2, 2604, Note_on_c, 0, 66, 75
2, 2616, Note_on_c, 0, 69, 75
2, 2628, Note_on_c, 0, 74, 75
2, 2681, Note_on_c, 0, 74, 0
2, 2681, Note_on_c, 0, 62, 0
2, 2681, Note_on_c, 0, 66, 0
2, 2681, Note_on_c, 0, 69, 0
2, 2688, Note_on_c, 0, 74, 75
2, 2688, Note_on_c, 0, 66, 75
2, 2777, Note_on_c, 0, 66, 0
