0, 0, Header, 1, 3, 384
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Sequencer_specific, 3, 0, 0, 65
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 428571
1, 14977, Tempo, 483871
1, 28269, Tempo, 468750
1, 31041, Tempo, 472441
1, 32722, Tempo, 428571
1, 38766, Tempo, 400000
1, 41602, Tempo, 408163
1, 46730, Tempo, 444444
1, 59130, Tempo, 447761
1, 65206, Tempo, 483871
1, 65822, Tempo, 461538
1, 67716, Tempo, 428571
1, 73760, Tempo, 400000
1, 81724, Tempo, 444444
1, 94124, Tempo, 447761
1, 95408, Tempo, 472441
1, 96008, Tempo, 444444
1, 100200, Tempo, 483871
1, 100816, Tempo, 437956
1, 115566, Tempo, 419580
1, 126368, Tempo, 441176
1, 133364, Tempo, 428571
1, 157300, Tempo, 434783
1, 160428, Tempo, 472441
1, 164824, Tempo, 437956
1, 167096, Tempo, 451128
1, 171512, Tempo, 451128
1, 174772, Tempo, 451128
1, 182820, Tempo, 454545
1, 188692, Tempo, 480000
1, 190132, Tempo, 512821
1, 191620, Tempo, 444444
1, 196504, Tempo, 454545
1, 198552, Tempo, 437956
1, 204400, Tempo, 437956
1, 204495, Tempo, 441176
1, 204591, Tempo, 444444
1, 204686, Tempo, 447761
1, 204782, Tempo, 451128
1, 204877, Tempo, 454545
1, 204973, Tempo, 458015
1, 205068, Tempo, 461538
1, 205164, Tempo, 465116
1, 205259, Tempo, 468750
1, 205355, Tempo, 472441
1, 205450, Tempo, 476190
1, 205546, Tempo, 480000
1, 205641, Tempo, 483871
1, 205737, Tempo, 487805
1, 205832, Tempo, 491803
1, 205928, Tempo, 495868
1, 206024, Tempo, 500000
1, 206025, Tempo, 437956
1, 206304, Tempo, 472441
1, 211328, Tempo, 461538
1, 216324, Tempo, 451128
1, 217484, Tempo, 441176
1, 218596, Tempo, 413793
1, 221693, Tempo, 363636
1, 232420, Tempo, 461538
1, 250652, Tempo, 480000
1, 252612, Tempo, 472441
1, 256064, Tempo, 638298
1, 257452, Tempo, 652174
1, 260268, Tempo, 375000
1, 263364, Tempo, 400000
1, 263503, Tempo, 402685
1, 263643, Tempo, 405405
1, 263783, Tempo, 408163
1, 263922, Tempo, 410959
1, 264062, Tempo, 413793
1, 264202, Tempo, 416667
1, 264341, Tempo, 419580
1, 264481, Tempo, 422535
1, 264621, Tempo, 425532
1, 264760, Tempo, 428571
1, 264900, Tempo, 431655
1, 265040, Tempo, 434783
1, 265180, Tempo, 437956
1, 265181, Tempo, 400000
1, 266036, Tempo, 451128
1, 266668, Tempo, 461538
1, 268740, Tempo, 472441
1, 277612, Tempo, 483871
1, 279916, Tempo, 472441
1, 284376, Tempo, 483871
1, 306464, Tempo, 491803
1, 306464, End_track
2, 0, Start_track
2, 0, Title_t, "15th Hungarian Rhapsody"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 105
2, 0, Control_c, 0, 91, 127
2, 976, Control_c, 0, 64, 40
2, 988, Control_c, 0, 64, 72
2, 1000, Control_c, 0, 64, 104
2, 1012, Control_c, 0, 64, 127
2, 1068, Note_on_c, 0, 28, 41
2, 1124, Note_on_c, 0, 40, 46
2, 1152, Note_on_c, 0, 40, 0
2, 1164, Note_on_c, 0, 28, 0
2, 1540, Note_on_c, 0, 39, 60
2, 1592, Note_on_c, 0, 39, 0
2, 1652, Note_on_c, 0, 40, 52
2, 1672, Note_on_c, 0, 52, 46
2, 1704, Note_on_c, 0, 52, 0
2, 1720, Note_on_c, 0, 40, 0
2, 1740, Note_on_c, 0, 39, 44
2, 1772, Note_on_c, 0, 39, 0
2, 1844, Note_on_c, 0, 40, 56
2, 1852, Note_on_c, 0, 52, 54
2, 1900, Note_on_c, 0, 52, 0
2, 1908, Note_on_c, 0, 40, 0
2, 1932, Note_on_c, 0, 39, 70
2, 1996, Note_on_c, 0, 39, 0
2, 2024, Note_on_c, 0, 40, 60
2, 2028, Note_on_c, 0, 52, 65
2, 2088, Note_on_c, 0, 52, 0
2, 2092, Note_on_c, 0, 40, 0
2, 2132, Note_on_c, 0, 39, 66
2, 2180, Note_on_c, 0, 39, 0
2, 2220, Note_on_c, 0, 40, 58
2, 2228, Note_on_c, 0, 52, 64
2, 2288, Note_on_c, 0, 52, 0
2, 2288, Note_on_c, 0, 40, 0
2, 2336, Note_on_c, 0, 39, 73
2, 2388, Note_on_c, 0, 39, 0
2, 2412, Note_on_c, 0, 52, 64
2, 2416, Note_on_c, 0, 40, 56
2, 2480, Note_on_c, 0, 40, 0
2, 2480, Note_on_c, 0, 52, 0
2, 2520, Note_on_c, 0, 39, 70
