0, 0, Header, 1, 5, 48
1, 0, Start_track
1, 0, Title_t, "\203s\203A\203m\203\\\203i\203^ \221æ\202Q\202X\224Ô \201u\203n\203\223\203}\201[\203N\203\211\203\224\203B\203A\201v \221æ\202S\212y\217Í"
1, 0, Text_t, "CVS Ver5.05 Created\012"
1, 0, Text_t, "\202a\202d\202d\202s\202g\202n\202u\202d\202m\012"
1, 0, Text_t, "\202j\202k\202`\202u\202h\202d\202q \202r\202n\202m\202`\202s\202d\012"
1, 0, Text_t, "\202a-\202\204\202\225\202\222\201@\202n\202\220.\202P\202O\202U\012"
1, 0, Text_t, "<\202g\202\201\202\215\202\215\202\205\202\222\202\213\202\214\202\201\202\226\202\211\202\205\202\222>\012"
1, 0, Text_t, "\201m\207W\201n\012"
1, 0, Text_t, "by \203p\203p\202±\202Á\202±\012"
1, 0, Text_t, "(MXH00403)\012"
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 1, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 4, 127, 61, 247
1, 2, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 48, 3, 12, 247
1, 3, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 49, 3, 11, 247
1, 4, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 51, 64, 76, 247
1, 5, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 52, 69, 70, 247
1, 6, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 56, 2, 5, 247
1, 7, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 58, 64, 69, 247
1, 8, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 62, 19, 110, 247
1, 9, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 61, 0, 2, 247
1, 9, Time_signature, 3, 2, 24, 8
1, 9, Key_signature, -1, "major"
1, 9, Tempo, 521739
1, 297, Tempo, 2222222
1, 305, Tempo, 1764706
1, 313, Tempo, 1538462
1, 321, Tempo, 1621622
1, 329, Tempo, 1538462
1, 337, Tempo, 1875000
1, 345, Tempo, 2400000
1, 353, Tempo, 7500000
1, 361, Tempo, 4615385
1, 369, Tempo, 3333333
1, 423, Tempo, 1200000
1, 435, Tempo, 1764706
1, 459, Tempo, 1463415
1, 483, Tempo, 1875000
1, 519, Tempo, 1395349
1, 555, Tempo, 1875000
1, 615, Tempo, 1621622
1, 651, Tempo, 2000000
1, 711, Tempo, 2222222
1, 747, Tempo, 3750000
1, 807, Tempo, 1538462
1, 819, Tempo, 1250000
1, 831, Tempo, 1132075
1, 843, Tempo, 1052632
1, 855, Tempo, 1090909
1, 867, Tempo, 1132075
1, 879, Tempo, 1200000
1, 891, Tempo, 1395349
1, 903, Tempo, 1052632
1, 915, Tempo, 1090909
1, 927, Tempo, 1132075
1, 939, Tempo, 1052632
1, 951, Tempo, 1132075
1, 963, Tempo, 1052632
1, 975, Tempo, 1132075
1, 987, Tempo, 1463415
1, 999, Tempo, 1132075
1, 1023, Tempo, 1090909
1, 1035, Tempo, 1200000
1, 1047, Tempo, 1090909
1, 1059, Tempo, 1250000
1, 1071, Tempo, 1463415
1, 1083, Tempo, 1304348
1, 1107, Tempo, 1463415
1, 1131, Tempo, 1875000
1, 1155, Tempo, 2222222
1, 1173, Tempo, 4615385
1, 1185, Tempo, 2608696
1, 1209, Tempo, 3333333
1, 1269, Tempo, 1875000
1, 1305, Tempo, 3000000
1, 1365, Tempo, 7500000
1, 1377, Tempo, 7500000
1, 1397, Tempo, 1000000
1, 1409, Tempo, 810811
1, 1421, Tempo, 769231
1, 1433, Tempo, 722892
1, 1445, Tempo, 705882
1, 1457, Tempo, 689655
1, 1469, Tempo, 666667
1, 1481, Tempo, 769231
1, 1493, Tempo, 689655
1, 1529, Tempo, 652174
1, 1541, Tempo, 689655
1, 1553, Tempo, 705882
1, 1577, Tempo, 722892
1, 1589, Tempo, 666667
1, 1601, Tempo, 689655
1, 1613, Tempo, 652174
1, 1625, Tempo, 689655
1, 1637, Tempo, 652174
1, 1661, Tempo, 689655
1, 1673, Tempo, 810811
1, 1685, Tempo, 722892
1, 1697, Tempo, 689655
1, 1709, Tempo, 666667
1, 1721, Tempo, 689655
1, 1733, Tempo, 652174
1, 1745, Tempo, 689655
1, 1757, Tempo, 705882
1, 1781, Tempo, 722892
1, 1793, Tempo, 705882
1, 1805, Tempo, 689655
1, 1817, Tempo, 705882
1, 1841, Tempo, 652174
1, 1853, Tempo, 689655
1, 1865, Tempo, 705882
1, 1877, Tempo, 750000
1, 1889, Tempo, 789474
1, 1901, Tempo, 845070
1, 1913, Tempo, 869565
1, 1925, Tempo, 810811
1, 1937, Tempo, 769231
1, 1949, Tempo, 789474
1, 1961, Tempo, 869565
1, 1973, Tempo, 1000000
1, 1985, Tempo, 1538462
1, 1997, Tempo, 3000000
1, 2009, Tempo, 6666667
1, 2025, Key_signature, 5, "major"
1, 2045, Tempo, 1538462
1, 2081, Tempo, 1875000
1, 2129, Tempo, 4615385
1, 2153, Tempo, 389610
1, 2177, Tempo, 382166
1, 2189, Tempo, 377358
1, 2201, Tempo, 382166
1, 2225, Tempo, 377358
1, 2237, Tempo, 382166
1, 2249, Tempo, 377358
1, 2273, Tempo, 382166
1, 2285, Tempo, 377358
1, 2297, Tempo, 372671
1, 2309, Tempo, 389610
1, 2313, Time_signature, 4, 2, 24, 8
1, 2321, Tempo, 377358
1, 2333, Tempo, 394737
1, 2345, Tempo, 382166
1, 2369, Tempo, 377358
1, 2381, Tempo, 382166
1, 2393, Tempo, 377358
1, 2405, Tempo, 372671
1, 2417, Tempo, 377358
1, 2429, Tempo, 382166
1, 2453, Tempo, 394737
1, 2465, Tempo, 389610
1, 2477, Tempo, 400000
1, 2489, Tempo, 389610
1, 2501, Tempo, 394737
1, 2513, Tempo, 389610
1, 2525, Tempo, 413793
1, 2537, Tempo, 434783
1, 2549, Tempo, 400000
1, 2561, Tempo, 394737
1, 2573, Tempo, 405405
1, 2585, Tempo, 389610
1, 2597, Tempo, 394737
1, 2609, Tempo, 400000
1, 2621, Tempo, 413793
1, 2645, Tempo, 405405
1, 2657, Tempo, 400000
1, 2669, Tempo, 394737
1, 2681, Tempo, 400000
1, 2693, Tempo, 394737
1, 2705, Tempo, 400000
1, 2717, Tempo, 394737
1, 2729, Tempo, 419580
1, 2741, Tempo, 405405
1, 2753, Tempo, 419580
1, 2765, Tempo, 400000
1, 2777, Tempo, 394737
1, 2789, Tempo, 400000
1, 2801, Tempo, 394737
1, 2813, Tempo, 419580
1, 2825, Tempo, 394737
1, 2837, Tempo, 400000
1, 2849, Tempo, 405405
1, 2861, Tempo, 413793
1, 2873, Tempo, 389610
1, 2885, Tempo, 413793
1, 2897, Tempo, 425532
1, 2909, Tempo, 441176
1, 2921, Tempo, 419580
1, 2933, Tempo, 400000
1, 2945, Tempo, 405405
1, 2957, Tempo, 425532
1, 2969, Tempo, 405405
1, 2981, Tempo, 419580
1, 2993, Tempo, 425532
1, 3005, Tempo, 465116
1, 3017, Tempo, 413793
1, 3029, Tempo, 458015
1, 3041, Tempo, 419580
1, 3053, Tempo, 447761
1, 3065, Tempo, 434783
1, 3077, Tempo, 540541
1, 3089, Tempo, 530973
1, 3101, Tempo, 810811
1, 3113, Tempo, 1875000
1, 3197, Tempo, 1621622
1, 3233, Tempo, 1875000
1, 3257, Tempo, 2608696
1, 3293, Tempo, 1621622
1, 3353, Tempo, 1875000
1, 3389, Tempo, 1200000
1, 3425, Tempo, 1463415
1, 3465, Key_signature, 3, "major"
1, 3485, Tempo, 1304348
1, 3497, Tempo, 1463415
1, 3505, Tempo, 1304348
1, 3513, Tempo, 1132075
1, 3521, Tempo, 1000000
1, 3529, Tempo, 937500
1, 3537, Tempo, 1000000
1, 3545, Tempo, 1052632
1, 3553, Tempo, 1132075
1, 3561, Tempo, 1395349
1, 3569, Tempo, 1621622
1, 3577, Tempo, 4615385
1, 3585, Tempo, 2000000
1, 3593, Tempo, 1463415
1, 3625, Tempo, 1304348
1, 3657, Time_signature, 12, 3, 12, 8
1, 3721, Tempo, 1463415
1, 3753, Tempo, 1621622
1, 3785, Tempo, 2608696
1, 3793, Tempo, 2400000
1, 3801, Tempo, 2000000
1, 3809, Tempo, 1875000
1, 3817, Tempo, 1764706
1, 3825, Tempo, 1463415
1, 3833, Tempo, 1395349
1, 3841, Tempo, 1250000
1, 3849, Tempo, 1395349
1, 3857, Tempo, 1463415
1, 3865, Tempo, 1538462
1, 3869, Tempo, 1621622
1, 3875, Tempo, 1875000
1, 3879, Tempo, 2608696
1, 3883, Tempo, 1395349
1, 3887, Tempo, 1090909
1, 3891, Tempo, 1132075
1, 3895, Tempo, 1090909
1, 3899, Tempo, 1052632
1, 3903, Tempo, 1132075
1, 3907, Tempo, 1250000
1, 3911, Tempo, 1200000
1, 3915, Tempo, 1132075
1, 3919, Tempo, 1052632
1, 3923, Tempo, 1132075
1, 3927, Tempo, 1090909
1, 3931, Tempo, 1250000
1, 3935, Tempo, 1200000
1, 3939, Tempo, 1132075
1, 3943, Tempo, 1052632
1, 3947, Tempo, 1200000
1, 3951, Tempo, 1132075
1, 3955, Tempo, 1090909
1, 3959, Tempo, 1132075
1, 3963, Tempo, 1250000
1, 3971, Tempo, 1200000
1, 3975, Tempo, 1132075
1, 3979, Tempo, 1250000
1, 3983, Tempo, 2222222
1, 3987, Tempo, 2400000
1, 3991, Tempo, 1200000
1, 3995, Tempo, 1090909
1, 3999, Tempo, 1250000
1, 4003, Tempo, 1132075
1, 4007, Tempo, 1090909
1, 4011, Tempo, 1052632
1, 4015, Tempo, 1200000
1, 4019, Tempo, 1052632
1, 4023, Tempo, 1200000
1, 4027, Tempo, 1250000
1, 4031, Tempo, 1052632
1, 4035, Tempo, 1200000
1, 4039, Tempo, 1132075
1, 4047, Tempo, 1250000
1, 4051, Tempo, 1132075
1, 4055, Tempo, 1304348
1, 4059, Tempo, 1132075
1, 4067, Tempo, 1250000
1, 4071, Tempo, 1304348
1, 4075, Tempo, 1395349
1, 4079, Tempo, 1621622
1, 4083, Tempo, 2608696
1, 4087, Tempo, 3000000
1, 4091, Tempo, 1621622
1, 4095, Tempo, 1132075
1, 4099, Tempo, 1090909
1, 4103, Tempo, 1052632
1, 4119, Tempo, 1090909
1, 4123, Tempo, 1250000
1, 4127, Tempo, 1132075
1, 4131, Tempo, 1052632
1, 4135, Tempo, 1250000
1, 4139, Tempo, 1200000
1, 4143, Tempo, 1132075
1, 4147, Tempo, 1090909
1, 4151, Tempo, 1250000
1, 4155, Tempo, 1200000
1, 4159, Tempo, 1132075
1, 4163, Tempo, 1090909
1, 4167, Tempo, 1200000
1, 4171, Tempo, 1090909
1, 4175, Tempo, 1304348
1, 4179, Tempo, 1250000
1, 4183, Tempo, 1395349
1, 4187, Tempo, 1250000
1, 4191, Tempo, 1304348
1, 4195, Tempo, 1250000
1, 4199, Tempo, 1200000
1, 4203, Tempo, 1395349
1, 4207, Tempo, 1250000
1, 4211, Tempo, 1395349
1, 4215, Tempo, 1250000
1, 4219, Tempo, 1395349
1, 4223, Tempo, 1304348
1, 4227, Tempo, 1538462
1, 4231, Tempo, 1463415
1, 4235, Tempo, 1395349
1, 4239, Tempo, 1463415
1, 4243, Tempo, 1875000
1, 4247, Tempo, 5454545
1, 4255, Tempo, 3333333
1, 4265, Tempo, 3000000
1, 4289, Tempo, 3333333
1, 4295, Tempo, 2608696
1, 4301, Tempo, 3000000
1, 4355, Tempo, 2608696
1, 4361, Tempo, 3000000
1, 4367, Tempo, 2608696
1, 4451, Tempo, 2400000
1, 4463, Tempo, 2608696
1, 4475, Tempo, 2400000
1, 4489, Tempo, 2222222
1, 4517, Tempo, 2000000
1, 4545, Tempo, 1621622
1, 4585, Tempo, 1463415
1, 4609, Tempo, 1200000
1, 4625, Tempo, 1132075
1, 4641, Tempo, 1000000
1, 4657, Tempo, 967742
1, 4673, Tempo, 895522
1, 4681, Tempo, 810811
1, 4689, Tempo, 769231
1, 4697, Tempo, 750000
1, 4705, Tempo, 689655
1, 4721, Tempo, 666667
1, 4729, Tempo, 689655
1, 4737, Tempo, 722892
1, 4745, Tempo, 666667
1, 4753, Tempo, 652174
1, 4775, Tempo, 689655
1, 4793, Tempo, 652174
1, 4809, Key_signature, -2, "major"
1, 4817, Tempo, 666667
1, 4829, Tempo, 689655
1, 4865, Tempo, 705882
1, 4913, Tempo, 750000
1, 4919, Tempo, 769231
1, 4937, Tempo, 1000000
1, 4961, Tempo, 1090909
1, 4973, Tempo, 1250000
1, 4985, Tempo, 1395349
1, 5009, Tempo, 1538462
1, 5015, Tempo, 1764706
1, 5021, Tempo, 2608696
1, 5033, Tempo, 530973
1, 5045, Tempo, 465116
1, 5053, Tempo, 441176
1, 5061, Tempo, 425532
1, 5068, Tempo, 419580
1, 5076, Tempo, 434783
1, 5084, Tempo, 419580
1, 5092, Tempo, 465116
1, 5097, Time_signature, 3, 2, 24, 8
1, 5099, Tempo, 419580
1, 5107, Tempo, 434783
1, 5115, Tempo, 425532
1, 5123, Tempo, 434783
1, 5131, Tempo, 425532
1, 5139, Tempo, 441176
1, 5146, Tempo, 434783
1, 5154, Tempo, 425532
1, 5162, Tempo, 419580
1, 5169, Tempo, 434783
1, 5177, Tempo, 540541
1, 5185, Tempo, 413793
1, 5193, Tempo, 405405
1, 5201, Tempo, 413793
1, 5217, Tempo, 434783
1, 5225, Tempo, 618557
