0, 0, Header, 1, 5, 120
1, 0, Start_track
1, 0, Title_t, "Mendelssohn Liszt On Wings Of Song"
1, 0, Text_t, "Segundo G.Yogore,  dody@wbi"
1, 0, Text_t, "sequenced by Segundo G.Yogore\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 821918
1, 360, Tempo, 909091
1, 660, Tempo, 1052632
1, 720, Tempo, 909091
1, 1020, Tempo, 1052632
1, 1080, Tempo, 909091
1, 1740, Tempo, 1052632
1, 1800, Tempo, 909091
1, 3180, Tempo, 1052632
1, 3240, Tempo, 909091
1, 5520, Tempo, 1052632
1, 5580, Tempo, 909091
1, 6165, Tempo, 952381
1, 6210, Tempo, 1000000
1, 6255, Tempo, 1052632
1, 6300, Tempo, 1132075
1, 6345, Tempo, 1200000
1, 6390, Tempo, 1276596
1, 6435, Tempo, 1363636
1, 6480, Tempo, 967742
1, 7605, Tempo, 1016949
1, 7650, Tempo, 1071429
1, 7695, Tempo, 1132075
1, 7740, Tempo, 1224490
1, 7785, Tempo, 1304348
1, 7830, Tempo, 1395349
1, 7875, Tempo, 1500000
1, 7920, Tempo, 967742
1, 9405, Tempo, 1016949
1, 9450, Tempo, 1071429
1, 9495, Tempo, 1132075
1, 9540, Tempo, 1224490
1, 9585, Tempo, 1304348
1, 9630, Tempo, 1395349
1, 9675, Tempo, 1500000
1, 9720, Tempo, 967742
1, 12180, Tempo, 1052632
1, 12240, Tempo, 909091
1, 12600, Tempo, 821918
1, 14220, Tempo, 909091
1, 15165, Tempo, 952381
1, 15210, Tempo, 1000000
1, 15255, Tempo, 1052632
1, 15300, Tempo, 1132075
1, 15345, Tempo, 1200000
1, 15390, Tempo, 1276596
1, 15435, Tempo, 1363636
1, 15480, Tempo, 967742
1, 15840, Tempo, 821918
1, 16200, Time_signature, 7, 3, 12, 8
1, 16440, Tempo, 909091
1, 16620, Time_signature, 8, 3, 12, 8
1, 16665, Tempo, 952381
1, 16710, Tempo, 1000000
1, 16755, Tempo, 1052632
1, 16800, Tempo, 1132075
1, 16845, Tempo, 1200000
1, 16890, Tempo, 1276596
1, 16935, Tempo, 1363636
1, 16980, Tempo, 1500000
1, 17100, Time_signature, 6, 3, 12, 8
1, 17100, Tempo, 909091
1, 18225, Tempo, 952381
1, 18270, Tempo, 1000000
1, 18315, Tempo, 1052632
1, 18360, Tempo, 1132075
1, 18405, Tempo, 1200000
1, 18450, Tempo, 1276596
1, 18495, Tempo, 1363636
1, 18540, Tempo, 967742
1, 21420, Tempo, 1052632
1, 21480, Tempo, 909091
1, 21600, Tempo, 1052632
1, 21660, Tempo, 909091
1, 22185, Tempo, 952381
1, 22230, Tempo, 1000000
1, 22275, Tempo, 1052632
1, 22320, Tempo, 1132075
1, 22365, Tempo, 1200000
1, 22410, Tempo, 1276596
1, 22455, Tempo, 1363636
1, 22500, Tempo, 967742
1, 23625, Tempo, 1016949
1, 23670, Tempo, 1071429
1, 23715, Tempo, 1132075
1, 23760, Tempo, 1224490
1, 23805, Tempo, 1304348
1, 23850, Tempo, 1395349
1, 23895, Tempo, 1500000
1, 23940, Tempo, 967742
1, 23940, End_track
2, 0, Start_track
2, 0, Title_t, "Grand Piano"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 115
2, 0, Control_c, 0, 10, 86
2, 60, Control_c, 0, 64, 127
2, 60, Note_on_c, 0, 60, 75
2, 90, Note_on_c, 0, 60, 0
2, 90, Note_on_c, 0, 63, 75
2, 120, Note_on_c, 0, 63, 0
2, 120, Note_on_c, 0, 68, 75
2, 150, Note_on_c, 0, 68, 0
2, 150, Note_on_c, 0, 72, 75
2, 180, Note_on_c, 0, 72, 0
2, 240, Note_on_c, 0, 60, 62
2, 270, Note_on_c, 0, 60, 0
2, 270, Note_on_c, 0, 63, 62
2, 300, Note_on_c, 0, 63, 0
2, 300, Note_on_c, 0, 68, 62
2, 330, Note_on_c, 0, 68, 0
2, 330, Note_on_c, 0, 72, 62
2, 360, Note_on_c, 0, 72, 0
2, 420, Note_on_c, 0, 60, 49
2, 450, Note_on_c, 0, 60, 0
2, 450, Note_on_c, 0, 63, 49
2, 480, Note_on_c, 0, 63, 0
2, 480, Note_on_c, 0, 68, 49
2, 510, Note_on_c, 0, 68, 0
2, 510, Note_on_c, 0, 72, 49
2, 540, Note_on_c, 0, 72, 0
2, 600, Note_on_c, 0, 60, 49
2, 630, Note_on_c, 0, 60, 0
2, 630, Note_on_c, 0, 63, 49
2, 660, Note_on_c, 0, 63, 0
2, 660, Note_on_c, 0, 68, 49
2, 690, Note_on_c, 0, 68, 0
2, 690, Note_on_c, 0, 72, 49
2, 720, Note_on_c, 0, 72, 0
2, 780, Note_on_c, 0, 60, 49
2, 810, Note_on_c, 0, 60, 0
2, 810, Note_on_c, 0, 63, 49
2, 840, Note_on_c, 0, 63, 0
2, 840, Note_on_c, 0, 68, 49
2, 870, Note_on_c, 0, 68, 0
2, 870, Note_on_c, 0, 72, 49
2, 900, Note_on_c, 0, 72, 0
2, 990, Note_on_c, 0, 63, 49
2, 1020, Note_on_c, 0, 63, 0
2, 1020, Note_on_c, 0, 68, 49
2, 1050, Note_on_c, 0, 68, 0
2, 1050, Control_c, 0, 64, 0
2, 1050, Note_on_c, 0, 72, 49
2, 1080, Note_on_c, 0, 72, 0
2, 1080, Control_c, 0, 64, 127
2, 1140, Note_on_c, 0, 61, 49
2, 1170, Note_on_c, 0, 61, 0
2, 1170, Note_on_c, 0, 63, 49
2, 1200, Note_on_c, 0, 63, 0
2, 1200, Note_on_c, 0, 67, 49
2, 1230, Note_on_c, 0, 67, 0
2, 1230, Note_on_c, 0, 73, 49
2, 1260, Note_on_c, 0, 73, 0
2, 1320, Note_on_c, 0, 61, 49
2, 1350, Note_on_c, 0, 61, 0
2, 1350, Note_on_c, 0, 63, 49
2, 1380, Note_on_c, 0, 63, 0
2, 1380, Control_c, 0, 64, 0
2, 1380, Note_on_c, 0, 67, 49
2, 1410, Note_on_c, 0, 67, 0
2, 1410, Note_on_c, 0, 73, 49
2, 1440, Note_on_c, 0, 73, 0
2, 1440, Control_c, 0, 64, 127
2, 1500, Note_on_c, 0, 61, 49
2, 1530, Note_on_c, 0, 61, 0
2, 1530, Note_on_c, 0, 63, 49
2, 1560, Note_on_c, 0, 63, 0
2, 1560, Note_on_c, 0, 70, 49
2, 1590, Note_on_c, 0, 70, 0
2, 1590, Note_on_c, 0, 73, 49
2, 1620, Note_on_c, 0, 73, 0
2, 1680, Control_c, 0, 64, 0
2, 1710, Note_on_c, 0, 63, 49
2, 1740, Note_on_c, 0, 63, 0
2, 1740, Note_on_c, 0, 70, 49
2, 1770, Note_on_c, 0, 70, 0
2, 1770, Note_on_c, 0, 73, 49
2, 1800, Note_on_c, 0, 73, 0
2, 1800, Control_c, 0, 64, 127
2, 1890, Note_on_c, 0, 63, 49
2, 1920, Note_on_c, 0, 63, 0
2, 1920, Note_on_c, 0, 68, 49
2, 1950, Note_on_c, 0, 68, 0
2, 1950, Note_on_c, 0, 72, 49
2, 1980, Note_on_c, 0, 72, 0
2, 2040, Control_c, 0, 64, 0
2, 2040, Note_on_c, 0, 60, 49
2, 2070, Note_on_c, 0, 60, 0
2, 2070, Note_on_c, 0, 63, 49
2, 2100, Note_on_c, 0, 63, 0
2, 2100, Note_on_c, 0, 68, 49
2, 2130, Note_on_c, 0, 68, 0
2, 2130, Note_on_c, 0, 72, 49
2, 2160, Note_on_c, 0, 72, 0
2, 2160, Control_c, 0, 64, 127
2, 2250, Note_on_c, 0, 63, 49
2, 2280, Note_on_c, 0, 63, 0
2, 2280, Note_on_c, 0, 68, 49
2, 2310, Note_on_c, 0, 68, 0
2, 2310, Note_on_c, 0, 72, 49
2, 2340, Note_on_c, 0, 72, 0
2, 2430, Note_on_c, 0, 63, 49
2, 2460, Note_on_c, 0, 63, 0
2, 2460, Note_on_c, 0, 68, 49
2, 2490, Note_on_c, 0, 68, 0
2, 2490, Control_c, 0, 64, 0
2, 2490, Note_on_c, 0, 72, 49
2, 2520, Note_on_c, 0, 72, 0
2, 2520, Control_c, 0, 64, 127
2, 2580, Note_on_c, 0, 60, 49
2, 2610, Note_on_c, 0, 60, 0
2, 2610, Note_on_c, 0, 63, 49
2, 2640, Note_on_c, 0, 63, 0
2, 2640, Note_on_c, 0, 68, 49
2, 2670, Note_on_c, 0, 68, 0
2, 2670, Note_on_c, 0, 72, 49
2, 2700, Note_on_c, 0, 72, 0
2, 2760, Note_on_c, 0, 60, 49
2, 2790, Note_on_c, 0, 60, 0
2, 2790, Note_on_c, 0, 63, 49
2, 2820, Note_on_c, 0, 63, 0
2, 2820, Note_on_c, 0, 68, 49
2, 2850, Note_on_c, 0, 68, 0
2, 2850, Control_c, 0, 64, 0
2, 2850, Note_on_c, 0, 72, 49
2, 2880, Note_on_c, 0, 72, 0
2, 2880, Control_c, 0, 64, 127
2, 2970, Note_on_c, 0, 62, 49
2, 3000, Note_on_c, 0, 62, 0
2, 3000, Control_c, 0, 64, 0
2, 3000, Note_on_c, 0, 68, 49
2, 3030, Note_on_c, 0, 68, 0
2, 3030, Note_on_c, 0, 70, 49
2, 3060, Note_on_c, 0, 70, 0
2, 3060, Control_c, 0, 64, 127
2, 3120, Note_on_c, 0, 58, 49
2, 3150, Note_on_c, 0, 58, 0
2, 3150, Note_on_c, 0, 62, 49
2, 3180, Note_on_c, 0, 62, 0
2, 3180, Note_on_c, 0, 65, 49
2, 3210, Note_on_c, 0, 65, 0
2, 3210, Control_c, 0, 64, 0
2, 3210, Note_on_c, 0, 70, 49
2, 3240, Note_on_c, 0, 70, 0
2, 3240, Control_c, 0, 64, 127
2, 3300, Note_on_c, 0, 58, 49
2, 3330, Note_on_c, 0, 58, 0
2, 3330, Note_on_c, 0, 63, 49
2, 3360, Note_on_c, 0, 63, 0
2, 3360, Note_on_c, 0, 67, 49
2, 3390, Note_on_c, 0, 67, 0
2, 3390, Note_on_c, 0, 70, 49
2, 3420, Note_on_c, 0, 70, 0
2, 3480, Note_on_c, 0, 58, 49
2, 3510, Note_on_c, 0, 58, 0
2, 3510, Note_on_c, 0, 63, 49
2, 3540, Note_on_c, 0, 63, 0
2, 3540, Note_on_c, 0, 67, 49
2, 3570, Note_on_c, 0, 67, 0
2, 3570, Control_c, 0, 64, 0
2, 3570, Note_on_c, 0, 70, 49
2, 3600, Note_on_c, 0, 70, 0
2, 3600, Control_c, 0, 64, 127
2, 3690, Note_on_c, 0, 63, 49
2, 3720, Note_on_c, 0, 63, 0
2, 3720, Note_on_c, 0, 66, 49
2, 3750, Note_on_c, 0, 66, 0
2, 3750, Note_on_c, 0, 70, 49
2, 3780, Note_on_c, 0, 70, 0
2, 3870, Note_on_c, 0, 63, 49
2, 3900, Note_on_c, 0, 63, 0
2, 3900, Control_c, 0, 64, 0
2, 3900, Note_on_c, 0, 66, 49
2, 3930, Note_on_c, 0, 66, 0
2, 3930, Note_on_c, 0, 70, 49
2, 3960, Note_on_c, 0, 70, 0
2, 3960, Control_c, 0, 64, 127
2, 4020, Note_on_c, 0, 58, 49
2, 4050, Note_on_c, 0, 58, 0
2, 4050, Note_on_c, 0, 61, 49
2, 4080, Note_on_c, 0, 61, 0
2, 4080, Note_on_c, 0, 65, 49
2, 4110, Note_on_c, 0, 65, 0
2, 4110, Note_on_c, 0, 70, 49
2, 4140, Note_on_c, 0, 70, 0
2, 4200, Note_on_c, 0, 58, 49
2, 4230, Note_on_c, 0, 58, 0
2, 4230, Note_on_c, 0, 61, 49
2, 4260, Note_on_c, 0, 61, 0
2, 4260, Note_on_c, 0, 65, 49
2, 4290, Note_on_c, 0, 65, 0
2, 4290, Control_c, 0, 64, 0
2, 4290, Note_on_c, 0, 70, 49
2, 4320, Note_on_c, 0, 70, 0
2, 4320, Control_c, 0, 64, 127
2, 4380, Note_on_c, 0, 58, 36
2, 4410, Note_on_c, 0, 58, 0
2, 4410, Note_on_c, 0, 63, 36
2, 4440, Note_on_c, 0, 63, 0
2, 4440, Note_on_c, 0, 66, 36
2, 4470, Note_on_c, 0, 66, 0
2, 4470, Note_on_c, 0, 70, 36
2, 4500, Note_on_c, 0, 70, 0
2, 4590, Note_on_c, 0, 63, 49
2, 4620, Note_on_c, 0, 63, 0
2, 4620, Control_c, 0, 64, 0
2, 4620, Note_on_c, 0, 66, 49
2, 4650, Note_on_c, 0, 66, 0
