0, 0, Header, 1, 7, 192
1, 0, Start_track
1, 0, Title_t, "Scanned Piano Roll W - 882W"
1, 0, Copyright_t, "Commercial use prohibited"
1, 0, Text_t, "\012"
1, 0, Text_t, "Roll expression tracks converted to MIDI velocities\012"
1, 0, Text_t, "/roll_number: 882\012"
1, 0, Text_t, "/title: On Wings of Song\012"
1, 0, Text_t, "/composer: Mendelssohn-Liszt\012"
1, 0, Text_t, "/pianist: Emil Sauer\012"
1, 0, Text_t, "/copyright_year: \012"
1, 0, Text_t, "/roll_type: Welte\012"
1, 0, Text_t, " \012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 500000
1, 0, Marker_t, "Standard MIDI:Welte Licensee:LPI 115:Tempo  80: 06-17-2004"
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "On Wings of Song"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 115
2, 272, Control_c, 0, 64, 0
2, 279, Control_c, 0, 67, 0
2, 579, Control_c, 0, 67, 127
2, 1118, Note_on_c, 0, 44, 44
2, 1184, Control_c, 0, 64, 127
2, 1255, Note_on_c, 0, 51, 42
2, 1333, Note_on_c, 0, 60, 40
2, 1410, Note_on_c, 0, 63, 40
2, 1414, Note_on_c, 0, 44, 0
2, 1466, Note_on_c, 0, 68, 40
2, 1485, Note_on_c, 0, 51, 0
2, 1539, Note_on_c, 0, 72, 40
2, 1584, Note_on_c, 0, 60, 0
2, 1596, Note_on_c, 0, 44, 40
2, 1629, Note_on_c, 0, 63, 0
2, 1669, Note_on_c, 0, 51, 40
2, 1677, Note_on_c, 0, 68, 0
2, 1728, Note_on_c, 0, 72, 0
2, 1742, Note_on_c, 0, 60, 40
2, 1825, Note_on_c, 0, 63, 40
2, 1875, Note_on_c, 0, 44, 0
2, 1890, Note_on_c, 0, 68, 40
2, 1900, Note_on_c, 0, 51, 0
2, 1954, Note_on_c, 0, 72, 40
2, 1971, Note_on_c, 0, 60, 0
2, 2011, Note_on_c, 0, 44, 43
