0, 0, Header, 1, 3, 120
1, 0, Start_track
1, 0, Title_t, "        "
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 545455
1, 480, Marker_t, "1st Mov't. ""Allegro"""
1, 1740, Tempo, 545455
1, 1758, Tempo, 550459
1, 1776, Tempo, 555556
1, 1794, Tempo, 560748
1, 1812, Tempo, 566038
1, 1830, Tempo, 571429
1, 1848, Tempo, 576923
1, 1866, Tempo, 582524
1, 1884, Tempo, 588235
1, 1902, Tempo, 594059
1, 1920, Tempo, 600000
1, 1938, Tempo, 606061
1, 1956, Tempo, 612245
1, 1974, Tempo, 618557
1, 1992, Tempo, 625000
1, 2010, Tempo, 631579
1, 2028, Tempo, 638298
1, 2046, Tempo, 645161
1, 2064, Tempo, 652174
1, 2082, Tempo, 659341
1, 2100, Tempo, 666667
1, 2101, Tempo, 545455
1, 3180, Tempo, 545455
1, 3198, Tempo, 550459
1, 3216, Tempo, 555556
1, 3234, Tempo, 560748
1, 3252, Tempo, 566038
1, 3270, Tempo, 571429
1, 3288, Tempo, 576923
1, 3306, Tempo, 582524
1, 3324, Tempo, 588235
1, 3342, Tempo, 594059
1, 3360, Tempo, 600000
1, 3378, Tempo, 606061
1, 3396, Tempo, 612245
1, 3414, Tempo, 618557
1, 3432, Tempo, 625000
1, 3450, Tempo, 631579
1, 3468, Tempo, 638298
1, 3486, Tempo, 645161
1, 3504, Tempo, 652174
1, 3522, Tempo, 659341
1, 3540, Tempo, 666667
1, 3541, Tempo, 545455
1, 4620, Tempo, 545455
1, 4638, Tempo, 550459
1, 4656, Tempo, 555556
1, 4674, Tempo, 560748
1, 4692, Tempo, 566038
1, 4710, Tempo, 571429
1, 4728, Tempo, 576923
1, 4746, Tempo, 582524
1, 4764, Tempo, 588235
1, 4782, Tempo, 594059
1, 4800, Tempo, 600000
1, 4818, Tempo, 606061
1, 4836, Tempo, 612245
1, 4854, Tempo, 618557
1, 4872, Tempo, 625000
1, 4890, Tempo, 631579
1, 4908, Tempo, 638298
1, 4926, Tempo, 645161
1, 4944, Tempo, 652174
1, 4962, Tempo, 659341
1, 4980, Tempo, 666667
1, 4981, Tempo, 545455
1, 5760, Tempo, 545455
1, 5778, Tempo, 550459
1, 5796, Tempo, 555556
1, 5814, Tempo, 560748
1, 5832, Tempo, 566038
1, 5850, Tempo, 571429
1, 5868, Tempo, 576923
