0, 0, Header, 1, 2, 240
1, 0, Start_track
1, 0, Title_t, "\203\211\203t\203}\203j\203m\203t\201@\201u\217M\211Ì\201v Op.10-3                   \211\211\221t\201@\217¬\214I\215\216\227T"
1, 0, Copyright_t, "___________________________________________________\012\012KUNSTDERFUGE.COM LARGE CLASSICAL MIDI COLLECTION\012ONCLASSICAL BY ALESSANDRO SIMONETTO, PROPRIETOR\012___________________________________________________\012\012! Attention: this file is under copyright !\012\012(c)onclassical, (c)oguri, 2010\012___________________________________________________\012\012NO ONE MAY REPUBLISH THIS FILE WITHOUT PERMISSION\012COMMERCIAL USES OF THIS FILE IS STRICTLY PROHIBITED\012___________________________________________________\012\012Files & contributor's list: http://kunstderfuge.com/\012Terms and conditions: http://kunstderfuge.com/notes.htm"
1, 0, Text_t, "CVS Ver5.05 Created\012"
1, 0, Text_t, "\203\211\203t\203}\203j\203m\203t\201u\217M\211Ì\201v\012"
1, 0, Text_t, "Op.10-3\012"
1, 0, Text_t, "RACHMANINOFF\012"
1, 0, Text_t, """BARCAROLLE""  Op.10-3\012"
1, 0, Text_t, "(4'45"")\012"
1, 0, Text_t, "\211\211\221t\201@\201@\217¬\214I\215\216\227T\012"
1, 0, Text_t, "PLAY BY KATSUHIRO\012"
1, 0, Text_t, "OGURI\012"
1, 0, Text_t, "<RESET>\012"
1, 0, Text_t, "<Master Volume>\012"
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 1, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 4, 100, 88, 247
1, 2, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 48, 3, 12, 247
1, 2, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 51, 60, 80, 247
1, 2, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 52, 60, 79, 247
1, 2, Time_signature, 4, 2, 24, 8
1, 2, Key_signature, -2, "major"
1, 2, Tempo, 500000
1, 2, End_track
2, 0, Start_track
2, 0, Title_t, "Piano"
2, 96, Text_t, "<Master Reverve>"
2, 240, Control_c, 0, 0, 0
2, 240, Control_c, 0, 32, 1
2, 241, Program_c, 0, 0
2, 241, Control_c, 0, 7, 105
2, 241, Control_c, 0, 10, 64
2, 241, Control_c, 0, 91, 90
2, 486, Control_c, 0, 11, 127
2, 678, Control_c, 0, 1, 0
2, 678, Text_t, "<part reverve>"
2, 727, Control_c, 0, 99, 1
2, 728, Control_c, 0, 98, 32
2, 729, Control_c, 0, 6, 62
2, 730, Control_c, 0, 38, 0
2, 733, Control_c, 0, 99, 1
2, 734, Control_c, 0, 98, 33
2, 735, Control_c, 0, 6, 54
2, 736, Control_c, 0, 38, 0
2, 739, Control_c, 0, 99, 1
2, 740, Control_c, 0, 98, 99
2, 741, Control_c, 0, 6, 62
2, 742, Control_c, 0, 38, 0
2, 745, Control_c, 0, 99, 1
2, 746, Control_c, 0, 98, 100
2, 747, Control_c, 0, 6, 60
2, 748, Control_c, 0, 38, 0
2, 751, Control_c, 0, 99, 1
2, 752, Control_c, 0, 98, 102
2, 753, Control_c, 0, 6, 70
2, 754, Control_c, 0, 38, 0
2, 856, Control_c, 0, 67, 127
2, 1207, Control_c, 0, 64, 63
2, 1218, Control_c, 0, 64, 127
2, 1530, Note_on_c, 0, 74, 51
2, 1536, Note_on_c, 0, 70, 49
2, 1607, Note_on_c, 0, 70, 0
2, 1609, Note_on_c, 0, 74, 0
2, 1612, Note_on_c, 0, 67, 40
2, 1675, Note_on_c, 0, 67, 0
2, 1680, Note_on_c, 0, 70, 45
2, 1690, Note_on_c, 0, 74, 48
2, 1762, Note_on_c, 0, 67, 36
2, 1765, Note_on_c, 0, 74, 0
2, 1770, Note_on_c, 0, 70, 0
2, 1892, Note_on_c, 0, 67, 0
2, 2001, Note_on_c, 0, 74, 64
2, 2011, Note_on_c, 0, 70, 56
2, 2076, Note_on_c, 0, 74, 0
2, 2090, Note_on_c, 0, 67, 53
2, 2093, Note_on_c, 0, 70, 0
2, 2146, Note_on_c, 0, 67, 0
2, 2161, Note_on_c, 0, 70, 30
2, 2168, Note_on_c, 0, 74, 35
2, 2215, Note_on_c, 0, 74, 0
2, 2235, Note_on_c, 0, 70, 0
2, 2238, Note_on_c, 0, 67, 38
2, 2358, Note_on_c, 0, 67, 0
2, 2466, Note_on_c, 0, 74, 52
2, 2473, Note_on_c, 0, 70, 56
2, 2525, Note_on_c, 0, 74, 0
2, 2539, Note_on_c, 0, 67, 33
2, 2541, Note_on_c, 0, 70, 0
2, 2604, Note_on_c, 0, 67, 0
2, 2618, Note_on_c, 0, 74, 21
2, 2619, Note_on_c, 0, 70, 43
2, 2680, Note_on_c, 0, 74, 0
2, 2695, Note_on_c, 0, 70, 0
2, 2707, Note_on_c, 0, 67, 37
2, 2802, Note_on_c, 0, 67, 0
2, 2996, Note_on_c, 0, 62, 98
2, 3013, Note_on_c, 0, 70, 60
2, 3018, Note_on_c, 0, 74, 47
2, 3076, Note_on_c, 0, 74, 0
2, 3082, Note_on_c, 0, 70, 0
2, 3093, Note_on_c, 0, 67, 34
2, 3162, Note_on_c, 0, 67, 0
2, 3168, Note_on_c, 0, 70, 48
2, 3177, Note_on_c, 0, 74, 38
2, 3233, Note_on_c, 0, 74, 0
2, 3241, Note_on_c, 0, 70, 0
2, 3254, Note_on_c, 0, 67, 18
2, 3369, Note_on_c, 0, 67, 0
2, 3494, Note_on_c, 0, 74, 54
2, 3496, Note_on_c, 0, 70, 59
2, 3557, Note_on_c, 0, 74, 0
2, 3566, Note_on_c, 0, 67, 32
2, 3568, Note_on_c, 0, 70, 0
2, 3643, Note_on_c, 0, 67, 0
2, 3647, Note_on_c, 0, 70, 48
2, 3649, Note_on_c, 0, 74, 45
2, 3730, Note_on_c, 0, 74, 0
2, 3734, Note_on_c, 0, 70, 0
2, 3734, Note_on_c, 0, 67, 34
2, 3885, Note_on_c, 0, 67, 0
2, 3941, Note_on_c, 0, 60, 89
2, 3966, Note_on_c, 0, 74, 42
2, 3970, Note_on_c, 0, 62, 0
2, 3975, Note_on_c, 0, 70, 34
2, 4013, Control_c, 0, 64, 63
2, 4023, Note_on_c, 0, 74, 0
2, 4027, Note_on_c, 0, 66, 44
2, 4033, Note_on_c, 0, 70, 0
2, 4038, Control_c, 0, 64, 127
2, 4096, Note_on_c, 0, 70, 50
2, 4098, Note_on_c, 0, 66, 0
2, 4104, Note_on_c, 0, 74, 58
2, 4194, Note_on_c, 0, 66, 45
2, 4215, Note_on_c, 0, 74, 0
2, 4224, Note_on_c, 0, 70, 0
2, 4330, Note_on_c, 0, 66, 0
2, 4435, Note_on_c, 0, 60, 0
2, 4443, Note_on_c, 0, 58, 96
2, 4458, Note_on_c, 0, 70, 54
2, 4461, Note_on_c, 0, 74, 56
2, 4498, Control_c, 0, 64, 63
2, 4533, Control_c, 0, 64, 127
2, 4545, Note_on_c, 0, 67, 52
2, 4559, Note_on_c, 0, 60, 96
2, 4578, Note_on_c, 0, 70, 0
2, 4579, Note_on_c, 0, 74, 0
2, 4599, Note_on_c, 0, 58, 0
2, 4635, Note_on_c, 0, 70, 56
2, 4635, Note_on_c, 0, 74, 43
2, 4674, Note_on_c, 0, 67, 0
2, 4685, Note_on_c, 0, 62, 81
2, 4690, Control_c, 0, 64, 63
2, 4701, Control_c, 0, 64, 0
2, 4714, Note_on_c, 0, 67, 29
2, 4715, Note_on_c, 0, 60, 0
2, 4721, Note_on_c, 0, 74, 0
2, 4738, Note_on_c, 0, 70, 0
2, 4755, Control_c, 0, 64, 63
2, 4761, Control_c, 0, 64, 127
2, 4859, Note_on_c, 0, 67, 0
2, 4946, Note_on_c, 0, 70, 48
2, 4949, Note_on_c, 0, 74, 49
2, 4977, Note_on_c, 0, 62, 0
2, 4996, Note_on_c, 0, 67, 39
2, 5018, Note_on_c, 0, 74, 0
2, 5024, Note_on_c, 0, 70, 0
2, 5077, Note_on_c, 0, 67, 0
2, 5085, Note_on_c, 0, 74, 45
2, 5089, Note_on_c, 0, 70, 38
2, 5155, Note_on_c, 0, 50, 70
2, 5160, Note_on_c, 0, 67, 48
2, 5173, Note_on_c, 0, 43, 48
2, 5182, Note_on_c, 0, 70, 0
2, 5183, Note_on_c, 0, 74, 0
2, 5243, Note_on_c, 0, 50, 0
2, 5248, Note_on_c, 0, 43, 0
2, 5270, Note_on_c, 0, 67, 0
2, 5394, Note_on_c, 0, 74, 50
2, 5403, Note_on_c, 0, 70, 36
2, 5462, Note_on_c, 0, 74, 0
2, 5474, Note_on_c, 0, 67, 21
2, 5485, Note_on_c, 0, 70, 0
2, 5534, Note_on_c, 0, 67, 0
