0, 0, Header, 1, 3, 360
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 1250000
1, 15617, Tempo, 1250000
1, 15639, Tempo, 1282874
1, 15662, Tempo, 1317523
1, 15684, Tempo, 1354096
1, 15707, Tempo, 1392758
1, 15729, Tempo, 1433692
1, 15752, Tempo, 1477105
1, 15774, Tempo, 1523616
1, 15797, Tempo, 1572739
1, 15836, Tempo, 1666667
1, 16200, Tempo, 1500000
1, 16259, Tempo, 1500000
1, 16318, Tempo, 1522070
1, 16377, Tempo, 1544799
1, 16436, Tempo, 1568217
1, 16496, Tempo, 1592357
1, 16554, Tempo, 1617251
1, 16614, Tempo, 1642935
1, 16673, Tempo, 1669449
1, 16732, Tempo, 1696353
1, 16791, Tempo, 1724634
1, 16850, Tempo, 1753873
1, 16909, Tempo, 1784121
1, 16968, Tempo, 1815431
1, 17027, Tempo, 1847860
1, 17086, Tempo, 1881468
1, 17145, Tempo, 1916321
1, 17204, Tempo, 1952489
1, 17279, Tempo, 2000000
1, 18360, Time_signature, 4, 2, 24, 8
1, 18360, Tempo, 535714
1, 30240, Tempo, 535714
1, 30296, Tempo, 543527
1, 30353, Tempo, 551572
1, 30409, Tempo, 559858
1, 30465, Tempo, 568397
1, 30521, Tempo, 577201
1, 30578, Tempo, 586281
1, 30634, Tempo, 595593
1, 30690, Tempo, 605266
1, 30746, Tempo, 615258
1, 30803, Tempo, 625586
1, 30859, Tempo, 636267
1, 30915, Tempo, 647319
1, 30971, Tempo, 658762
1, 31028, Tempo, 670616
1, 31084, Tempo, 682905
1, 31140, Tempo, 695652
1, 31219, Tempo, 714286
1, 31320, Tempo, 535714
1, 39960, Time_signature, 6, 2, 24, 8
1, 44280, Time_signature, 4, 2, 24, 8
1, 44640, Tempo, 521739
1, 45000, Tempo, 508475
1, 45360, Tempo, 495868
1, 45720, Tempo, 483871
1, 46080, Tempo, 472441
1, 46440, Tempo, 461538
1, 46800, Tempo, 458015
1, 47160, Tempo, 454545
1, 68760, Tempo, 454545
1, 68844, Tempo, 461326
1, 68929, Tempo, 468274
1, 69013, Tempo, 475473
1, 69098, Tempo, 482859
1, 69182, Tempo, 490517
1, 69266, Tempo, 498380
1, 69351, Tempo, 506543
1, 69435, Tempo, 514933
1, 69519, Tempo, 523652
1, 69604, Tempo, 532623
1, 69688, Tempo, 541956
1, 69773, Tempo, 551623
1, 69857, Tempo, 561587
1, 69941, Tempo, 571973
1, 70026, Tempo, 582694
1, 70110, Tempo, 593883
1, 70199, Tempo, 606061
1, 70200, Tempo, 600000
1, 71834, Tempo, 652174
1, 71857, Tempo, 662544
1, 71879, Tempo, 673174
1, 71902, Tempo, 684229
1, 71924, Tempo, 695652
1, 71947, Tempo, 707464
1, 71969, Tempo, 719597
1, 71992, Tempo, 732243
1, 72014, Tempo, 745342
1, 72037, Tempo, 758917
1, 72059, Tempo, 772897
1, 72082, Tempo, 787505
1, 72104, Tempo, 802676
1, 72127, Tempo, 818442
1, 72149, Tempo, 834725
1, 72172, Tempo, 851789
1, 72194, Tempo, 869565
1, 72360, Tempo, 652174
1, 77580, Tempo, 652174
1, 77603, Tempo, 662544
1, 77625, Tempo, 673174
1, 77648, Tempo, 684229
1, 77670, Tempo, 695652
1, 77693, Tempo, 707464
1, 77715, Tempo, 719597
1, 77738, Tempo, 732243
1, 77760, Tempo, 745342
1, 77783, Tempo, 758917
1, 77805, Tempo, 772897
1, 77828, Tempo, 787505
1, 77850, Tempo, 802676
1, 77873, Tempo, 818442
1, 77895, Tempo, 834725
1, 77918, Tempo, 851789
1, 77940, Tempo, 869565
1, 78120, Tempo, 652174
1, 82800, Tempo, 666667
1, 83160, Tempo, 697674
1, 83880, Tempo, 652174
1, 93960, Tempo, 652174
1, 93991, Tempo, 661667
1, 94022, Tempo, 671441
1, 94053, Tempo, 681431
1, 94084, Tempo, 691802
1, 94115, Tempo, 702494
1, 94146, Tempo, 713521
1, 94177, Tempo, 724813
1, 94208, Tempo, 736558
1, 94239, Tempo, 748690
1, 94269, Tempo, 761228
1, 94301, Tempo, 774094
1, 94331, Tempo, 787505
1, 94362, Tempo, 801389
1, 94393, Tempo, 815772
1, 94424, Tempo, 830680
1, 94455, Tempo, 846024
1, 94500, Tempo, 869565
1, 94860, Tempo, 588235
1, 106920, Tempo, 588235
1, 106955, Tempo, 577256
1, 106991, Tempo, 566733
1, 107025, Tempo, 556535
1, 107061, Tempo, 546697
1, 107096, Tempo, 537249
1, 107131, Tempo, 528076
1, 107166, Tempo, 519211
