0, 0, Header, 1, 3, 360
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 750000
1, 5400, Time_signature, 6, 2, 24, 8
1, 14040, Time_signature, 3, 2, 24, 8
1, 18360, Time_signature, 2, 2, 24, 8
1, 18990, Tempo, 5000000
1, 19080, Time_signature, 12, 3, 12, 8
1, 19080, Tempo, 750000
1, 60120, Tempo, 750000
1, 60480, Tempo, 741840
1, 60840, Tempo, 733855
1, 61200, Tempo, 726041
1, 61560, Tempo, 718305
1, 61920, Tempo, 710816
1, 62280, Tempo, 703482
1, 62640, Tempo, 696298
1, 63000, Tempo, 689259
1, 63360, Tempo, 682361
1, 63720, Tempo, 675600
1, 64080, Tempo, 668971
1, 64440, Tempo, 662398
1, 64800, Tempo, 656024
1, 65160, Tempo, 649773
1, 65520, Tempo, 643639
1, 65880, Tempo, 637620
1, 66240, Tempo, 631712
1, 66600, Tempo, 625913
1, 66960, Tempo, 620155
1, 67320, Tempo, 614565
1, 67680, Tempo, 609075
1, 68040, Tempo, 603682
1, 68400, Tempo, 598384
1, 68760, Tempo, 593178
1, 69120, Tempo, 588062
1, 69480, Tempo, 582977
1, 69840, Tempo, 578035
1, 70200, Tempo, 573175
1, 70740, Tempo, 566038
1, 79560, Tempo, 566038
1, 79687, Tempo, 574603
1, 79813, Tempo, 583487
1, 79940, Tempo, 592593
1, 80066, Tempo, 601987
1, 80193, Tempo, 611746
1, 80319, Tempo, 621762
1, 80446, Tempo, 632111
1, 80573, Tempo, 642811
1, 80699, Tempo, 653951
1, 80826, Tempo, 665410
1, 80952, Tempo, 677277
1, 81079, Tempo, 689655
1, 81206, Tempo, 702412
1, 81332, Tempo, 715649
1, 81459, Tempo, 729483
1, 81585, Tempo, 743771
1, 81719, Tempo, 759494
1, 81720, Tempo, 750000
1, 124560, Tempo, 750000
1, 124583, Tempo, 763650
1, 124605, Tempo, 777807
1, 124628, Tempo, 792498
1, 124650, Tempo, 807646
1, 124673, Tempo, 823497
1, 124695, Tempo, 839983
1, 124718, Tempo, 857143
1, 124740, Tempo, 875018
1, 124763, Tempo, 893655
1, 124785, Tempo, 913103
1, 124808, Tempo, 933271
1, 124830, Tempo, 954502
1, 124853, Tempo, 976721
1, 124875, Tempo, 1000000
1, 124920, Tempo, 800000
1, 129240, Tempo, 800000
1, 129483, Tempo, 785238
1, 129727, Tempo, 771010
1, 129970, Tempo, 757289
1, 130213, Tempo, 744048
1, 130457, Tempo, 731261
1, 130700, Tempo, 718907
1, 130943, Tempo, 706964
1, 131430, Tempo, 684229
1, 131673, Tempo, 673401
1, 131916, Tempo, 662910
1, 132159, Tempo, 652742
1, 132403, Tempo, 642880
1, 132646, Tempo, 633312
1, 132889, Tempo, 624025
1, 133133, Tempo, 614943
1, 133380, Tempo, 606061
1, 133560, Tempo, 750000
1, 157230, Tempo, 5000000
1, 157320, Tempo, 750000
1, 157320, End_track
2, 0, Start_track
2, 0, Title_t, "Primo"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 105
2, 0, Control_c, 0, 10, 79
2, 0, Control_c, 0, 91, 60
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 91, 60
2, 0, Control_c, 0, 10, 51
2, 0, Control_c, 0, 7, 100
2, 180, Note_on_c, 0, 69, 35
2, 360, Note_on_c, 0, 69, 0
2, 360, Note_on_c, 0, 69, 42
