0, 0, Header, 1, 3, 360
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 750000
1, 6750, Tempo, 750000
1, 6903, Tempo, 735925
1, 7057, Tempo, 722369
1, 7210, Tempo, 709388
1, 7363, Tempo, 696783
1, 7670, Tempo, 672872
1, 7823, Tempo, 661594
1, 7976, Tempo, 650618
1, 8130, Tempo, 640000
1, 8283, Tempo, 629723
1, 8436, Tempo, 619771
1, 8743, Tempo, 600841
1, 8896, Tempo, 591774
1, 9049, Tempo, 582977
1, 9203, Tempo, 574493
1, 9359, Tempo, 566038
1, 10710, Tempo, 5000000
1, 10800, Tempo, 566038
1, 11790, Tempo, 750000
1, 14040, Tempo, 750000
1, 14092, Tempo, 736196
1, 14144, Tempo, 722804
1, 14196, Tempo, 709975
1, 14248, Tempo, 697593
1, 14300, Tempo, 685558
1, 14352, Tempo, 674006
1, 14404, Tempo, 662837
1, 14456, Tempo, 651961
1, 14508, Tempo, 641505
1, 14561, Tempo, 631380
1, 14612, Tempo, 621568
1, 14664, Tempo, 611995
1, 14717, Tempo, 602773
1, 14769, Tempo, 593824
1, 14820, Tempo, 585080
1, 14873, Tempo, 576646
1, 14940, Tempo, 566038
1, 14982, Tempo, 574603
1, 15024, Tempo, 583431
1, 15067, Tempo, 592593
1, 15151, Tempo, 611683
1, 15193, Tempo, 621697
1, 15236, Tempo, 632045
1, 15278, Tempo, 642811
1, 15320, Tempo, 653880
1, 15362, Tempo, 665336
1, 15404, Tempo, 677201
1, 15446, Tempo, 689497
1, 15489, Tempo, 702329
1, 15531, Tempo, 715564
1, 15573, Tempo, 729306
1, 15615, Tempo, 743587
1, 15660, Tempo, 759494
1, 15840, Tempo, 750000
1, 18360, Tempo, 759494
1, 18402, Tempo, 745156
1, 18444, Tempo, 731261
1, 18487, Tempo, 717961
1, 18529, Tempo, 705136
1, 18571, Tempo, 692681
1, 18613, Tempo, 680735
1, 18656, Tempo, 669195
1, 18698, Tempo, 657967
1, 18740, Tempo, 647179
1, 18782, Tempo, 636740
1, 18824, Tempo, 626566
1, 18866, Tempo, 616776
1, 18909, Tempo, 607287
1, 18951, Tempo, 598027
1, 18993, Tempo, 589102
1, 19035, Tempo, 580383
1, 19080, Tempo, 571429
1, 19136, Tempo, 580046
1, 19193, Tempo, 588870
1, 19249, Tempo, 598027
1, 19305, Tempo, 607410
1, 19361, Tempo, 617157
1, 19474, Tempo, 637552
1, 19530, Tempo, 648298
1, 19586, Tempo, 659413
1, 19643, Tempo, 670841
1, 19699, Tempo, 682749
1, 19755, Tempo, 695008
1, 19811, Tempo, 707798
1, 19868, Tempo, 721067
1, 19924, Tempo, 734754
1, 19980, Tempo, 749064
1, 20056, Tempo, 769231
1, 20160, Tempo, 750000
1, 22680, Tempo, 769231
1, 22722, Tempo, 755097
1, 22764, Tempo, 741381
1, 22807, Tempo, 728244
1, 22849, Tempo, 715478
1, 22891, Tempo, 703235
1, 22933, Tempo, 691324
1, 22976, Tempo, 679887
1, 23018, Tempo, 668747
1, 23060, Tempo, 658039
1, 23102, Tempo, 647598
1, 23144, Tempo, 637552
1, 23186, Tempo, 627746
1, 23229, Tempo, 618302
1, 23271, Tempo, 609075
1, 23313, Tempo, 600180
1, 23355, Tempo, 591483
1, 23400, Tempo, 582524
1, 23452, Tempo, 591133
1, 23504, Tempo, 600060
1, 23556, Tempo, 609199
1, 23608, Tempo, 618620
1, 23660, Tempo, 628404
1, 23764, Tempo, 648789
1, 23816, Tempo, 659486
1, 23868, Tempo, 670616
1, 23921, Tempo, 682051
1, 23972, Tempo, 693882
1, 24024, Tempo, 706215
1, 24077, Tempo, 718907
1, 24129, Tempo, 732064
1, 24180, Tempo, 745805
1, 24233, Tempo, 759975
1, 24300, Tempo, 779221
1, 24387, Tempo, 750000
1, 27000, Tempo, 779221
1, 27042, Tempo, 764721
1, 27084, Tempo, 750657
1, 27127, Tempo, 737191
1, 27169, Tempo, 724113
1, 27211, Tempo, 711575
1, 27253, Tempo, 699382
1, 27296, Tempo, 687679
1, 27338, Tempo, 676285
1, 27380, Tempo, 665336
1, 27422, Tempo, 654664
1, 27464, Tempo, 644399
1, 27506, Tempo, 634384
1, 27549, Tempo, 624740
1, 27591, Tempo, 615322
1, 27633, Tempo, 606244
1, 27675, Tempo, 597372
1, 27720, Tempo, 588235
1, 27772, Tempo, 597015
1, 27824, Tempo, 606122
1, 27876, Tempo, 615448
1, 27928, Tempo, 625065
1, 27980, Tempo, 635055
1, 28084, Tempo, 655881
1, 28136, Tempo, 666815
