0, 0, Header, 1, 3, 360
1, 0, Start_track
1, 0, Title_t, "Symphony No 1 in D Minor, Opus 13"
1, 0, Copyright_t, "Copyright (C) "
1, 0, Text_t, "Rachmaninoff\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 1463415
1, 1350, Tempo, 1463415
1, 8640, Tempo, 1463415
1, 8724, Tempo, 1486989
1, 8809, Tempo, 1510954
1, 8893, Tempo, 1536098
1, 8978, Tempo, 1561687
1, 9062, Tempo, 1588562
1, 9146, Tempo, 1615944
1, 9231, Tempo, 1644737
1, 9315, Tempo, 1674107
1, 9399, Tempo, 1705030
1, 9484, Tempo, 1736614
1, 9568, Tempo, 1769912
1, 9653, Tempo, 1803969
1, 9737, Tempo, 1839926
1, 9821, Tempo, 1876759
1, 9906, Tempo, 1915709
1, 9990, Tempo, 1955671
1, 10079, Tempo, 2000000
1, 10080, Tempo, 500000
1, 33480, Tempo, 500000
1, 33702, Tempo, 507442
1, 33924, Tempo, 515110
1, 34147, Tempo, 523013
1, 34591, Tempo, 539568
1, 34813, Tempo, 548246
1, 35036, Tempo, 557258
1, 35258, Tempo, 566519
1, 35480, Tempo, 576092
1, 35702, Tempo, 585995
1, 36146, Tempo, 606857
1, 36369, Tempo, 617856
1, 36591, Tempo, 629261
1, 36813, Tempo, 641094
1, 37035, Tempo, 653381
1, 37266, Tempo, 666667
1, 37440, Tempo, 500000
1, 68760, Tempo, 500000
1, 68853, Tempo, 507442
1, 68946, Tempo, 515110
1, 69131, Tempo, 531114
1, 69224, Tempo, 539520
1, 69317, Tempo, 548196
1, 69410, Tempo, 557155
1, 69503, Tempo, 566412
1, 69596, Tempo, 575982
1, 69688, Tempo, 585823
1, 69781, Tempo, 596066
1, 69874, Tempo, 606673
1, 69967, Tempo, 617665
1, 70059, Tempo, 629063
1, 70152, Tempo, 640889
1, 70245, Tempo, 653097
1, 70344, Tempo, 666667
1, 70560, Tempo, 500000
1, 73080, Tempo, 500000
1, 73176, Tempo, 507400
1, 73271, Tempo, 515021
1, 73463, Tempo, 530926
1, 73558, Tempo, 539277
