0, 0, Header, 1, 2, 360
1, 0, Start_track
1, 0, Title_t, "The Bells Op. 35"
1, 0, Copyright_t, "Copyright (C) "
1, 0, Text_t, "Rachmaninoff\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 500000
1, 11520, Time_signature, 3, 2, 24, 8
1, 13680, Time_signature, 4, 2, 24, 8
1, 30600, Tempo, 500000
1, 30623, Tempo, 510638
1, 30645, Tempo, 521739
1, 30668, Tempo, 533333
1, 30690, Tempo, 545455
1, 30713, Tempo, 558140
1, 30735, Tempo, 571429
1, 30758, Tempo, 585366
1, 30780, Tempo, 600000
1, 30803, Tempo, 615385
1, 30825, Tempo, 631579
1, 30848, Tempo, 648649
1, 30870, Tempo, 666667
1, 30960, Tempo, 500000
1, 39600, Time_signature, 2, 2, 24, 8
1, 40320, Time_signature, 3, 2, 24, 8
1, 42480, Time_signature, 4, 2, 24, 8
1, 43920, Time_signature, 2, 2, 24, 8
1, 44640, Time_signature, 3, 2, 24, 8
1, 46800, Time_signature, 4, 2, 24, 8
1, 54000, Time_signature, 3, 2, 24, 8
1, 55080, Time_signature, 2, 2, 24, 8
1, 56520, Time_signature, 3, 2, 24, 8
1, 57600, Time_signature, 4, 2, 24, 8
1, 59040, Time_signature, 3, 2, 24, 8
1, 60120, Time_signature, 2, 2, 24, 8
1, 61560, Time_signature, 3, 2, 24, 8
1, 62640, Time_signature, 4, 2, 24, 8
1, 68400, Time_signature, 3, 2, 24, 8
1, 69480, Time_signature, 2, 2, 24, 8
1, 70920, Time_signature, 3, 2, 24, 8
1, 72000, Time_signature, 4, 2, 24, 8
1, 78840, Tempo, 500000
1, 78863, Tempo, 510638
1, 78885, Tempo, 521739
1, 78908, Tempo, 533333
1, 78930, Tempo, 545455
1, 78953, Tempo, 558140
1, 78975, Tempo, 571429
1, 78998, Tempo, 585366
1, 79020, Tempo, 600000
1, 79043, Tempo, 615385
1, 79065, Tempo, 631579
1, 79088, Tempo, 648649
1, 79110, Tempo, 666667
1, 79200, Tempo, 545455
1, 82710, Tempo, 5000000
1, 82800, Tempo, 545455
1, 83430, Tempo, 5000000
