0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 276498
1, 0, Marker_t, "Schumann"
1, 1920, Tempo, 1176471
1, 3360, Tempo, 1363636
1, 3726, Tempo, 1176471
1, 3800, Tempo, 1224490
1, 4560, Tempo, 1363636
1, 4720, Tempo, 1176471
1, 4760, Tempo, 1224490
1, 4800, Tempo, 1333333
1, 5280, Tempo, 1428571
1, 5520, Tempo, 1428571
1, 5680, Tempo, 1176471
1, 5720, Tempo, 1224490
1, 6240, Tempo, 1276596
1, 6640, Tempo, 1176471
1, 6680, Tempo, 1224490
1, 6720, Tempo, 1276596
1, 7120, Tempo, 1176471
1, 7160, Tempo, 1224490
1, 7200, Tempo, 1333333
1, 7600, Tempo, 1224490
1, 7640, Tempo, 1276596
1, 7680, Tempo, 1333333
1, 8400, Tempo, 1428571
1, 8520, Tempo, 1428571
1, 8600, Tempo, 1500000
1, 8640, Tempo, 2400000
1, 9120, Tempo, 769231
1, 9600, Tempo, 1176471
1, 11160, Tempo, 1224490
1, 11520, Tempo, 1224490
1, 12180, Tempo, 1276596
1, 12247, Tempo, 1276596
1, 12250, Tempo, 1363636
1, 12480, Tempo, 1578947
1, 12960, Tempo, 1224490
1, 13440, Tempo, 1176471
1, 14340, Tempo, 1224490
1, 14400, Tempo, 1176471
1, 15120, Tempo, 1333333
1, 15280, Tempo, 1224490
1, 15360, Tempo, 1176471
1, 16206, Tempo, 1224490
1, 16320, Tempo, 1363636
1, 16560, Tempo, 1224490
1, 16980, Tempo, 1276596
1, 17050, Tempo, 1333333
1, 17280, Tempo, 1176471
1, 17706, Tempo, 1224490
1, 17760, Tempo, 1224490
1, 17994, Tempo, 1176471
1, 18360, Tempo, 1224490
1, 18480, Tempo, 1176471
1, 18970, Tempo, 1276596
1, 19200, Tempo, 1176471
1, 19990, Tempo, 1224490
1, 20160, Tempo, 1333333
1, 20640, Tempo, 1224490
1, 20700, Tempo, 1176471
1, 21060, Tempo, 1224490
1, 21180, Tempo, 1176471
1, 22020, Tempo, 1224490
1, 22080, Tempo, 1176471
1, 22980, Tempo, 1224490
1, 23094, Tempo, 1176471
1, 23820, Tempo, 1224490
1, 23880, Tempo, 1224490
1, 24120, Tempo, 1276596
1, 24240, Tempo, 1224490
1, 24630, Tempo, 1333333
1, 24735, Tempo, 1666667
1, 24960, Tempo, 1176471
1, 26630, Tempo, 1276596
1, 26880, Tempo, 1333333
1, 27240, Tempo, 1666667
1, 28330, Tempo, 500000
1, 29280, Tempo, 1176471
1, 29700, Tempo, 1224490
1, 29760, Tempo, 1176471
1, 30590, Tempo, 1224490
1, 31560, Tempo, 1276596
1, 31920, Tempo, 1333333
1, 32160, Tempo, 1363636
1, 32400, Tempo, 1666667
1, 33120, Tempo, 500000
1, 34560, Tempo, 821918
1, 34560, Marker_t, "1"
1, 36420, Tempo, 845070
1, 36480, Tempo, 821918
1, 38340, Tempo, 845070
1, 38400, Tempo, 821918
1, 40260, Tempo, 845070
1, 40320, Tempo, 821918
1, 42120, Tempo, 845070
1, 42240, Tempo, 821918
1, 44100, Tempo, 845070
1, 44160, Tempo, 821918
1, 46020, Tempo, 845070
1, 46080, Tempo, 821918
1, 47940, Tempo, 845070
1, 48000, Tempo, 821918
1, 49200, Tempo, 845070
1, 49440, Tempo, 895522
1, 49920, Tempo, 821918
1, 51780, Tempo, 845070
1, 51840, Tempo, 821918
1, 53700, Tempo, 845070
1, 53760, Tempo, 821918
1, 55620, Tempo, 845070
1, 55680, Tempo, 821918
1, 56820, Tempo, 845070
1, 57240, Tempo, 869565
1, 57360, Tempo, 1000000
1, 57600, Tempo, 821918
1, 59460, Tempo, 845070
1, 59520, Tempo, 821918
1, 61380, Tempo, 845070
1, 61440, Tempo, 821918
1, 63080, Tempo, 845070
1, 63360, Tempo, 821918
1, 64440, Tempo, 845070
1, 64570, Tempo, 869565
1, 65280, Tempo, 821918
1, 67140, Tempo, 845070
1, 67200, Tempo, 821918
1, 69060, Tempo, 845070
1, 69120, Tempo, 821918
1, 70980, Tempo, 845070
1, 71040, Tempo, 821918
1, 72180, Tempo, 845070
1, 72600, Tempo, 869565
1, 72720, Tempo, 1000000
1, 72960, Tempo, 821918
1, 74820, Tempo, 845070
1, 74880, Tempo, 821918
1, 76740, Tempo, 845070
1, 76800, Tempo, 821918
1, 78440, Tempo, 845070
1, 78720, Tempo, 821918
1, 79800, Tempo, 845070
1, 79930, Tempo, 895522
1, 80440, Tempo, 2400000
1, 80640, Tempo, 952381
1, 80640, Marker_t, "2 "
1, 80730, Tempo, 895522
1, 81080, Tempo, 923077
1, 81120, Tempo, 895522
1, 81560, Tempo, 923077
